"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"773b93ef-8e19-448b-908d-3eb6a148da28","HCM_946.txt","Matilda daughter of John le fiz John de Clehonger;","char-offset:85","PERSON","","","","","","","","Principal",""
"378043f2-0701-4624-af0a-f9c107dd0112","HCM_946.txt","John le fiz John","char-offset:105","PERSON","","","","","","","","",""
"a1234355-48b0-411d-9d7b-0edb87b97d46","HCM_946.txt","Clehonger","char-offset:125","","","","","","","","","Nominative",""
"186e575f-85ea-46a4-bf0c-4127e3a099b9","HCM_946.txt","Dean and chapter of the cathedral church of St. Ethelbert of Hereford","char-offset:139","PERSON","","","","","","","","Collective|Principal",""
"5363c179-ac17-4112-b365-b87a5c1f7dfc","HCM_946.txt","St. Ethelbert of","char-offset:183","PLACE","","","","","","","UNVERIFIED","",""
"8ba4d6c3-75b5-4010-a988-9b9c0b425b92","HCM_946.txt","Hereford","char-offset:200","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","Nominative",""
"1397fc30-d492-4703-81a0-2389bfdfd2d5","HCM_946.txt","the custos of the almshouse of the same place","char-offset:213","PERSON","","","","","","","","Principal|Office","that is:  custos of the almshouse of the cathedral church of Hereford, which lies in the vill of Clehonger"
"340a2522-7596-4316-90d9-c12a949da47b","HCM_946.txt","custos of the almshouse","char-offset:217","","","","","","","","","Job",""
"7a6a1e72-4ee9-4016-8773-c4224c850504","HCM_946.txt","the almshouse of the same place;","char-offset:227","PLACE","","","","","","","UNVERIFIED","Nominative","the almshouse of the cathedral church of Hereford, which lies in Clehonger"
"899c77fe-0fac-43f5-abd5-b14d56d8b0a6","HCM_946.txt","the said custos","char-offset:340","PERSON","","","","","","","","","that is, the custos of the almshouse of the cathedral church of Hereford, which lies in the vill of Clehonger"
"c25eeba2-d279-4375-a491-f147a610f6c6","HCM_946.txt","the almshouse which lies in the vill of Clehonger.","char-offset:426","PLACE","","","","","","","UNVERIFIED","Building","that is, the almshouse of the cathedral church of Hereford, which lies in the vill of Clehonger"
"14d1863f-dbfd-492c-9e11-8d621b45615a","HCM_946.txt","Clehonger.","char-offset:466","PLACE","","","","","","","UNVERIFIED","",""
"bec76763-871b-45d9-8a7f-66be9f368c4d","HCM_946.txt","Hereford","char-offset:486","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","Given at",""
"86ac531d-3df9-4b82-aa8a-af56f09debaf","HCM_946.txt","Harry de Penebrugge, knight","char-offset:515","PERSON","","","","","","","","Witness",""
"3fb7c18a-afc9-4468-bfad-65a4925b13f6","HCM_946.txt","Penebrugge","char-offset:524","PLACE","","","","","","","UNVERIFIED","Nominative","Pembridge?"
"0dc2ff5c-2c13-42f5-98a1-3ee0dbd666ce","HCM_946.txt","knight","char-offset:536","","","","","","","","","Job",""
"50e1f0c3-19d3-4430-a2cd-6b1cbb37213d","HCM_946.txt","Richard de Clehonger","char-offset:544","PERSON","","","","","","","","Witness",""
"39c9f250-931f-4e9a-ab14-93f56d2c4dfe","HCM_946.txt","Clehonger","char-offset:555","PLACE","","","","","","","UNVERIFIED","Nominative",""
"58bdd41b-9536-4d73-91b8-6c3446f7fd48","HCM_946.txt","William Lethenard","char-offset:566","PERSON","","","","","","","","Witness",""
"2c819048-3d7f-4f75-8168-641063df4676","HCM_946.txt","Richard de la Oldehulle","char-offset:585","PERSON","","","","","","","","Witness",""
"533d1c6d-bded-479f-9ed0-dea107bdb0c2","HCM_946.txt","la Oldehulle","char-offset:596","PLACE","","","","","","","UNVERIFIED","Nominative",""
"a9331670-6ae2-4249-979e-f559a8e80cbe","HCM_946.txt","Gilbert de la lowe","char-offset:610","PERSON","","","","","","","","Witness|Scribe",""
"4742c799-9a95-4157-94c2-101f907a3221","HCM_946.txt","la lowe","char-offset:621","PLACE","","","","","","","UNVERIFIED","Nominative",""
"787b4c86-79a7-4828-a3b4-956eb379e01e","HCM_946.txt","Latin","char-offset:630","","","","","","","","","Language",""
