"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"601e8446-74a4-4cc1-b5a7-9e7aa24c0731","HCM_1065.txt","Richard","char-offset:58","PERSON","","","","","","","","Principal",""
"7eff13be-b9f2-4045-bad4-3969cec24c7d","HCM_1065.txt","bishop of Hereford","char-offset:67","","","","","","","","","Job",""
"3ede8954-32e0-4ef3-be67-8361d1ae4ac5","HCM_1065.txt","Hereford","char-offset:77","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","",""
"0f3ea761-efa8-42c9-bc7f-bacce93c1454","HCM_1065.txt","the dean end chapter of Hereford","char-offset:90","PERSON","","","","","","","","Collective|Executor",""
"910d9d57-c593-4be3-954c-d7a285036be3","HCM_1065.txt","Hereford","char-offset:114","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","",""
"79271d46-ece7-4071-896a-aa964833f979","HCM_1065.txt","John de la Maudeleyne","char-offset:134","PERSON","","","","","","","","Principal",""
"3a2b0c48-4c1b-4422-ab3f-d1314eec3c3a","HCM_1065.txt","King's justices","char-offset:177","PERSON","","","","","","","","Collective",""
"bbd588e5-143c-46e7-bbc3-990029281e5e","HCM_1065.txt","Westminster","char-offset:196","PLACE","http://mapoflondon.uvic.ca/WEST1.htm","Westminster Abbey","","51.49879294","-0.12768431","","VERIFIED","",""
"d1fef52e-c790-4240-a225-5ebab177b37f","HCM_1065.txt","Bosebur","char-offset:495","PLACE","","","","","","","NOT_IDENTIFIABLE","",""
"0dc2722e-6028-44bd-b543-4aec458de36f","HCM_1065.txt","Latin","char-offset:505","","","","","","","","","Language",""
"835a6926-4e0c-41ab-98c9-c8edd1159bf5","HCM_1169.txt","Frater John de Kyngeston","char-offset:27","PERSON","","","","","","","","Principal",""
