"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"b9138db4-e4fb-4f27-8ee9-83f54c8ab949","HCM_1281.txt","St. Ethelbert","char-offset:49","PLACE","","","","","","","UNVERIFIED","",""
"9c8ebddd-4e01-4aad-9c22-e8ffdd2c42a4","HCM_1281.txt","Eleanor","char-offset:93","PERSON","","","","","","","","Principal","Eleanor le Young?"
"995f229b-c4c6-4a2a-82b5-9ea85780209d","HCM_1281.txt","Henry le Yonge","char-offset:111","PERSON","","","","","","","","Deceased",""
"8eaae0c0-b79f-4c24-bd7f-8b0c72a601d1","HCM_1281.txt","Pyon' Canonicorum","char-offset:129","PLACE","","","","","","","UNVERIFIED","Nominative",""
"b6f47f06-f16a-4964-ab3c-a11db13feb31","HCM_1281.txt","Dean and chapter of the church of St. Ethelbert of Hereford","char-offset:151","PERSON","","","","","","","","Collective|Principal",""
"a92c82fc-4134-4ba3-b0d2-480ac0684d3d","HCM_1281.txt","St. Ethelbert of Hereford","char-offset:185","PERSON","","","","","","","","Deceased",""
"94acbafb-9019-4ff4-b866-fb010db19d74","HCM_1281.txt","St. Ethelbert of Hereford.","char-offset:185","PERSON","","","","","","","","",""
"b98edfa9-d6c1-42fc-920b-51770c484f03","HCM_1281.txt","St. Ethelbert of","char-offset:185","PLACE","","","","","","","UNVERIFIED","",""
"b76352c5-c24b-4e6f-bb2f-8e3ca6d4f622","HCM_1281.txt","Hereford","char-offset:202","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","",""
"1c748f03-c04a-4919-b7ab-948d726faf1f","HCM_1281.txt","Pyon","char-offset:244","PLACE","","","","","","","UNVERIFIED","",""
"7bd0ca1e-db67-45c2-bf23-a6e35199ef0d","HCM_1281.txt","Pyon' Canonicorum","char-offset:244","PLACE","","","","","","","UNVERIFIED","Landmark",""
"3a36dd78-d034-4984-8e63-0290a6e235ca","HCM_1281.txt","Henry le Yonge","char-offset:288","PERSON","","","","","","","","Deceased",""
"45e10cdb-3e47-4934-9601-e7d96e92c702","HCM_1281.txt","Hereford","char-offset:313","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Given at",""
"1fa01776-62bd-48f7-9f61-7dd242e39077","HCM_1281.txt","Hugh de Lanton","char-offset:334","PERSON","","","","","","","","Witness",""
"408e69d1-fae7-4cc1-8785-fa689d23e6a5","HCM_1281.txt","Lanton","char-offset:342","PLACE","http://sws.geonames.org/3007508","Lanton","","44.70478","-1.03562","","UNVERIFIED","Nominative",""
"a12b6e67-45df-404d-831d-e4440f98170a","HCM_1281.txt","Robert Boter","char-offset:351","PERSON","","","","","","","","",""
"b03e2fcc-7df5-42dd-aa68-6a1b593ffe8d","HCM_1281.txt","Richard de Hoggesshawe","char-offset:365","PERSON","","","","","","","","",""
"bd5b19c9-4a22-4d07-bc93-9144f117f882","HCM_1281.txt","Hoggesshawe","char-offset:376","PLACE","","","","","","","UNVERIFIED","Nominative",""
"76116162-e34e-4423-92b5-6db91b86af9d","HCM_1281.txt","John de Logwardyn","char-offset:389","PERSON","","","","","","","","",""
"47c3617b-bcd1-4cc5-bb21-e51e65d91393","HCM_1281.txt","Logwardyn","char-offset:397","","","","","","","","","Nominative",""
"304ea9c6-d662-486f-8df7-46b57628d495","HCM_1281.txt","John de Wythynton","char-offset:408","PERSON","","","","","","","","",""
"d2c79f67-da9a-44b0-a972-4bf62e2b52d7","HCM_1281.txt","Wythynton’","char-offset:416","PLACE","","","","","","","UNVERIFIED","Nominative",""
"8d67bece-a107-4847-bd9a-ed61e4aaf0bb","HCM_1281.txt","John de la Barewe","char-offset:428","PERSON","","","","","","","","",""
"97fabaac-9984-440f-84d2-1712bd9f27fe","HCM_1281.txt","la Barewe","char-offset:436","PLACE","","","","","","","UNVERIFIED","Nominative",""
"126a74e7-9856-4bee-abe7-e64255678e3b","HCM_1281.txt","John de Bole","char-offset:447","PERSON","","","","","","","","Scribe|Witness",""
"380436f8-5733-417a-862a-353c5d6b703a","HCM_1281.txt","Bole","char-offset:455","PLACE","http://sws.geonames.org/9085351","Jianxincun","","25.83892","104.11952","","UNVERIFIED","Nominative",""
"8e5b6ad5-91d5-4017-bd1a-ed82b2fc2846","HCM_1281.txt","Latin","char-offset:468","","","","","","","","","Language",""
