"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"a813ef1a-156c-4e63-a7f6-210751739f44","RBLR_1401.txt","Gilbert de Reygate","char-offset:82","PERSON","","","","","","","","Principal",""
"8cc54fa9-fd0f-4bf9-be3f-176469592dc4","RBLR_1401.txt","Reygate","char-offset:93","PLACE","http://sws.geonames.org/2639506","Reigate","","51.23736","-0.20582","","VERIFIED","Nominative","Reigate"
"b2fa0fa2-495e-4240-9dc1-99572a3f1ede","RBLR_1401.txt","clerk","char-offset:102","","","","","","","","","Job",""
"ed173995-4a1f-4dea-b4ec-f4091b3a6019","RBLR_1401.txt","Roger de Breynton'","char-offset:119","PERSON","","","","","","","","Principal|Present",""
"b75463d3-8245-4a8e-a728-59cfedcca35d","RBLR_1401.txt","Breynton","char-offset:128","PLACE","","","","","","","UNVERIFIED","Nominative","Breinton"
"c119c6ea-db4f-41a5-9048-2561b62a3758","RBLR_1401.txt","William","char-offset:142","PERSON","","","","","","","","Principal","William de Breynton (brother to Roger de Breynton)"
"115e8bc2-7bf0-4397-a416-2e46dc285f3a","RBLR_1401.txt","one messuage and arable land in the vill of Chirehebreynton","char-offset:186","PLACE","","","","","","","UNVERIFIED","RB property","in Breinton"
"7cc90205-3c3d-4f7d-a810-5eaaea2a2ed6","RBLR_1401.txt","Chirehebreynton","char-offset:230","PLACE","","","","","","","UNVERIFIED","","in or near Breinton"
"6bce4370-65ee-4b50-996d-009e84580801","RBLR_1401.txt","Hereford","char-offset:289","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","Given at",""
"fb404589-dd57-436c-b7d6-472d34038fae","RBLR_1401.txt","Latin","char-offset:299","","","","","","","","","Language",""
"84ce5ef4-0194-48a5-afa6-5efda2ca721d","RBLR_1301.txt","Benefices","char-offset:51","PLACE","","","","","","","UNVERIFIED","",""
"bd43c06d-cdf7-4253-a4d8-2410f46a2961","RBLR_1301.txt","Monnington","char-offset:89","PLACE","","","","","","","UNVERIFIED","RB property","church of Monnington on Wye"
"ee67ad95-f51c-499f-88a7-ccb4c0410fc4","RBLR_1301.txt","Roger de Breinton","char-offset:117","PERSON","","","","","","","","Principal|Principal","Roger de Breynton"
"f087319a-d575-4427-baa0-22782a85251c","RBLR_1301.txt","de Breinton","char-offset:123","","","","","","","","","Nominative",""
"9a80f9d6-dad7-433b-868c-5eff56f77016","RBLR_1301.txt","Dame Catharine","char-offset:142","","","","","","","","","Principal",""
"acb51238-c85c-40c1-a75b-66ed122688a9","RBLR_1301.txt","Dame Catharine de Audley","char-offset:142","PERSON","","","","","","","","",""
