"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"04da54a9-8f61-4e7a-abd1-eb3c4513a7f2","RBLR_1602.txt","DUPLICATE","char-offset:20","","","","","","","","","Copy|Material feature",""
"25c4b226-dc51-4a69-ab4c-cf6df4f06661","RBLR_1602.txt","Two seals","char-offset:41","","","","","","","","","Material feature",""
"6deea65e-d946-4e56-a58a-da54180fba55","RBLR_1605.txt","the bishop","char-offset:64","","","","","","","","","Office",""
"d880d8e6-c429-4f47-a872-a872aeb77e5d","RBLR_1605.txt","Ricardo","char-offset:330","PERSON","","","","","","","","",""
"81d0bfa5-bf92-4179-8125-0b427d668052","RBLR_1605.txt","Ricardus Thurgrym","char-offset:380","PERSON","","","","","","","","",""
"17e92006-ea95-4103-997a-f8df25225ef1","RBLR_1605.txt","Johannes de Hulle","char-offset:469","PERSON","","","","","","","","",""
"ccdcc2a2-ae91-4b0a-b11f-0480d4105365","RBLR_1605.txt","de Hulle","char-offset:478","","","","","","","","","Nominative",""
"5a2d6f61-a184-40b4-8c7a-45c04bd029ef","RBLR_1605.txt","Willelmus Godknave","char-offset:488","PERSON","","","","","","","","",""
"896f84d3-2299-4435-8436-d913cee9b76b","RBLR_1605.txt","Robertus Cope","char-offset:508","PERSON","","","","","","","","",""
"57b2731a-8dac-4b4f-91ec-46250ac2ef6c","RBLR_1605.txt","Walterus de","char-offset:523","PLACE","","","","","","","UNVERIFIED","",""
"aceff189-3f7f-4fd0-be7f-2bc8439427b7","RBLR_1605.txt","de Paris","char-offset:532","","","","","","","","","Nominative",""
"70adf804-ae5e-4d86-8890-14d23b25500c","RBLR_1605.txt","Paris","char-offset:535","PLACE","http://sws.geonames.org/4519642","New Paris","","39.85699","-84.79329","","UNVERIFIED","",""
"c2a592b7-4891-4034-984b-5de6ded29c99","RBLR_1605.txt","Hugo de Worine","char-offset:542","PERSON","","","","","","","","",""
"c7eff065-2f98-4b32-907e-e31d1807dba8","RBLR_1605.txt","de Worine","char-offset:547","","","","","","","","","Nominative",""
"723e92be-05ff-42cf-a065-1ea017523b78","RBLR_1605.txt","Johannes de Rotherwas","char-offset:558","PERSON","","","","","","","","",""
"0ff989a4-7d81-4502-a82b-381a00c64940","RBLR_1605.txt","de Rotherwas","char-offset:567","","","","","","","","","Nominative",""
"838fab73-61aa-4484-8a82-d395f85f0309","RBLR_1605.txt","Robertus Savage","char-offset:581","PERSON","","","","","","","","",""
"b0547d30-4fe4-4a30-970e-a66d540c719f","RBLR_1605.txt","Willelmus Aurifaber","char-offset:598","PERSON","","","","","","","","",""
"3db65c6e-73a3-4a48-943e-52c8e70978f7","RBLR_1605.txt","Nicholaus de Werham","char-offset:619","PERSON","","","","","","","","",""
"fc41cb56-2825-41c6-8abc-c8d326c84344","RBLR_1605.txt","de Werham","char-offset:629","","","","","","","","","Nominative",""
"fd26f853-a11b-4d6e-aba8-e901160b65d7","RBLR_1605.txt","Simon Brun","char-offset:640","PERSON","","","","","","","","",""
"21851530-c904-40d9-91b8-b3e96a94dc11","RBLR_1605.txt","Johannes","char-offset:652","PERSON","","","","","","","","",""
"7982fe4e-499a-4694-982a-e4f0105703dc","RBLR_1605.txt","Johannes de Borches","char-offset:672","PERSON","","","","","","","","",""
"5a415d57-75a0-4ac1-9aa0-88d6ea37b8ce","RBLR_1605.txt","de Borches","char-offset:681","","","","","","","","","Nominative",""
"98b93f52-4ffd-411e-86ea-46f2cce45950","RBLR_1605.txt","Acta","char-offset:2172","PERSON","","","","","","","","",""
"6138a7ae-54fa-4535-b63f-26e3326704e9","RBLR_1605.txt","magistri Henrici de Schorne","char-offset:2190","PERSON","","","","","","","","Witness",""
"36e154e0-3276-4ef6-a168-a62cad896a66","RBLR_1605.txt","de Schorne","char-offset:2207","","","","","","","","","Nominative",""
"398bdf6b-875f-470b-a7c9-273f66049aaf","RBLR_1605.txt","Johannis de Kemeseye","char-offset:2254","PERSON","","","","","","","","Witness",""
"aff8a8ae-4ea3-455e-835f-66d150954fe8","RBLR_1605.txt","de Kemeseye","char-offset:2263","","","","","","","","","Nominative",""
"d5746284-0774-4d60-a494-bafb188d4829","RBLR_1605.txt","Ricardi de Hamenasch","char-offset:2313","PERSON","","","","","","","","Witness",""
"7b16bb05-92f6-4e8a-ba19-78134a10dd94","RBLR_1605.txt","de Hamenasch","char-offset:2321","","","","","","","","","Nominative",""
"e931bd8f-ba72-4de0-8898-de23a99188de","RBLR_1605.txt","Nicholai de Aka","char-offset:2354","PERSON","","","","","","","","Witness",""
"310d2dec-1b3a-46be-9a06-268e836c165b","RBLR_1605.txt","de Aka","char-offset:2363","","","","","","","","","Nominative",""
"e774127a-d213-462c-a2eb-1fe18a85d545","RBLR_1605.txt","domini Rogeri de Breyntone","char-offset:2408","PERSON","","","","","","","","Witness",""
"a2883bdd-162a-4879-bd85-ac250fd9d04f","RBLR_1605.txt","de Breyntone","char-offset:2422","","","","","","","","","Nominative",""
"01c4393f-3d66-453c-918e-ec7a776439b5","RBLR_1605.txt","Ade de Alynetone","char-offset:2467","PERSON","","","","","","","","Witness",""
"b0d5c53f-6453-4399-aaf8-f9e1c70aa2ec","RBLR_1605.txt","de Alynetone","char-offset:2471","","","","","","","","","Nominative",""
"77a4313d-d824-47e7-a869-4bc7c68f70ab","RBLR_1605.txt","Johannis de la Felde","char-offset:2502","PERSON","","","","","","","","Witness",""
"59dca501-1c45-4b18-98d9-9464c5a87777","RBLR_1605.txt","de la Felde","char-offset:2511","","","","","","","","","Nominative",""
"d3061bce-020b-4f20-9230-ebc6a1c0d03f","RBLR_1605.txt","Ade Lucas","char-offset:2524","PERSON","","","","","","","","Witness",""
"bd43fff9-584b-481d-8fa4-129902ea9650","RBLR_1605.txt","Walteri de Penebrugge","char-offset:2542","PERSON","","","","","","","","Witness",""
"2e72aea5-bf21-4258-ada2-f14e64c529ab","RBLR_1605.txt","de Penebrugge","char-offset:2550","","","","","","","","","Nominative",""
