"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"881c1dc5-5db6-453a-a95a-d7ae3af15db9","RBLR_1908.txt","Richard","char-offset:49","PERSON","","","","","","","","",""
"0e8b64b9-ae20-4445-a6d2-1275047c63e3","RBLR_1908.txt","Hamo de Sandwich","char-offset:101","PERSON","","","","","","","","",""
"fef81a22-db44-41db-b439-0962e58bed4a","RBLR_1908.txt","DE","char-offset:159","PLACE","http://dare.ht.lu.se/places/40014","Ponte de Vale de Telhas","","41.63344","-7.2463","","UNVERIFIED","",""
"da563d15-e185-4b43-86e2-f1642e2f1a57","RBLR_1908.txt","prioratu sancti Rufi juxta Avynionem","char-offset:236","PLACE","http://geo-kima.org/place/19779","Avignon (Papal city)","","","","","VERIFIED","Given at","the Augustinian Priory of St Rufus beside Avignon (just south of city); this is where AO often stays while in residence"
"5ba8bc5a-9d15-4996-a4d3-b1d012d9c5bb","RBLR_1908.txt","Ricardo de Vernoun","char-offset:300","PERSON","","","","","","","","",""
"2274a252-33b1-4d65-a64c-2cd580a4b493","RBLR_1908.txt","H. de Sandwico","char-offset:380","PERSON","","","","","","","","",""
"cce301a1-30b8-404c-9389-4db056b6ce72","RBLR_1908.txt","Rogerum de Breyntone","char-offset:481","PERSON","","","","","","","","Present|Witness","Roger de Breynton|RB is either designated to carry the bishop's letters patent back to Hereford, or has come from there bearing letters (from Hamo or Vernon or chapter)"
"f32cb43a-53d2-4dfc-937b-b7aa3d9e04f3","RBLR_1905.txt","Roger de Breinton","char-offset:27","PERSON","","","","","","","","Principal|Present","Roger de Breynton"
"8da04de0-1300-4582-9be9-aa29a874ec55","RBLR_1905.txt","John de Ludlow","char-offset:69","PERSON","","","","","","","","",""
"c9ae539b-8cb3-4255-9264-407529f165f3","RBLR_1905.txt","DE","char-offset:132","PLACE","http://dare.ht.lu.se/places/40014","Ponte de Vale de Telhas","","41.63344","-7.2463","","UNVERIFIED","",""
"7e6343ab-574d-4221-9c4c-f18edc4c67af","RBLR_1905.txt","DE","char-offset:166","PLACE","http://dare.ht.lu.se/places/40014","Ponte de Vale de Telhas","","41.63344","-7.2463","","UNVERIFIED","",""
"cd96f859-e561-49e1-a33a-407bd0428e14","RBLR_1905.txt","DE","char-offset:178","PLACE","http://dare.ht.lu.se/places/40014","Ponte de Vale de Telhas","","41.63344","-7.2463","","UNVERIFIED","",""
"888d4292-05e7-4c10-84c6-e3588dfa071c","RBLR_1905.txt","Domini","char-offset:207","PERSON","","","","","","","","",""
"c3b8650f-6771-41b5-a703-cf54b108f38f","RBLR_1905.txt","Avinione, in hospicio quod inhabitavit tunc temporis reverendus pater, dominus Adam, Dei gracia Episcopus Herefordensis","char-offset:369","PLACE","http://geo-kima.org/place/19779","Avignon (Papal city)","","","","","VERIFIED","Given at","Avignon, specifically in the house where AO is residing, probably meaning priory of St Rufus juxta Avignon"
"62dba8a5-1e81-4fb7-b392-464deef8cf1e","RBLR_1905.txt","in hospicio quod inhabitavit tunc temporis reverendus pater, dominus Adam, Dei gracia Episcopus Herefordensis","char-offset:379","PLACE","http://geo-kima.org/place/19779","Avignon (Papal city)","","","","","VERIFIED","Building","that is, probably the Priory of St Rufus beside Avignon, where AO typically stays while in residence"
"af7822f7-bf8a-4716-b4b5-0f032629fa6e","RBLR_1905.txt","Episcopus Herefordensis","char-offset:465","PERSON","","","","","","","","",""
"9fdf918c-a40f-4e9e-9e8b-8f14f96145ef","RBLR_1905.txt","ecclesie de Aka","char-offset:611","PLACE","","","","","","","UNVERIFIED","RB property","Aka= parish church of Rock, Worcestershire"
"55c57b7e-b429-4a34-9bef-932e2ee885fd","RBLR_1905.txt","J. de Lodelowe","char-offset:725","PERSON","","","","","","","","",""
"1f74d854-1841-4d4e-a102-f623933e23a6","RBLR_1905.txt","Michaelis","char-offset:899","PERSON","","","","","","","","",""
"8daed4b9-1a02-4895-ae37-e362b21c0bc9","RBLR_1905.txt","sigillo domini Rogeri predicti","char-offset:1198","","","","","","","","","Material feature","that is, the seal of Roger de Breynton"
"f801be58-a78e-4f0f-9cba-8a1b85433e48","RBLR_1905.txt","Acta","char-offset:1230","PERSON","","","","","","","","",""
"7ab9b109-4518-4e40-b567-b4a99971ccf7","RBLR_1905.txt","Johanne Rees de Sharfeld","char-offset:1334","PERSON","","","","","","","","",""
"28eb07eb-76a8-477a-84aa-c84c4066e44a","RBLR_1905.txt","R. Hervy","char-offset:1453","PERSON","","","","","","","","",""
"e4b0e4d8-ce10-480d-b3f1-895d3ed70f58","RBLR_1904.txt","-- John de Ludlow","char-offset:26","PERSON","","","","","","","","",""
"6c16c54b-7b7a-40ba-aecb-6db46eacfd51","RBLR_1904.txt","Avignon","char-offset:47","PLACE","http://pleiades.stoa.org/places/148004","Avennio|Avennio, Avignon|Avignon","-0750/2100","43.95159","4.80769","settlement","UNVERIFIED","",""
"f630886b-ed2f-4cc5-a73f-48b3847e6147","RBLR_1904.txt","Madeley","char-offset:93","PERSON","","","","","","","","",""
"f51fe443-486a-4c2b-a9de-889a52ea3583","RBLR_1904.txt","William Russell de Fownhope","char-offset:148","PERSON","","","","","","","","",""
"367826eb-e859-44aa-9d53-6c43a52f13b9","RBLR_1904.txt","DE","char-offset:257","PLACE","http://dare.ht.lu.se/places/40014","Ponte de Vale de Telhas","","41.63344","-7.2463","","UNVERIFIED","",""
