"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"d977662e-e021-45e9-9d58-69f64353c4a7","RBLR_4401.txt","Roger de Breynton","char-offset:58","PERSON","","","","","","","","Principal|Present",""
"d795f132-b415-4562-8394-6a05f6114acf","RBLR_4401.txt","John Rees","char-offset:80","PERSON","","","","","","","","",""
"69dbd7a9-6748-4bc0-bcfb-ad3725de1399","RBLR_4401.txt","Johannes","char-offset:127","PERSON","","","","","","","","",""
"12bda1d9-8a63-434d-8369-a4f39111ffed","RBLR_4401.txt","Rogero de Breyntone","char-offset:221","PERSON","","","","","","","","",""
"cc2b8902-64b8-47fe-a37d-84251cc2da5e","RBLR_4401.txt","Johanni Reez","char-offset:271","PERSON","","","","","","","","",""
"a3c9b6df-b30e-411f-b819-fce38b6796bc","RBLR_4401.txt","a diocesi nostra Herefordensi","char-offset:377","PLACE","","","","","","","UNVERIFIED","Going to","Hereford Diocese"
"ef7080b9-6aaf-4ae5-a572-40cc7f5ac05d","RBLR_4401.txt","Farnham","char-offset:942","PLACE","http://pleiades.stoa.org/places/79460","Farnham|Farnham","-0030/0640","51.215884","-0.784391","villa","VERIFIED","Given at","Farnham = manor of bishop of Winchester"
"2ac9a351-33d1-45b7-8082-5b29c7b4ea58","RBLR_4403.txt","Roger de Breynton","char-offset:42","PERSON","","","","","","","","Principal|Present",""
"70ca516b-365d-47f9-97e7-49137888e096","RBLR_4403.txt","the temporalities of the see","char-offset:82","PLACE","","","","","","","UNVERIFIED","RB property|o","of Hereford"
"944246c3-9e2b-4b87-9d60-80f305d83e95","RBLR_4403.txt","Johannes","char-offset:268","PERSON","","","","","","","","",""
"c21be259-4705-4c65-8ec9-afea315fd3be","RBLR_4403.txt","Christo R. de Breyntone","char-offset:465","PERSON","","","","","","","","",""
"7ed45283-ba82-4129-914f-845c852531a6","RBLR_4403.txt","Rogero","char-offset:1439","PERSON","","","","","","","","",""
"5df4ad06-9482-481a-aff0-528397ae6356","RBLR_4403.txt","ut supra","char-offset:1506","PLACE","http://sws.geonames.org/2649660","Farnham","","51.21444","-0.80054","","VERIFIED","Given at","that is, at Farnham, like previous documents on this day"
"412ea2a6-9264-4d3c-8dd1-8898e78df1fe","RBLR_4402.txt","Johannes","char-offset:99","PERSON","","","","","","","","",""
"a501bec1-ce85-41c1-a430-2364b39e822e","RBLR_4402.txt","R. de Breyntone","char-offset:143","PERSON","","","","","","","","Principal|Present","Roger de Breynton"
"a384fd24-2a42-455a-8372-8a0f73590480","RBLR_4402.txt","Johanni Reez","char-offset:198","PERSON","","","","","","","","",""
"7086e0ab-58d2-4339-bcfc-c663611a7baf","RBLR_4402.txt","Farnham","char-offset:942","PLACE","http://pleiades.stoa.org/places/79460","Farnham|Farnham","-0030/0640","51.215884","-0.784391","villa","VERIFIED","Given at",""
"3d904964-393b-4ef3-9b9c-96929d83b165","RBLR_4302.txt","Winchester","char-offset:34","PLACE","http://sws.geonames.org/2633858","Winchester","","51.06513","-1.3187","","UNVERIFIED","",""
"23719f1d-4f27-44ba-ba90-520991558c72","RBLR_4302.txt","Roger de Breynton","char-offset:59","PERSON","","","","","","","","Principal",""
"9275969f-f7d3-4ccf-9275-0fe2c5d0beed","RBLR_4302.txt","Gloucester","char-offset:92","PLACE","http://sws.geonames.org/2648404","Gloucester","","51.86568","-2.2431","","UNVERIFIED","",""
"acadfddd-70d5-4de2-928a-6254637c92d8","RBLR_4302.txt","a slender prebend of Hereford, value 10s","char-offset:112","PLACE","","","","","","","UNVERIFIED","RB property",""
"5e017cff-33fe-4e04-b952-f847537bf4c4","RBLR_4302.txt","Hereford","char-offset:133","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","",""
"eef46c4a-1b0c-4acd-9542-323f824b99e8","RBLR_4302.txt","Avignon","char-offset:289","PLACE","http://pleiades.stoa.org/places/148004","Avennio|Avennio, Avignon|Avignon","-0750/2100","43.95159","4.80769","settlement","VERIFIED","Given at",""
"d9f1b9c1-1c24-4547-9c55-c83342ad459a","RBLR_4302.txt","Kal","char-offset:301","PERSON","","","","","","","","",""
"26c70570-4259-4637-a0bd-fbe59b1c00ba","RBLR_4303.txt","Virgin Mary","char-offset:97","PERSON","","","","","","","","",""
"39030952-30c9-4862-94f8-1ef965e6c96e","RBLR_4303.txt","Roger de Breynton","char-offset:125","PERSON","","","","","","","","Principal|Present",""
"74202ca6-ee8c-432c-a031-29de54ce8661","RBLR_4303.txt","Walter Carles","char-offset:148","PERSON","","","","","","","","",""
"f6b99c85-4c8d-4bd0-a5e5-824b9abe1cae","RBLR_4303.txt","Dominus Adam","char-offset:200","PERSON","","","","","","","","",""
"5b8471e1-060f-4d80-9513-354b8f02c7f2","RBLR_4303.txt","Winchester","char-offset:224","PERSON","","","","","","","","",""
"fc2b34e7-27a3-4083-aaab-88d66847cff7","RBLR_4303.txt","John","char-offset:249","PERSON","","","","","","","","",""
"107006cc-ae92-4744-bc72-fe51818556cb","RBLR_4303.txt","Thomas de Trillek","char-offset:258","PERSON","","","","","","","","",""
"f93d3dee-f72a-4dd6-81a6-69a169afaa09","RBLR_4303.txt","all the lands and tenements in the city of Hereford and in its suburb and also in the vills of Wyneston' Clehungr', and Bullynghop', which the grantors held of the gift of the said bishop","char-offset:309","PLACE","","","","","","","UNVERIFIED","RB property","in Hereford, Winston, Clehonger, and Bullinghope"
