"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"b198d938-5f11-4ab1-bb2d-0b75230c9cfb","RBLR_1803.txt","Henry de Schorne","char-offset:27","PERSON","","","","","","","","",""
"9d6c04de-0011-41f0-9a3f-10dd798b06b6","RBLR_1803.txt","Hereford","char-offset:92","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","",""
"9fa6292c-f8a6-440b-9634-dff75601b0c9","RBLR_1803.txt","Roger de Orleton","char-offset:125","PERSON","","","","","","","","",""
"084a3f04-9cf6-4927-b192-78da70da0733","RBLR_1803.txt","William de Stretton","char-offset:146","PERSON","","","","","","","","",""
"7b78c797-a590-4f80-ba18-caa8e99ce1d8","RBLR_1803.txt","Rogeri de Breintone","char-offset:325","PERSON","","","","","","","","Witness|Present","Roger de Breynton"
"e8fa2a90-e463-4f2d-8cd5-7ef8f41d555c","RBLR_1803.txt","Johannis de Bromfelde","char-offset:346","PERSON","","","","","","","","",""
"fcf773e8-0b0a-4efe-99f6-a39d15a1b2c1","RBLR_1803.txt","Walteri de Maddele","char-offset:372","PERSON","","","","","","","","",""
"ffb23020-24ed-451f-8c78-0efa79cb50bd","RBLR_1803.txt","H. de Schorne","char-offset:435","PERSON","","","","","","","","",""
"3bd545b4-fbc7-4f9f-beb1-bb7bb07d7e4b","RBLR_1803.txt","Bosebury","char-offset:584","PLACE","","","","","","","UNVERIFIED","Given at",""
"02043b17-635c-4d95-9247-a76cc977146d","RBLR_1803.txt","Willelmo de Strettone","char-offset:808","PLACE","","","","","","","UNVERIFIED","",""
"1ef771d7-115a-431e-865d-df35a1fc9861","RBLR_1804.txt","Gregory","char-offset:73","PERSON","","","","","","","","",""
"b176fcde-730a-4d93-88fb-24690eeec5e4","RBLR_1804.txt","Robert de Newebold","char-offset:105","PERSON","","","","","","","","",""
"b0686220-9293-41b4-8090-83aaeeaa976e","RBLR_1804.txt","Roger de Broynton'","char-offset:143","PERSON","","","","","","","","Principal|Present","Roger de Breynton"
"a43e87af-0e54-45f2-9854-3468c0e6e396","RBLR_1804.txt","the church of Moniton'","char-offset:173","PLACE","","","","","","","UNVERIFIED","RB property","Church of Monnington on Wye"
"d6e0eaf0-d43b-452a-8975-8fb53cd6e3cf","RBLR_1804.txt","Moniton","char-offset:187","PLACE","","","","","","","UNVERIFIED","Nominative","Monnington on Wye"
"3504a8d7-36f8-4a93-9aca-bd6cf3dd71b4","RBLR_1804.txt","a messuage in Hereford lying in front between the land of dominus Robert de Marceleye (?), chaplain celebrating mass in the chuch of St. Nicholas, Hereford, for the souls of Walter de la Barre and Rose his wife, and the land of Walter de Burghulle, cobbler, and behind lying between the land of the said dominus Roger on both sides and extending from the highway as far as the land of the said Roger and the land of John Blak","char-offset:206","PLACE","","","","","","","UNVERIFIED","RB property",""
"fc20bee8-d7c1-4907-9cae-ea6931c814e5","RBLR_1804.txt","Hereford","char-offset:220","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","Given at","Document has no Given at but very likely to be Hereford"
"97edf590-461e-4d1f-b062-ce93f0b27d87","RBLR_1804.txt","Robert de Marceleye","char-offset:272","PERSON","","","","","","","","",""
"5eb1b9c0-f5f8-4f1d-92ce-2abc443e5e05","RBLR_1804.txt","St. Nicholas","char-offset:339","PLACE","http://mapoflondon.uvic.ca/NICH3.htm","St. Nicholas","","","","","UNVERIFIED","",""
"be271acf-ab72-4c9d-957d-265b76292672","RBLR_1804.txt","Walter de la Barre","char-offset:380","PERSON","","","","","","","","",""
"2d9e1843-eb49-4480-a54d-7dafc71d2c4b","RBLR_1804.txt","Rose","char-offset:403","PERSON","","","","","","","","",""
"659f71a5-7914-4c5a-8183-a327398305ad","RBLR_1804.txt","Walter de Burghulle","char-offset:434","PERSON","","","","","","","","",""
"9783913a-0c63-492b-8913-6128e39c6ecc","RBLR_1804.txt","the land of the said dominus Roger on both sides","char-offset:489","PLACE","","","","","","","UNVERIFIED","RB property",""
