"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"e604d278-82f1-4fec-baac-895904a66756","RBLR_0802.txt","Bartholomew le Especer de Hereford'","char-offset:107","PERSON","","","","","","","","Principal",""
"8d336440-811b-4e92-a585-48e175840667","RBLR_0802.txt","le Especer","char-offset:119","","","","","","","","","Job","The Spicer [aka Apothecary, sometimes also called Medicus I think]"
"303474ee-20d8-491b-9cf1-8ad6b5c7d8db","RBLR_0802.txt","Hereford","char-offset:133","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative",""
"cc2b90ca-6372-4ae6-bfd9-e77895f66763","RBLR_0802.txt","Dominus William de Broyntone","char-offset:147","PERSON","","","","","","","","",""
"96eb5893-eba0-4001-a8bd-03cc8685ada3","RBLR_0802.txt","William de Broyntone,","char-offset:155","PERSON","","","","","","","","Principal","brother of Roger de Breynton"
"dd7d0ae7-b880-4126-b61b-56d8a16c9b3e","RBLR_0802.txt","Broyntone","char-offset:166","PLACE","","","","","","","UNVERIFIED","Nominative",""
"ad991cb4-8f7a-41bd-808d-a2a67f06b646","RBLR_0802.txt","chaplain","char-offset:177","","","","","","","","","Job",""
"766f1465-8524-4c16-99e1-bb940ebd77e1","RBLR_0802.txt","Margery","char-offset:191","PERSON","","","","","","","","Principal","Margery [de Breynton?]|that is: sister of Roger de Breynton (or at least half-sister, since Roger is brother to William who is brother to Margery)"
"0ab892f5-b646-486b-9ef9-b2b0f887cf32","RBLR_0802.txt","Chirchebreyntone","char-offset:279","PLACE","","","","","","","UNVERIFIED","",""
"4cb7a52e-4bb2-45a5-8bfe-f938ba897ab9","RBLR_0802.txt","dean and chapter of the church of St. Ethelbert, Hereford","char-offset:326","PERSON","","","","","","","","Collective|Office",""
"5ee4ac52-1bba-4ef3-8e59-b2b64dc20931","RBLR_0802.txt","St. Ethelbert","char-offset:360","PLACE","","","","","","","UNVERIFIED","",""
"11b25bf4-33de-421b-b66e-bf8f4d57b2f9","RBLR_0802.txt","Hereford","char-offset:375","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","",""
"93b28ca3-c6e2-41a6-be50-f881e06967d7","RBLR_0802.txt","Hereford","char-offset:375","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative",""
"be9a8beb-7c2b-4a6c-ba6d-456757f3b9f3","RBLR_0802.txt","Hereford","char-offset:394","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","Given at",""
"cae9c8fc-738e-4f5d-9317-794ba9adc018","RBLR_0802.txt","John de la Barewe","char-offset:415","PERSON","","","","","","","","Witness",""
"77232086-e78d-4eaa-b533-13519bf2b71f","RBLR_0802.txt","la Barewe","char-offset:423","PLACE","","","","","","","UNVERIFIED","Nominative",""
"df84173c-9acf-4b89-b91b-be1a6f75f0e8","RBLR_0802.txt","John de la Felde","char-offset:434","PERSON","","","","","","","","Witness",""
"7847ed3c-8323-4f08-ae6d-ad7dc27ee42d","RBLR_0802.txt","la Felde","char-offset:442","","","","","","","","","Nominative",""
"48ce6f40-cf8c-47be-9a75-3ac34cc4987c","RBLR_0802.txt","John Lightfot","char-offset:452","PERSON","","","","","","","","Witness",""
"9d988a73-8fc0-4269-a092-0cae919dd4e3","RBLR_0802.txt","John de Seuenak","char-offset:467","PERSON","","","","","","","","Witness",""
"2665286d-adef-408b-a3fc-2f4c6d19753e","RBLR_0802.txt","Seuenak'","char-offset:475","PLACE","","","","","","","UNVERIFIED","Nominative",""
"1f67fd49-4010-4d22-803e-f031d2a5c421","RBLR_0802.txt","Hugh de Tybertone","char-offset:485","PERSON","","","","","","","","Witness",""
"077ad6b7-c347-4d52-8576-5c29deeaed2a","RBLR_0802.txt","Tybertone","char-offset:493","PLACE","","","","","","","UNVERIFIED","Nominative",""
"e6b6e7f4-b3f3-43a1-bdc7-d8a4d69091c4","RBLR_0802.txt","Phillip de Ipre","char-offset:504","PERSON","","","","","","","","Witness",""
"9be126c0-8f74-4514-bfa9-174890b6d64e","RBLR_0802.txt","Ipre","char-offset:515","PLACE","http://sws.geonames.org/2795100","Ieper","","50.85114","2.88569","","VERIFIED","Nominative","Ypres, in Low Countries?"
"d09396a6-f412-46da-9e0f-89c4e82e629b","RBLR_0802.txt","Hugh Ives","char-offset:521","PERSON","","","","","","","","Witness",""
"1133dd40-a118-4c09-8c3b-36b840a19ab9","RBLR_0802.txt","William Lethenard","char-offset:532","PERSON","","","","","","","","Witness",""
"e805a2fb-c65c-4dcc-9588-f9646ad7200c","RBLR_0802.txt","Hugh le Shipward","char-offset:552","PERSON","","","","","","","","Witness",""
"09cb8262-aaed-4ebf-8712-a9e83d9eb547","RBLR_0802.txt","Shipward","char-offset:560","","","","","","","","","Job",""
"0d39626a-e3a1-4128-b054-d91b3c700f2d","RBLR_0802.txt","Hugh de la Stone","char-offset:571","PERSON","","","","","","","","Witness",""
"deb3be8b-8ae0-4743-a2fe-513a1ce3ebe6","RBLR_0802.txt","la Stone","char-offset:579","PLACE","http://pleiades.stoa.org/places/531025","Orraon/Horreum|Orraon/Horraon/Horreum, Ammotopos","-0330/-0030","39.271166","20.925409","settlement","UNVERIFIED","Nominative",""
"b6a963a0-30ad-4264-91ac-79d3cbf58996","RBLR_0802.txt","John le Bole","char-offset:589","PERSON","","","","","","","","Witness|Scribe",""
"b7a7944d-a832-4c5c-9453-47d02030a372","RBLR_0802.txt","le Bole","char-offset:594","","","","","","","","","Job",""
"12271afd-6295-49d6-9622-33e97942382e","RBLR_0802.txt","clerk","char-offset:606","","","","","","","","","job",""
"9ea7e716-edb3-4656-8196-5bcb13f92464","RBLR_0802.txt","Latin","char-offset:613","","","","","","","","","Language",""
"26ca0bdc-e0c8-4d1f-9f6b-a2e56d43ae4c","RBLR_0901.txt","Roger de la Hulle","char-offset:27","PERSON","","","","","","","","Principal",""
"627c684a-8719-487c-b0b4-b7fea1689788","RBLR_0901.txt","la Hulle","char-offset:36","PLACE","","","","","","","UNVERIFIED","Nominative",""
"8aef5132-3cee-46a3-8fe3-f8727c000e3b","RBLR_0901.txt","Hereford","char-offset:49","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","Nominative",""
"ec2fcde3-69fe-4351-9167-221b1b01d10c","RBLR_0901.txt","Roger de Breynton","char-offset:80","PERSON","","","","","","","","Principal|Present",""
"59d7973a-d8aa-40f8-b9db-4c81c9ca122a","RBLR_0901.txt","Breynton","char-offset:89","PLACE","","","","","","","UNVERIFIED","Nominative","Breinton"
"a047d971-01e4-4c41-85e8-de7588bb599e","RBLR_0901.txt","Vicar of the Church of St Ethelbert","char-offset:99","","","","","","","","","Job",""
"0ddb744d-183d-4678-b076-bc9c31b851b1","RBLR_0901.txt","Hereford [Herefords]","char-offset:136","PLACE","","","","","","","UNVERIFIED","Nominative",""
"a96d468e-3a8d-458a-abe1-58c6c0185afa","RBLR_0901.txt","William Goodknave","char-offset:183","PERSON","","","","","","","","Witness",""
"91814ff6-ae45-44ca-9afd-e9545ce9db87","RBLR_0901.txt","Richard Manyword","char-offset:202","PERSON","","","","","","","","Witness|Scribe",""
"8fff50fd-41b0-47d4-a420-6e5fd7af65e6","RBLR_0901.txt","Clerk","char-offset:220","","","","","","","","","Job",""
"fc2d4300-3ba0-4bc1-bba5-144beeeac2c5","RBLR_0901.txt","Hereford","char-offset:230","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","Given at",""
"c1eb236c-4fb3-4edb-bd39-23cd1bc55088","RBLR_0901.txt","Sheriff of Herefords","char-offset:294","PERSON","","","","","","","","Office","Sheriff of Herefordshire"
"569273a1-85a9-4d9a-98e5-e74a02f32d49","RBLR_0901.txt","Herefords","char-offset:305","PLACE","http://geo-kima.org/place/9117","Herefordshire (England)","","","","","VERIFIED","Nominative","Herefords = Herefordshire"
"c7fddf32-2943-4ec2-8d48-d587d5a0309c","RBLR_0901.txt","William Goodknave","char-offset:324","PERSON","","","","","","","","Sent by",""
"e22d2aa2-6ac6-4b2e-8284-d47dd54fa927","RBLR_0901.txt","Richard Manyword","char-offset:343","PERSON","","","","","","","","Sent by",""
"b34e5c13-b6fe-42dc-8dcf-43a95268c95e","RBLR_0901.txt","Hereford","char-offset:371","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","Given at",""
"a6b830d6-2f65-40d1-93ec-f2ea69a6209e","RBLR_0901.txt","Herefords'","char-offset:394","PLACE","http://mapoflondon.uvic.ca/BISH5.htm","Bishop of Hereford’s Inn","","","","","UNVERIFIED","Endorsement","Herefordshire"
"0b9b6aed-1bf9-4533-823c-6ba0fc9b5434","RBLR_0201.txt","RBLR 0201 1302.12.31< [*]","char-offset:0","","","","","","","","","","document transcription incomplete; compare to scan where there is likely more data, e.g. Given at"
"c028efda-c01d-4067-8163-e82ae961b260","RBLR_0201.txt","Hugh Ives","char-offset:34","PERSON","","","","","","","","Principal",""
"92014703-3bc6-4d63-b636-187786ed6c70","RBLR_0201.txt","Bertram","char-offset:48","PERSON","","","","","","","","",""
"15c98ad1-d462-4412-afea-718ff92f784c","RBLR_0201.txt","Bertram ......wring","char-offset:48","PERSON","","","","","","","","Principal",""
"b6c62c64-65c2-4d34-9f61-e064b2ba3646","RBLR_0201.txt",".....wring","char-offset:57","PLACE","","","","","","","UNVERIFIED","Nominative","???"
"4e2679ea-c5f0-4868-87dd-fa30b00341d4","RBLR_0201.txt","Richard Reynaud","char-offset:69","PERSON","","","","","","","","Principal",""
"2a269925-04e2-4b97-9374-b26f79841371","RBLR_0201.txt","Walter de Lullam","char-offset:90","PERSON","","","","","","","","Principal",""
"e1e15200-ce46-4bae-9e92-14ed318298dc","RBLR_0201.txt","Lullam","char-offset:100","PLACE","","","","","","","UNVERIFIED","Nominative",""
"415e4ad5-ca61-4c7d-b4aa-ba406fd0a11e","RBLR_0201.txt","Roger","char-offset:108","PERSON","","","","","","","","Principal|Present","Roger de Breynton?"
"ac50c975-d876-4100-949d-d93bf1e7edcd","RBLR_0201.txt","... ...","char-offset:125","PERSON","","","","","","","","Principal",""
"8978c3d6-083f-42c6-bffb-e29dad042d2c","RBLR_0201.txt","....","char-offset:144","PERSON","","","","","","","","Principal",""
"64f21f82-26da-4401-9480-7db7ed079713","RBLR_0201.txt","John de Aquablank","char-offset:150","PERSON","","","","","","","","Principal",""
"70c8ff73-0729-4072-92ea-7f2e9e200e5e","RBLR_0201.txt","Aquablank","char-offset:158","PLACE","","","","","","","UNVERIFIED","Nominative","Aquablanca"
"5629c5e1-439d-41c7-8fb9-1d4fac9cef20","RBLR_0201.txt","Dean of the [Cathedral] Church of St Ethelbert [Hereford]","char-offset:169","PERSON","","","","","","","","Office",""
"c1b5aef8-45a2-4195-8d72-f71a246f9cb0","RBLR_0201.txt","Hereford]","char-offset:217","PLACE","","","","","","","UNVERIFIED","Nominative|Given at","transcription doesn't include it but I will add a tag for Hereford as Given at since this is the great likelihood"
"4ece65e0-d33b-49c0-ad7b-92773659e575","RBLR_0201.txt","William Goodknave","char-offset:256","PERSON","","","","","","","","Witness",""
"5eb21b64-bd2b-485c-a0c7-2437bc74f03f","RBLR_0201.txt","John L","char-offset:275","PERSON","","","","","","","","Witness|Scribe","John Lightfoot, surely"
"dade214c-80d7-4a30-b710-27fd4d5f7ef1","RBLR_0501.txt","William de Fostone","char-offset:44","PERSON","","","","","","","","Principal",""
