"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"64ede964-9782-4e20-9cce-f35fd9713210","RBLR_4704.txt","Philipp de la More","char-offset:88","PERSON","","","","","","","","",""
"3b7905f2-b6f6-4aa2-9a51-48e34c115ff8","RBLR_4704.txt","Exeter","char-offset:132","PLACE","http://sws.geonames.org/2649808","Exeter","","50.7236","-3.52751","","UNVERIFIED","",""
"11076f9b-4371-49ac-b5ac-253bdd5d851b","RBLR_4704.txt","William Mon","char-offset:196","PERSON","","","","","","","","",""
"5e8415cc-a6a1-4591-b2f1-29f98f615165","RBLR_4704.txt","Norton","char-offset:239","PERSON","","","","","","","","",""
"792de868-ec88-42fb-9e33-2de682839d3e","RBLR_4704.txt","Hereford","char-offset:265","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","",""
"e19c73b3-66c3-432e-b65e-902f362b0521","RBLR_4704.txt","the chapter-house of the cathedral church of Hereford","char-offset:287","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","Building|Given at",""
"c9c00648-1f3c-4326-9889-a9aeebe22e7e","RBLR_4704.txt","Robert de Henle","char-offset:356","PERSON","","","","","","","","",""
"85a6a71e-5f48-45d8-a489-fd8928a6a1a0","RBLR_4704.txt","William de Sheynton","char-offset:473","PERSON","","","","","","","","",""
"1c372886-2fe3-4990-9a9b-3f5d98fa5d14","RBLR_4704.txt","William de Wyk","char-offset:507","PERSON","","","","","","","","",""
"b712ffba-2687-4adb-a3d0-24fed9c5cbfa","RBLR_4704.txt","John Rees","char-offset:538","PERSON","","","","","","","","",""
"f87bb351-e1b5-4305-9a67-da60a8ffeeb9","RBLR_4704.txt","William de Fowehop","char-offset:549","PERSON","","","","","","","","",""
"47fcf6fe-60ec-4e04-a98d-e38b711489db","RBLR_4704.txt","Thomas Talbot","char-offset:577","PERSON","","","","","","","","",""
"a3078a07-d2b5-4ec9-b2a8-f617ce744a3f","RBLR_4704.txt","Roger de Breynton","char-offset:592","PERSON","","","","","","","","Principal|Present",""
