"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"660ab7be-8769-49c2-bef7-20add8dee1ba","RBLR_6101.txt","Thomas the Apostle","char-offset:77","PERSON","","","","","","","","",""
"79741f05-f64f-4c7f-9809-61ee820c13f4","RBLR_6101.txt","Lewis","char-offset:139","PERSON","","","","","","","","",""
"817035c8-af24-4659-83bd-e8e125826be5","RBLR_6101.txt","Hereford","char-offset:156","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","",""
"fac5b1ce-a69b-4860-ba3f-d805009d694c","RBLR_6101.txt","the chapter of the cathedral church of Hereford","char-offset:169","PERSON","","","","","","","","Collective|Office|Principal","Collective NO LONGER includes RB"
"8c0fb32c-64b8-4df6-98b0-ee8fda2a1613","RBLR_6101.txt","Hereford","char-offset:208","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","",""
"575ea359-7dfa-4acb-b9a0-7d85bfd85d93","RBLR_6101.txt","Griffin de Charleton","char-offset:265","PERSON","","","","","","","","",""
"1d79f7aa-8bfa-4888-8220-49eda156b2bc","RBLR_6101.txt","Hereford","char-offset:297","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","",""
"9ab9f2fc-de36-44e0-943f-cc84e23a98c4","RBLR_6101.txt","John de Brecon","char-offset:448","PERSON","","","","","","","","",""
"2a305f84-f203-4415-a706-0c2159c28b43","RBLR_6101.txt","Eleanore","char-offset:531","PERSON","","","","","","","","",""
"dea7c2fa-b3fd-4771-8e9d-bdf85abe9d01","RBLR_6101.txt","Thomas Charleton","char-offset:611","PERSON","","","","","","","","",""
