"source","relation","target","source_id","source_tags","target_id","target_tags"
"vicar of the church of Ledebur'","Job","William called de Breyntone","5879a549-885c-409d-b6db-7d90ea0c789d","Job","39b0b0b1-a62f-4238-a9f4-36eb77e8b6c8","Principal"
"Roger Ywayn","father","John Ywan","25ca95e7-f135-4908-bdbd-6e6e3c382a87","","b4c003cb-ecea-438b-a89a-ce5619fd0fbe","Witness"
"John Broun de Breynton","Neighbors","Roger de Breynton","93a713b8-05e0-4b54-b2ee-3c18cf7de580","Principal","ed4a6ec2-f2ab-4de9-8049-b856ce2238c8",""
"John Broun de Breynton","Neighbors","Richard Bryan","93a713b8-05e0-4b54-b2ee-3c18cf7de580","Principal","c27fc002-34dc-488f-9e2a-ff3e1981b615",""
"Richard Bryan","Neighbors","Roger de Breynton","c27fc002-34dc-488f-9e2a-ff3e1981b615","","ed4a6ec2-f2ab-4de9-8049-b856ce2238c8",""
"Roger de Breynton'","Brothers","William","ed173995-4a1f-4dea-b4ec-f4091b3a6019","Principal|Present","c119c6ea-db4f-41a5-9048-2561b62a3758","Principal"
"clerk","Job","Gilbert de Reygate","b2fa0fa2-495e-4240-9dc1-99572a3f1ede","Job","a813ef1a-156c-4e63-a7f6-210751739f44","Principal"
"Roger le Leche de Hereford'","Neighbors","Roger de Breynton","6836fb76-5470-4903-b80d-a730ee352a8a","Principal","ed4a6ec2-f2ab-4de9-8049-b856ce2238c8",""
"Roger le Leche de Hereford'","Neighbors","Richard Bryan","6836fb76-5470-4903-b80d-a730ee352a8a","Principal","c27fc002-34dc-488f-9e2a-ff3e1981b615",""
"Roger de Breyntone","Brothers","William called de Breyntone","dd00e141-da4c-403f-ba81-15154ebc40f2","Principal|Present","39b0b0b1-a62f-4238-a9f4-36eb77e8b6c8","Principal"
"clerk","Job","John Ywayn","04da1ae3-9df4-489b-a12b-60d58275a067","Job","6f0ad0b5-505f-4ad4-abfb-ff253b04b432","Principal"
