"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"ff3bca60-d5ba-4eb5-9ab0-7b0e97d837c5","HCM_1734.txt","William de Preston","char-offset:46","PERSON","","","","","","","","Principal",""
"7d0cfb7f-280f-415f-8ee5-99cff6e94d19","HCM_1734.txt","Hugh de Sothynton","char-offset:70","PERSON","","","","","","","","Principal|Scribe",""
"88812cdc-1d9b-454a-8359-0799aa9a1bdd","HCM_1734.txt","New Street","char-offset:202","PLACE","http://sws.geonames.org/2644707","Ledbury","","52.03639","-2.42635","","VERIFIED","",""
"21394abc-ed82-4746-8485-d988e2bd988d","HCM_1734.txt","Ledebur","char-offset:242","PLACE","http://sws.geonames.org/2644707","Ledbury","","52.03639","-2.42635","","VERIFIED","",""
"90713039-97bc-4f68-9865-f025787d7ff5","HCM_1734.txt","Randolphe Berde","char-offset:271","PERSON","","","","","","","","",""
"28698f50-3542-44bf-9377-11d852f2e17c","HCM_1734.txt","the Hospital of the Blessed Katherine at Ledbury","char-offset:371","PLACE","http://sws.geonames.org/2644707","Ledbury","","52.03639","-2.42635","","VERIFIED","Building",""
"9a2c48ab-a8f3-4918-a21c-eec6ba7763cb","HCM_1734.txt","Ledbury","char-offset:412","PLACE","http://sws.geonames.org/2644707","Ledbury","","52.03639","-2.42635","","UNVERIFIED","",""
"fd6e50ef-58e6-4743-9e60-caa4c65e041d","HCM_1734.txt","Ledbury","char-offset:430","PLACE","http://sws.geonames.org/2644707","Ledbury","","52.03639","-2.42635","","VERIFIED","Given at",""
"cd203e49-8e5c-4e6a-a837-b271db70e654","HCM_1734.txt","Walter de Weston","char-offset:450","PERSON","","","","","","","","Witness",""
"5ed39023-09e0-41cb-ba10-17f26cf4843a","HCM_1734.txt","Weston","char-offset:460","PLACE","http://dare.ht.lu.se/places/25962","Weston","","51.961033","-0.149112","","VERIFIED","Nominative",""
"8c5ff270-4039-4d6f-ad45-7ed477ac9a1c","HCM_1734.txt","Richard berde","char-offset:469","PERSON","","","","","","","","Witness",""
"2dfcb406-c012-434d-b252-61320d8a2094","HCM_1734.txt","Ralph le Botiler","char-offset:484","PERSON","","","","","","","","",""
"cc4b7af1-8b53-4ce0-b68d-93dfa2756e0d","HCM_1734.txt","Giles le Ferur","char-offset:502","PERSON","","","","","","","","Witness",""
"b611f517-4dd6-4e31-9523-93ed9dc7a08c","HCM_1734.txt","Roger Pelliparie","char-offset:518","PERSON","","","","","","","","Witness",""
"8cb6e832-0ff3-42be-a4b9-4257fd1466d5","HCM_1734.txt","Latin","char-offset:536","","","","","","","","","Language",""
"3f05750d-8d52-4a47-a42d-a397b007d8a2","HCM_1736.txt","Roger de la Grene de Bulleye","char-offset:72","PERSON","","","","","","","","Principal",""
"8c64e0cf-6e33-42bf-941e-201dc850c1ef","HCM_1736.txt","Bulleye","char-offset:93","PLACE","","","","","","","NOT_IDENTIFIABLE","Nominative",""
"13d68220-cbd3-4aeb-9129-1af4242586cf","HCM_1736.txt","Alice","char-offset:105","PERSON","","","","","","","","Principal",""
"efbe9731-9696-44ce-b204-cb7df9d2b00f","HCM_1736.txt","John de Acle","char-offset:137","PERSON","","","","","","","","Principal",""
"b3a79c8c-14ea-4afb-80d1-55abc4905d42","HCM_1736.txt","Acle","char-offset:145","PLACE","http://sws.geonames.org/2657704","Acle","","52.63681","1.54757","","VERIFIED","Nominative",""
"7c3d3408-dd76-47a3-9efe-baf83477fb08","HCM_1736.txt","chaplain","char-offset:151","","","","","","","","","job",""
"7bb641d0-4adf-42c9-9267-cb135d9b2075","HCM_1736.txt","the king's court at Westuinster","char-offset:197","PLACE","http://sws.geonames.org/2634341","City of Westminster","","51.5","-0.11667","","VERIFIED","Building",""
"b2c50766-5ae0-4b18-9c93-48e46e0f343e","HCM_1736.txt","Westuinster","char-offset:217","PLACE","http://sws.geonames.org/2634341","City of Westminster","","51.5","-0.11667","","VERIFIED","Given at",""
"4227b685-958b-4fdb-9318-0de0512eaefe","HCM_1736.txt","Ralph de Hengham","char-offset:236","PERSON","","","","","","","","Witness",""
"82d8e788-15d6-455e-b7bd-14a185e8edc7","HCM_1736.txt","Hengham","char-offset:245","PLACE","http://sws.geonames.org/2646856","Hingham","","52.57969","0.98422","","VERIFIED","Nominative",""
"64bd0d44-876b-4571-a29a-d1b56614b5d6","HCM_1736.txt","William de Bereford","char-offset:254","PERSON","","","","","","","","Witness",""
"c796dd03-f470-4414-9335-c5291f389df6","HCM_1736.txt","Bereford","char-offset:265","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","Nominative","??"
"e65e506b-9a85-44ac-8c35-25bddd66ed95","HCM_1736.txt","Elias de Bekynham","char-offset:276","PERSON","","","","","","","","Witness",""
"b60eff31-fed5-4afa-84d2-4cf303330cab","HCM_1736.txt","Bekynham","char-offset:285","PLACE","http://sws.geonames.org/2656065","Beckenham","","51.40878","-0.02526","","VERIFIED","Nominative",""
"c7de35c1-3a58-49c0-9afc-2ae759e33e1a","HCM_1736.txt","Peter Malorre","char-offset:295","PERSON","","","","","","","","Witness",""
"f0cc88a3-b132-422e-978f-8adf3cce5fc5","HCM_1736.txt","William Howard","char-offset:310","PERSON","","","","","","","","Witness",""
"6c3bf6be-390c-4c65-9364-3773218dae85","HCM_1736.txt","Lambert de Trikingham","char-offset:330","PERSON","","","","","","","","Witness",""
"d917794c-e023-45e2-a0c9-308278c2df8e","HCM_1736.txt","Trikingham","char-offset:341","PLACE","","","","","","","NOT_IDENTIFIABLE","Nominative",""
"433e9f97-a9dc-4a96-8ed8-da7907ef27d9","HCM_1736.txt","Bulleye","char-offset:499","PLACE","","","","","","","NOT_IDENTIFIABLE","",""
"aa947da1-f820-4610-8a72-4b134819fc04","HCM_1736.txt","Latin","char-offset:621","","","","","","","","","Language",""
"85e21ed5-889b-42a0-9d5a-e4680e7be1e2","HCM_1683.txt","John","char-offset:64","PERSON","","","","","","","","Principal",""
"fe6b7b73-d29a-4dfe-a7e5-3c887a3b7762","HCM_1683.txt","abbot","char-offset:70","","","","","","","","","job",""
"bc216623-0be2-4fa8-9417-32a2daedd70a","HCM_1683.txt","the convent of St, Peter'","char-offset:81","PLACE","http://sws.geonames.org/2648404","Gloucester","","51.86568","-2.2431","","VERIFIED","Building",""
"f25efa17-128e-4ec2-ab3d-7e50adef5ff7","HCM_1683.txt","Gloucester","char-offset:109","PLACE","http://sws.geonames.org/2648404","Gloucester","","51.86568","-2.2431","","VERIFIED","",""
"d7d4ca15-b3b4-4ca0-abdf-380b6920fd59","HCM_1683.txt","John atte Mulle","char-offset:124","PERSON","","","","","","","","",""
"2297c89f-84e9-4e3f-9044-096cb53823d6","HCM_1683.txt","Herbert atte Mulle","char-offset:148","PERSON","","","","","","","","Dead",""
"557dd6e9-4951-4a2e-ad93-219894689cb8","HCM_1683.txt","Stanleye St. Leonards","char-offset:218","PLACE","","","","","","","NOT_IDENTIFIABLE","",""
"7d4e527c-65de-4d15-a4a9-15013c62a2fc","HCM_1683.txt","Stanleye","char-offset:218","PLACE","","","","","","","NOT_IDENTIFIABLE","",""
"dff12d71-503f-48b6-9571-7c7f71f2edf6","HCM_1683.txt","Herbert","char-offset:310","PERSON","","","","","","","","",""
"5f5b8a1d-aabb-48c0-81ac-3669d30ab4d7","HCM_1683.txt","Edith","char-offset:352","PERSON","","","","","","","","",""
"f7038ed8-6bac-4844-a0e9-af29c15c4eb1","HCM_1683.txt","John","char-offset:419","PERSON","","","","","","","","",""
"01e86e90-6d6a-41fc-bcdb-6e10edf7903d","HCM_1683.txt","Petronilla","char-offset:433","PERSON","","","","","","","","",""
"34bbb125-baa1-4ec6-89b9-27a8afcf8c37","HCM_1683.txt","Prior of Stanleye","char-offset:457","PERSON","","","","","","","","Office",""
"e734d546-ba79-4d14-8b5b-3a7dc0365668","HCM_1683.txt","Petronilla","char-offset:765","PERSON","","","","","","","","",""
"dc1ba7ce-e981-4bf6-ac77-d5d7efe1cbb7","HCM_1683.txt","the chapter-house at Gloucester.","char-offset:866","PLACE","http://sws.geonames.org/2648404","Gloucester","","51.86568","-2.2431","","VERIFIED","Building",""
