"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"58c4698c-2930-43d6-8ada-d3c825440d9e","HCM_2870.txt","Richard de Hamenays","char-offset:83","PERSON","","","","","","","","Principal",""
"059b0467-e5f0-4acf-8515-a8d9b57937ff","HCM_2870.txt","Hamenays","char-offset:94","PLACE","","","","","","","UNVERIFIED","Nominative",""
"d66c85c9-ae21-47c5-988b-fe772a48fbd0","HCM_2870.txt","sub-dean of Hereford","char-offset:104","","","","","","","","","job",""
"1dd9f8e5-6858-44fe-86ba-579c390b2476","HCM_2870.txt","John de Aqua Blanca","char-offset:148","PERSON","","","","","","","","",""
"767fddc1-9d71-4ade-b550-decd643aefc6","HCM_2870.txt","Aqua Blanca,","char-offset:156","PLACE","","","","","","","UNVERIFIED","Nominative",""
"9861dcbe-9cf2-4329-8eeb-4cae1d033a9a","HCM_2870.txt","dean of Hereford","char-offset:169","","","","","","","","","job",""
"5cb96541-9d6e-4121-86c6-cbbcbaa07480","HCM_2870.txt","Dominus Willam the Young","char-offset:190","PERSON","","","","","","","","Principal",""
"39e99a98-f2df-410c-bd22-b143ab388bb7","HCM_2870.txt","chaplain, receiver of the chapter of Hereford.","char-offset:216","","","","","","","","","Job",""
"bc562579-8e54-4afc-a3a5-858fb01d3507","HCM_2870.txt","Hereford","char-offset:253","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","",""
"a4bf24b0-f3fa-4ada-8247-86012da41ade","HCM_2870.txt","Lydeneye","char-offset:354","PLACE","","","","","","","UNVERIFIED","Property",""
"9e189dbc-761d-4741-b0ae-223ecce02aec","HCM_2870.txt","small commons","char-offset:364","PLACE","","","","","","","NOT_IDENTIFIABLE","",""
"f2c859f1-cb75-40c1-b30e-d69cb9ee07d6","HCM_2870.txt","Peter's pence","char-offset:382","PLACE","","","","","","","NOT_IDENTIFIABLE","",""
"ce0760e7-58c0-47dc-bc5a-22d7dcdf9d5f","HCM_2870.txt","Hereford","char-offset:406","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Given at",""
"8e761d28-bbc7-4af7-b909-d4c8f2b6e37c","HCM_2870.txt","Latin","char-offset:416","","","","","","","","","Language",""
"952bce86-8922-4a57-9b5b-fb0ab8e3c63d","HCM_2750.txt","Giles, clerk, called the tailor, organ-keeper","char-offset:61","PERSON","","","","","","","","Principal",""
"f60f0e6b-5f14-4024-aba9-ade74b138088","HCM_2750.txt","Dean and chapter of the church of Hereford","char-offset:130","PERSON","","","","","","","","Collective|Principal",""
"2ee77e6b-493b-4926-8bd4-ca4df8567a6a","HCM_2750.txt","Hereford","char-offset:164","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","",""
"c6abd822-896c-4323-9708-2c6ebc589757","HCM_2750.txt","Latin","char-offset:257","","","","","","","","","Language",""
"b6c81e00-79b1-4fb8-8ec9-5d9ac79da7b8","HCM_2751.txt","Roger de Meltone Mounbray","char-offset:40","PERSON","","","","","","","","Principal","""Champion"""
"ca28aaff-68a5-43e6-a6f1-d09c74cc8d34","HCM_2751.txt","Meltone Mounbray","char-offset:49","PLACE","","","","","","","UNVERIFIED","Nominative",""
"c72f6366-7b97-4249-b961-934924d7ecac","HCM_2751.txt","Dean and chapter of Hereford","char-offset:80","PERSON","","","","","","","","Principal|Collective",""
"1d0a7192-22dc-46fe-b7be-4d66057c200c","HCM_2751.txt","Hereford","char-offset:100","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","",""
"87b23d11-38e9-4469-8893-210c5574762e","HCM_2751.txt","Hereford","char-offset:226","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Given at",""
"7a8e4f71-47e2-471f-80b5-c8f75af8feb0","HCM_2751.txt","Latin","char-offset:236","","","","","","","","","Language",""
"1c01a7b5-ca65-428e-b287-55002f55fe95","HCM_2779.txt","Thomas de Orletone","char-offset:86","PERSON","","","","","","","","Principal",""
"a7787175-218c-4cfc-a796-507b89dce425","HCM_2779.txt","Orletone","char-offset:96","PLACE","","","","","","","UNVERIFIED","Nominative",""
"46c484cc-04fb-48f4-a116-d41d66958fe8","HCM_2779.txt","Dean and chepter of the church of St. Ethelbert of Hereford","char-offset:109","PERSON","","","","","","","","Collective|Principal",""
"8e787bbe-edc4-40e0-a39a-b0d8ec354995","HCM_2779.txt","he church of St. Ethelbert of Hereford","char-offset:130","PLACE","","","","","","","UNVERIFIED","Building",""
"86c5c6d0-c0c2-4093-8abe-2d53da6ca819","HCM_2779.txt","Hereford","char-offset:219","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","",""
"c6a669dc-fd0e-4c21-af4b-3420f6ead913","HCM_2779.txt","Hundertone","char-offset:446","PLACE","","","","","","","UNVERIFIED","",""
"a7252a2a-4d65-488a-b5d4-96386cb01412","HCM_2779.txt","Hereford","char-offset:467","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Given at",""
"112019fc-9d50-468d-8019-7a0967a9b253","HCM_2779.txt","Latin","char-offset:477","","","","","","","","","Language",""
"49d2b5cc-67fd-4445-b07f-ea7be057aea9","HCM_2749.txt","William [Valet]","char-offset:27","PERSON","","","","","","","","Principal",""
"ba4a8e5d-84a1-45ec-9dd1-ca39c18cb075","HCM_2749.txt","subtreasurer of the church of Hereford","char-offset:44","","","","","","","","","Job",""
"24a10a5f-cb94-4a9b-aa7f-842cddb94238","HCM_2749.txt","Dean and chapter of the aforesaid church","char-offset:87","PERSON","","","","","","","","Collective|Principal","(Hereford)"
"fd8c49ef-2007-45f1-932f-e0f046e57cd4","HCM_2749.txt","W[illiam] the Young","char-offset:144","PERSON","","","","","","","","Principal",""
"afcc864c-bf68-4494-9245-9d4064f89b75","HCM_2749.txt","Hereford","char-offset:336","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Given at",""
"27c0880b-cfb3-4463-872d-3e8f4b5c9e86","HCM_2749.txt","Latin","char-offset:346","","","","","","","","","Language",""
