"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"66d7b921-5af0-4a7f-a4b0-77305d1e1a59","HCM_1851.txt","William de Maldon’","char-offset:68","PERSON","","","","","","","","Scribe",""
"84b81924-061d-452a-91f7-14a2cf5c078d","HCM_1851.txt","Maldon’","char-offset:79","PLACE","http://sws.geonames.org/2643160","Maldon","","51.7311","0.67463","","VERIFIED","Nominative",""
"7c0b7349-c8dc-4b03-8786-b625f72aebf1","HCM_1851.txt","London","char-offset:105","PLACE","http://sws.geonames.org/6058560","London","","42.98339","-81.23304","","UNVERIFIED","Nominative",""
"1c910d7b-a14d-4e07-a75d-46af4947e404","HCM_1851.txt","notary public","char-offset:113","","","","","","","","","Job",""
"c5497861-a410-4abf-be56-dca824cb1584","HCM_1851.txt","the dean and chapter of Hereford","char-offset:154","PERSON","","","","","","","","Collective|Principal",""
"a8ab0ea3-c491-4ef1-a2e0-43d5c002bbe2","HCM_1851.txt","Hereford","char-offset:178","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","Nominative",""
"013d7ada-6c65-4c0f-8812-fcad529c9e17","HCM_1851.txt","subcollectors of the tenth","char-offset:188","","","","","","","","","Job",""
"bba35c60-6bee-4d58-8769-de36e260b7ca","HCM_1851.txt","Pope Clement V","char-offset:226","PERSON","","","","","","","","",""
"ebf8027b-5ed3-498a-8334-4da481a8489a","HCM_1851.txt","Crusades","char-offset:266","EVENT","","","","","","","","",""
"b7440b28-905f-4896-ba6d-5bb3a6642f90","HCM_1851.txt","dean and chapter","char-offset:285","PERSON","","","","","","","","Collective","dean and chapter of Hereford"
