"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"37232348-f0cb-4d1a-8fe0-02091a7ffadf","HCM_559.txt","Adam called le Turnur de Staunton","char-offset:101","PERSON","","","","","","","","Principal",""
"725d14e7-36c4-46dd-abe5-ff81947f09c9","HCM_559.txt","Staunton","char-offset:126","PLACE","http://geo-kima.org/place/6341","Staunton (Va.)","","","","","UNVERIFIED","Nominative",""
"2873d7f6-0c0f-48e5-ae26-ebfca5c8d62d","HCM_559.txt","William Wytte de Stauntone juxta Cors","char-offset:151","PERSON","","","","","","","","Principal",""
"69ca46f6-f0bf-4511-8760-fd13c35fd028","HCM_559.txt","Stauntone juxta Cors","char-offset:168","PLACE","","","","","","","UNVERIFIED","Nominative",""
"48841e22-73c2-4f82-9e43-26c8895e582b","HCM_559.txt","Emma","char-offset:193","PERSON","","","","","","","","Principal","Wife of William Wytte de Stauntone juxta Cors"
"ad7435c4-f940-47c4-a51f-e6981ff57792","HCM_559.txt","Rydmarleye de Albitot","char-offset:261","PLACE","","","","","","","UNVERIFIED","",""
"4a955888-ce80-4514-b8b2-27311117bc29","HCM_559.txt","Inggefeld","char-offset:301","PLACE","","","","","","","UNVERIFIED","",""
"478ae0f7-f4b8-4a8a-b580-d6e51e943143","HCM_559.txt","Wyndmulnehul","char-offset:334","PLACE","","","","","","","UNVERIFIED","",""
"ecac5a00-4612-4b8f-8e6c-0a0eae508673","HCM_559.txt","Robert ate Heye","char-offset:422","PERSON","","","","","","","","",""
"6bef0366-bb91-4bcd-afec-95d1b78b5ab2","HCM_559.txt","Heye","char-offset:433","PLACE","","","","","","","UNVERIFIED","Nominative",""
"e46933ff-fa6d-4dd0-870b-112e75b52bea","HCM_559.txt","Staunton","char-offset:537","PLACE","http://geo-kima.org/place/6341","Staunton (Va.)","","","","","UNVERIFIED","Given at",""
"ab4fc267-1de6-44e6-a283-53d925f5010b","HCM_559.txt","Robert, lord of Stauntone","char-offset:559","PERSON","","","","","","","","Witness",""
"af1f5df7-fc66-4b12-96dc-75affd18c3ac","HCM_559.txt","Robert de la Doune de Rydmarleye","char-offset:586","PERSON","","","","","","","","Witness",""
"fa8d6a3c-870e-486d-84f3-a04f5d7f678e","HCM_559.txt","Rydmarleye","char-offset:608","PLACE","","","","","","","UNVERIFIED","Nominative",""
"741a816f-a366-405c-8145-1c04f167c850","HCM_559.txt","John de Holeford","char-offset:620","PERSON","","","","","","","","Witness",""
"67e47ab6-e44b-423c-ba5c-b565a1c57ca3","HCM_559.txt","Holeford","char-offset:628","PLACE","","","","","","","UNVERIFIED","Nominative",""
"a16c3c52-6325-4be7-9dc9-7076a26bdce0","HCM_559.txt","William le Neucome","char-offset:650","PERSON","","","","","","","","Witness",""
"fbb995ca-8d42-4a6c-a2df-444643baf98e","HCM_559.txt","Neucome","char-offset:661","PLACE","","","","","","","UNVERIFIED","Nominative",""
"2005bc3d-cebb-4170-afed-428f7214afc5","HCM_559.txt","William le Cok ' de Staunton","char-offset:670","PERSON","","","","","","","","Witness",""
"7b2c2092-433c-4545-9e97-8f1b6a62f3ff","HCM_559.txt","Walter de Staunton","char-offset:700","PERSON","","","","","","","","Witness|Scribe",""
"8dce8a45-9bce-4982-a324-da715b390a20","HCM_559.txt","Latin","char-offset:721","","","","","","","","","Language",""
"f8e79dee-5f89-427d-ab65-58d19e68f21b","HCM_559.txt","Seal","char-offset:728","","","","","","","","","Material feature",""
"57813c69-6e3c-4c9b-bf42-219f87c2427d","HCM_412.txt","Thomas de Aylineston","char-offset:103","PERSON","","","","","","","","Principal",""
"364b499d-c521-4284-9b41-7400037cde7a","HCM_412.txt","Aylineston","char-offset:113","PLACE","","","","","","","UNVERIFIED","Nominative",""
"ba77ca20-6b57-4e84-b9be-925b505d04b7","HCM_412.txt","tailor","char-offset:126","","","","","","","","","Job",""
