"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"06ac5d86-292b-4e0d-8790-a163f19843b4","HCM_2713.txt","John de la Barew","char-offset:79","PERSON","","","","","","","","Principal",""
"7f96737e-9432-45b9-8e99-c5c44b6fa49a","HCM_2713.txt","bailiff of the dean and chapter of Hereford","char-offset:98","","","","","","","","","job",""
"3d4cb681-cc3d-4b25-a91b-924d078231e2","HCM_2713.txt","Dean and chapter of Hereford","char-offset:146","PERSON","","","","","","","","Collective|Principal",""
"8a1660ed-ce47-4489-acf1-fb25af8cc77b","HCM_2713.txt","Willian the Young","char-offset:191","PERSON","","","","","","","","Principal",""
"8453445e-69a3-4d53-933d-78c866adb354","HCM_2713.txt","Hereford","char-offset:318","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Given at",""
"612f07b1-1441-4403-8ee1-7a5aec6b9d05","HCM_2713.txt","Latin","char-offset:328","","","","","","","","","Language",""
"6ce7b48a-aef1-432b-a40b-c5c26c94f3a5","HCM_2712.txt","Williem Valet","char-offset:61","PERSON","","","","","","","","Principal",""
"4a6c43c6-068d-4ceb-883d-eddf8a2983a3","HCM_2712.txt","sub-treasurer in the church of Hereford","char-offset:76","","","","","","","","","Job",""
"5ac373de-afeb-479d-947d-b7b5ae32e006","HCM_2712.txt","Dean and chapter of the aforesaid church","char-offset:120","PERSON","","","","","","","","Collective|Principal","Of Hereford"
"72684eee-acab-46b2-8a40-d6a0a917ecf0","HCM_2712.txt","William the Young","char-offset:185","PERSON","","","","","","","","Principal",""
"2cf8a726-f377-4ee3-a388-692d56fcfb7c","HCM_2712.txt","Hereford","char-offset:398","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Given at",""
