Id	Node Type	Person_Named by	Person_Job	COMMENTS
Abbot and convent of St. Peter's, Gloucester	Person	Office		
Abbot of Wygemore, collector of the fifteenth in the archdeaconry of Salop	Person	Office		
Adam called le Turnur de Staunton	Person			
Adam Carbonel	Person		canons of the cathedral church of Hereford	
Adam de Barewe	Person		clerk of the dean and chapter of Hereford	
Adam de Colewalle	Person			
Adam de Orl'ton'	Person		his proctor	
Adam de Orletone	Person		clerks	
Adam de Sned	Person			
Adam de Wyghtfeld	Person			
Adam de Wythfeld	Person			
Adam Hanlyn'	Person			
Adam Hwyty	Person			
Adam Knoyl	Person			
Adam le Porter, bailiff of the fee	Person			
Adam Murimouth	Person			
Adam Orleton, bishop of Hereford	Person			
Adam Scheld	Person			
Adam son of Williem of William Denre	Person			
Adam Whyty	Person			
Agnes Anondeu	Person			
Agnes wife of John de Weston	Person			
Agnes wife of William son of John de la More	Person			
Alan Plotemo	Person			
Alexander de Bykenor	Person		Commissioner	
Alfredus	Person		executors of the will of magister Philipp Talebot	
Alice	Person			
Alice daughter of Richard le Mason de Lenhales	Person			
Alice de Braumford	Person			
Alice de la Halle	Person			
Alyna wife of Richard Berde de Ledbury	Person			
Anselm	Person		dean of Hereford	
Anthony Pessaigne	Person		sureties to the said bishop, dean and chapter	
archbishop of Canterbury	Person	Office		
archbishop of York	Person	Office		
archdeacon of Aran in the church of Comminges	Person	Office		
archdeacon of Aran in the church of Comminges, papal chaplain	Person	Office		
archdeacon of Aran in the church of Comminges, papal chaplain and envoy in England	Person	Office		
archdeacon of Hereford	Person	Office		
Arnald le Clover	Person		citizens	
Arnald le Lymbernare	Person			
a son of Stephen de Buterleye, lord of Buterleye	Person	Office		
Aymer de Valence	Person			
bailiff	Person	Office		
bailiff of the bishop of Hereford	Person	Office		
bailiff of the dean and chapter of Hereford	Person	Office		
bailiff of the dean and chapter of the church of Hereford	Person	Office	bailiff of the dean and chapter of the church of Hereford	
baker	Person	Office		
Bardi	Person			
Bartholomew	Person			
Bartholomew de Badelesmere	Person		knight	
Bartholomew the scribe of Hereford	Person		original proctor of the said vicars	
Beatrice	Person			
Benedict de Paston	Person		professor of civil law	
bishop of Hereford	Person	Office		
bishop of Lincoln	Person		collector of the said tenth	John Dalderby (?) was Bishop of Lincoln 1300-1320
bishop of Worcester	Person	Office		
Bishops of Lincoln and London	Person	Collective		
bishops of London	Person	Office	collectors of the said tithe for Pope Clement [V]	Ralph Baldock was Bishop of London 1304-1313; Gilbert Seagrave was Bishop of London 1313-1316
bishops of Mende and London	Person	Office		
bishops of Winchester	Person			Henry Woodlock was Bishop of Winchester from 1305-1316; previously it was John of Pointoise 1282-1304
Bromyard Hoddesbach	Person			
canon	Person	Office		
canon in the church of Hereford	Person	Office		
canon of Hereford	Person	Office		
canons who are personally resident in the said church or who are absent by licence of the chapter furthering the interests of the said church	Person	Office		
cardinals	Person	Office		
Cecilia	Person			
Cecilia de Badesshawe	Person			
chamberlain	Person	Office		the king's chamberlain
chancellor of the church of Hereford	Person	Office		
chaplain	Person	Office		
chaplain and envoy of the pope	Person	Office		
chapter of Hereford	Person	Collective		dean and chapter of Hereford
chapter of Llandaff	Person	Collective		
chapter of the same	Person	Collective		chapter of the church of St. Etherbert of Hereford
Church of St. Ethelbert of Hereford and the chapter or the same	Person	Collective		
Clement de Paston	Person		proctor	
clerk of the diocese of Hereford and notary public	Person	Office		
Coblynton	Person			
Couen	Person			
Cradok' ap Morgan	Person			
Dauid de Retherwas	Person			
David, bishop of St. David's	Person			
David ap Howel Vachan	Person			
David de Rotherwas	Person			
David the smith	Person			
Davyd de la Barre	Person			
deacon of St. Nicholas in the Tulliam prison	Person	Office		
dean and chapter	Person	Office		of Hereford
Dean and chapter of Hereford	Person	Office		
Dean and chapter of the aforesaid church	Person	Collective		(Hereford)
Dean and chapter of the cathedral church of St. Ethelbert of Hereford	Person	Collective		
Dean and chapter of the church at Hereford	Person	Collective		
Dean and chapter of the church of Hereford	Person	Collective		
Dean and chapter of the church of Saint Ethelbert at Hereford	Person	Collective		
dean and chapter of the church of St. Ethelbert	Person	Collective		
Dean and chapter of the church of St. Ethelbert of Hereford	Person	Office		
Dean and chapter of the said church	Person	Office		
dean of Hereford	Person	Office		Dean of Hereford Cathedral|that is, John de Aqua Blanca (1278-1320)
Devyd de Ia Bere	Person			
Dominus Hugh de Brehousa	Person			
Dominus James de Henle	Person			Canon of Hereford
Dominus John de Kemeseya	Person			Chaplain
Dominus Roger Broun	Person			vicar of Nortone
Dominus Willam the Young	Person		chaplain, receiver of the chapter of Hereford.	
Dowinus William Mortimer	Person			
Edith	Person			
Edmund le Walsse	Person			
Edw. II	Person			
Edward I	Person			King Edward I
Edward II	Person			King Edward II
Edward III	Person			King Edward III
Eleanor	Person			Eleanor le Young?
Elianora	Person			
Elianora, wife of Roger Rac	Person			
Elias de Bekynham	Person			
Elias de Roilly	Person			
Ellen	Person			Ellen daughter of Robert le Teyntour
Ellen, daughter of Robert de Compton	Person			
Ellis	Person			AKA Elyas
Ellis (Elyas) de Albriton'	Person			
Ellis de Walsnede	Person			
Emericus de Friscobald	Person		merchants	
Emma	Person			Wife of William Wytte de Stauntone juxta Cors
episcopus Portuen	Person	Office		
Euerard	Person			
Everard	Person			Everard son of John le Clerk of Bristol
Everard son of John le Clerk'	Person			
fee of the dean and chapter in Broynton	Person	Collective		
fifteen other bishops and seven abbots	Person	Office		
Frater John	Person		abbot	
Frater John de Kyngeston	Person			
Geoffrey	Person			Geoffrey de la Hulle
Geoffrey de Brampton	Person			
Geoffrey de la Hulle	Person			
Geoffrey de la Wode	Person			
Geoffrey de Sancto Albano	Person			
Gerard de Sisiriaco	Person		canon of [?] Belves ('canonico Beluacen' '	
Gilbert, bishop of Annaghdown (Enachdunensis)	Person		bishop of Annaghdown (Enachdunensis)	
Gilbert Blod	Person		citizens	
Gilbert de Bolyngehope	Person			
Gilbert de Bruera	Person		clerk	
Gilbert de la lowe	Person			
Gilbert de Raigate, rector of the church of Brugge	Person		clerks of the diocese of Hereford	aka Gilbert Reygate
Gilbert Ives	Person			
Gilbertle Coliar	Person			
Gilbert le Gamit' (Gaunt'?), bailiff of the fee of the hospital	Person			
Gilbert Whyty	Person			
Giles, clerk, called the tailor, organ-keeper	Person			
Giles, clerk, called the tailor (cissor)	Person			
Giles le Deyare	Person			
Giles le Ferur	Person			
Godfrey de la Leye	Person		clerk	
Gregory, perpetual vicar of Landesteffan	Person		perpetual vicar of Landesteffan	
Gregory, perpetual vicar of the church of Landesteffan	Person		vicar of the church of Landesteffan	
Grimbald Pauncefot	Person		knight	
Gruff[ith] ap Oweyn	Person			
Guillelmus de Bergamo	Person		commissioners for the dean end chapter of Hereford	
Guillelmus Testa	Person		archdeacon of Aran in the church of Comminges	
H. de Shorn	Person		archdeacon of Hereford	Henry de Shorn
Hamon de Sandwyco	Person		canons of the cathedral church of Hereford	Hamo de Sandwich
Harry de Penebrugge, knight	Person		knight	
Henry	Person			Henry le Yonge? [i.e. Henry, son of Henry le Yonge]
Henry de Derby	Person		vicar in spiritualities and temporalities of dominus Robert, archbishop of Canterbury	
Henry de Gardino	Person		chaplain	
Henry de Henor	Person			
Henry de Heyton	Person		clerk	
Henry de Lugwardyn	Person			
Henry de Orleton	Person		bailiffs of the town of Hereford	bailiff of the town of Hereford
Henry de Schorn	Person		archdeacon of Hereford	
Henry de Underwode	Person			
Henry de Welbeton	Person			
Henry de Wyke	Person			
Henry Galant	Person			
Henry le Bakare	Person			
