source,relation,target,source_id,source_tags,target_id,target_tags
bishop of Hereford,Job,"Richard [de Swinfield], bishop of Hereford",8bfaf8fb-75b8-4ee4-84c1-bf746f307dbd,Job,28489dab-738a-4a97-8625-5eb00e9b998f,Principal
"sureties to the said bishop, dean and chapter",Job,John Vanne,2616e460-b02d-46e5-b27a-03f14912659a,Job,4cdad838-f8db-4d9a-b93f-158673b65304,
"sureties to the said bishop, dean and chapter",Job,William de Donecastr,2616e460-b02d-46e5-b27a-03f14912659a,Job,f4de9b42-9424-409c-b094-01be84ffed32,
"sureties to the said bishop, dean and chapter",Job,William Seruat,2616e460-b02d-46e5-b27a-03f14912659a,Job,96ca8c58-5cfe-4548-89a8-e95ae6e72aaf,
"sureties to the said bishop, dean and chapter",Job,William Trente,2616e460-b02d-46e5-b27a-03f14912659a,Job,b97a5279-ac46-4de0-b38c-e5f2e22e3e58,
"sureties to the said bishop, dean and chapter",Job,William Coumartyn,2616e460-b02d-46e5-b27a-03f14912659a,Job,9feb5df7-057a-4488-a1c0-07f5250aa206,
"sureties to the said bishop, dean and chapter",Job,John de Bureford,2616e460-b02d-46e5-b27a-03f14912659a,Job,c43ac10a-c0f3-484c-9681-fed532ad4eb2,
"sureties to the said bishop, dean and chapter",Job,Anthony Pessaigne,2616e460-b02d-46e5-b27a-03f14912659a,Job,ca36bf85-afc5-45ce-8ca8-02b5e8b097a7,
"sureties to the said bishop, dean and chapter",Job,Robert Baynard,2616e460-b02d-46e5-b27a-03f14912659a,Job,a5cf5ae2-0998-4eb1-bd12-e504c979b84f,
"sureties to the said bishop, dean and chapter",Job,John de Sandale,2616e460-b02d-46e5-b27a-03f14912659a,Job,063e6ea2-4a2f-4104-93bf-0aed15a46efa,
king's merchants,Job,John Vanne,37c55fd2-95ed-4f03-b26f-5c9966ff921d,Job,4cdad838-f8db-4d9a-b93f-158673b65304,
king's merchants,Job,William de Donecastr,37c55fd2-95ed-4f03-b26f-5c9966ff921d,Job,f4de9b42-9424-409c-b094-01be84ffed32,
king's merchants,Job,William Seruat,37c55fd2-95ed-4f03-b26f-5c9966ff921d,Job,96ca8c58-5cfe-4548-89a8-e95ae6e72aaf,
king's merchants,Job,William Trente,37c55fd2-95ed-4f03-b26f-5c9966ff921d,Job,b97a5279-ac46-4de0-b38c-e5f2e22e3e58,
king's merchants,Job,William Coumartyn,37c55fd2-95ed-4f03-b26f-5c9966ff921d,Job,9feb5df7-057a-4488-a1c0-07f5250aa206,
king's merchants,Job,John de Bureford,37c55fd2-95ed-4f03-b26f-5c9966ff921d,Job,c43ac10a-c0f3-484c-9681-fed532ad4eb2,
king's merchants,Job,Anthony Pessaigne,37c55fd2-95ed-4f03-b26f-5c9966ff921d,Job,ca36bf85-afc5-45ce-8ca8-02b5e8b097a7,
king's clerk,Job,John de Sandale,99bb38d8-5934-445a-8758-8b1fb3b387d3,Job,063e6ea2-4a2f-4104-93bf-0aed15a46efa,
"Adam son
 of Williem of the same",Son of,Williem of the same,d7bdbb4e-c36c-4698-a286-7b12981a80b8,Principal,2f2217e9-8bec-4d80-a09a-359fee47ffcd,
rector of the church of Dunre,Job,Stephen,328b6fc1-bdd8-4cbc-8863-0838b473fc6c,Job,6e836549-01b4-4b66-b2ae-0c09d645c662,Principal
his proctor,Job,John Germeyn,c0b43d8e-fb30-4e1e-8716-a4d4aafbf2ab,Job,29ae756b-2d54-4059-8699-12774dd0746d,
treasurer,Job,John de Sandale,e33355f4-1eb4-4f7f-8f85-a110025bf4e2,Job,063e6ea2-4a2f-4104-93bf-0aed15a46efa,
dean of Hereford,Job,Anselm,be5f8d40-a735-4426-b4d2-9c48b8aeebde,Job,9e9f95a6-dfb1-4dac-90dd-ec27ee65fef1,Dead
"bishop of Hereford,",Job,"R[ichard Swinfield], bishop of Hereford",9dfca08d-af72-4738-83c4-407d28aaf6ee,Job,14850019-7f04-458b-9784-2cdf798c10bc,Principal
source,relation,target,source_id,source_tags,target_id,target_tags
his servant,Job,Walter Mantel,fd447d6b-9422-44af-b1da-e21ec6e5030e,Job,85da06d1-1981-4945-b3b3-f46ce2afc385,
Ellen,Daughter of,Robert le Teyntour,bf50d49d-24ff-48e0-ae16-e7c12b4d88b1,,9101352f-0266-47f4-8d25-d00912b8b939,
"vicar in spiritualities and temporalities of dominus Robert, archbishop of Canterbury",Job,Henry de Derby,77d9f70f-84a0-4fa5-bef1-774d6e42cacd,Job,4866f87d-927f-4472-af2a-7431c9a9dcd6,Principal
"commissary general of the prior of the church of Canterbury,",Job,Henry de Derby,53e21f2a-564b-4b08-8322-76fdc5db35a7,Job,4866f87d-927f-4472-af2a-7431c9a9dcd6,Principal
the sheriff of Gloucestershire,Agent of,the king,fd8881f4-ffa1-4f21-969f-32f841573a1b,Office|Principal,304d8f85-50ad-4015-b2d3-77a6de6653bd,Principal|Office
citizen of Salisbury (Nova Sarum),Job,Reginald de Todeworth,cd5b9d91-2ecc-4e62-bd72-23398a0377b6,Job,77462e4d-0eb3-4ab5-a450-02b234375734,Principal
Agnes,Wife of,John de Weston,47963bd8-fdb4-4d03-ae5b-a2ddc09a80a0,,d5119878-a5e7-4b5b-8cbf-8f121fb01986,
source,relation,target,source_id,source_tags,target_id,target_tags
Petronilla,Wife,John,01e86e90-6d6a-41fc-bcdb-6e10edf7903d,,f7038ed8-6bac-4844-a0e9-af29c15c4eb1,
Herbert atte Mulle,Father,John atte Mulle,2297c89f-84e9-4e3f-9044-096cb53823d6,Dead,d7d4ca15-b3b4-4ca0-abdf-380b6920fd59,
Hugh son of Philip,Neighbor,Stephen,fda23b58-d832-4194-b7f3-9d815c7cdc93,,8416127b-7e27-4b76-afca-e545a4c69ba1,
Alice,Wife,Roger de la Grene de Bulleye,13d68220-cbd3-4aeb-9129-1af4242586cf,Principal,3f05750d-8d52-4a47-a42d-a397b007d8a2,Principal
chaplain,Job,John de Acle,7c3d3408-dd76-47a3-9efe-baf83477fb08,job,efbe9731-9696-44ce-b204-cb7df9d2b00f,Principal
Edith,Mother,John atte Mulle,5f5b8a1d-aabb-48c0-81ac-3669d30ab4d7,,d7d4ca15-b3b4-4ca0-abdf-380b6920fd59,
Edith,Wife,Herbert,5f5b8a1d-aabb-48c0-81ac-3669d30ab4d7,,dff12d71-503f-48b6-9571-7c7f71f2edf6,
abbot,Job,John,fe6b7b73-d29a-4dfe-a7e5-3c887a3b7762,job,85e21ed5-889b-42a0-9d5a-e4680e7be1e2,Principal
abbot,job,John,38fea7cf-19ea-45a6-9b85-e7a1a3d13a0a,Job,9dd33041-f1aa-48f3-ba83-35b0ca1120f1,Principal
source,relation,target,source_id,source_tags,target_id,target_tags
John Lythfot,Job,bailiff of the dean and chapter of the church of Hereford,0b9c36ea-adc7-4fca-ba11-d9b3d6a40bd4,,f41ae198-e61c-4178-bcda-9d4ab8094b41,Office
Walter de Wardlowe,Job,reeves of Preston,d6ed1bf6-6722-4160-b3f7-fb53251a6158,,bc4ba1ce-828a-4110-aac4-f8323d3ae287,Office
Walter de la Bache,Job,reeves of Preston,7470a726-574a-4d81-97e5-a3390d7cf4d9,,bc4ba1ce-828a-4110-aac4-f8323d3ae287,Office
source,relation,target,source_id,source_tags,target_id,target_tags
treasurer of Hereford,Job,John de Kemeseye,48440428-0ab2-41b1-916e-0141256a6e5e,Job,d8a9e9ac-cdc8-4ef4-812a-bd9fb092b170,Principal
chancellor,Job,"Robert de Gloucestr', chancellor",8c195415-fbd5-4826-a9ba-c17b19e56b06,Job,6635e605-d8f7-41e8-8920-14d69e82399e,Principal
commissary,Job,"Walter, archbishop of Canterbury",a2c0d6cf-fe4f-4916-b726-a136d8913f0b,Job,54338f7f-969d-48f9-8976-2e914098678f,
knight,Job,"Harry de Penebrugge, knight",0dc2ff5c-2c13-42f5-98a1-3ee0dbd666ce,Job,86ac531d-3df9-4b82-aa8a-af56f09debaf,Witness
