"source","relation","target","source_id","source_tags","target_id","target_tags"
"Richard Berde de Ledebur","Neighbors","William Crodele","0829b0da-48e9-48d8-9005-e9da0e72d811","Principal|Scribe","d13e20d7-9a22-4a64-b88f-b2dc41e030cf",""
"Richard Berde de Ledebur","Neighbors","the rector of the church of Estenovere","0829b0da-48e9-48d8-9005-e9da0e72d811","Principal|Scribe","24ce0361-4cee-4da6-9224-2aba528771ad","Office"
"Richard Berde de Ledebur","Neighbors","John de Underdoune","0829b0da-48e9-48d8-9005-e9da0e72d811","Principal|Scribe","56bb5906-c545-4fa6-82dd-98161d9ff184",""
"Richard Berde de Ledebur","Son of","Ralph Berde","0829b0da-48e9-48d8-9005-e9da0e72d811","Principal|Scribe","5ce285e0-df7c-4f26-bd1b-2d7e25496735","Witness"
"William de Cirescestre","Neighbors","Robert Carpentar","555e6c6c-ae8e-4d1e-ba91-9ac1ae61a243","Principal","1e32bf78-759d-40ad-92b5-fe9fa0094fc9",""
"William de Cirescestre","Neighbors","John de Sevenok","555e6c6c-ae8e-4d1e-ba91-9ac1ae61a243","Principal","c5afb5de-4e10-4b4f-8292-b8b30bb1ba53",""
"William de Cirescestre","Neighbors","William Inthehale","555e6c6c-ae8e-4d1e-ba91-9ac1ae61a243","Principal","c21bb396-8268-43c5-974d-0fe7a72028fe",""
"le Werrour","Job","Philip le Werrour","d5ba9056-9355-4162-8123-f9716723d401","Job","18c3de82-6ac4-4be9-a7c9-c528a868207d","Witness"
"the true patron of the church","Job","Licent ' de Morgan","0aca45fd-a705-4e22-ba7f-de5c712dd1a5","Job","c7b391bf-374d-4b5b-b234-342495e75698",""
"John de Sevenok","Neighbors","William Inthehale","c5afb5de-4e10-4b4f-8292-b8b30bb1ba53","","c21bb396-8268-43c5-974d-0fe7a72028fe",""
"clerk","Job","John Nicholas","c2445f45-63f7-4867-924e-63dafa26d1d6","Job","9a4c66f4-c552-4ee9-a40e-086308a6ad90",""
"Ievan ap Howel Vachan","Son of","Howel vab","b8031f87-4753-4942-961c-bbf9227dcf24","Principal","eec8090f-ac6f-4ae9-8ff4-4def845970ae","Principal"
"fellow-monk","Job","the convent of the same place","15a2abeb-d52d-4292-8311-8d9fd71c47de","Job","f71619cf-e8ee-4d3f-a5b6-1fc93ed7cb27","Collective|Principal"
"fellow-monk","Job","John de Sancto Briavello","15a2abeb-d52d-4292-8311-8d9fd71c47de","Job","5bbb6adf-af21-4b96-b930-33bf83acf8a5","Principal"
"fellow-monk","Job","John, prior of the cathedral church of Worcester","15a2abeb-d52d-4292-8311-8d9fd71c47de","Job","1a2d2c99-c6f0-4d2e-86bc-2415600f2411","Principal"
"Richard Perot de Ledebur","Neighbors","William Crodele","f4ea3f32-b410-4e6a-980c-12e57b5c6099","Principal","d13e20d7-9a22-4a64-b88f-b2dc41e030cf",""
"Richard Perot de Ledebur","Neighbors","the rector of the church of Estenovere","f4ea3f32-b410-4e6a-980c-12e57b5c6099","Principal","24ce0361-4cee-4da6-9224-2aba528771ad","Office"
"Richard Perot de Ledebur","Neighbors","John de Underdoune","f4ea3f32-b410-4e6a-980c-12e57b5c6099","Principal","56bb5906-c545-4fa6-82dd-98161d9ff184",""
"incumbent de facto","Job","John Toppe","9618bb84-1352-40d4-b1b4-721af09bb89d","Job","099649c9-4d0c-487c-8348-e9dc3d6b4234",""
"citizen of Hereford","Job","John de Retherwas","5b78b129-2127-4609-87be-1062bccec7cf","Job","69014c93-6233-4ddf-9430-6fd24a6dbc87","Principal"
"goldsmith","Job","William de Cirescestre","9770b0b9-bd14-482e-a8f1-406aea97cb2f","Job","555e6c6c-ae8e-4d1e-ba91-9ac1ae61a243","Principal"
"John Toppe","Job","rectory of Avene","099649c9-4d0c-487c-8348-e9dc3d6b4234","","472a6f30-e29d-4b0d-8c9b-94d322128f2e","Job"
"clerk","Job","Thomas de Penebrugg","f1473c49-de7f-456e-bd88-6af65559eade","Job","c71fbe90-1ed1-482e-982a-59507d0621fa","Principal"
"John de Retherwas","Neighbors","William de Cirescestre","69014c93-6233-4ddf-9430-6fd24a6dbc87","Principal","555e6c6c-ae8e-4d1e-ba91-9ac1ae61a243","Principal"
"John de Retherwas","Neighbors","Robert Carpentar","69014c93-6233-4ddf-9430-6fd24a6dbc87","Principal","1e32bf78-759d-40ad-92b5-fe9fa0094fc9",""
"John de Retherwas","Neighbors","John de Sevenok","69014c93-6233-4ddf-9430-6fd24a6dbc87","Principal","c5afb5de-4e10-4b4f-8292-b8b30bb1ba53",""
"John de Retherwas","Neighbors","William Inthehale","69014c93-6233-4ddf-9430-6fd24a6dbc87","Principal","c21bb396-8268-43c5-974d-0fe7a72028fe",""
"Licent ' de Morgan","Patron of","Thomas de Penebrugg","c7b391bf-374d-4b5b-b234-342495e75698","","c71fbe90-1ed1-482e-982a-59507d0621fa","Principal"
"rectory of Avene","Job","Thomas de Penebrugg","472a6f30-e29d-4b0d-8c9b-94d322128f2e","Job","c71fbe90-1ed1-482e-982a-59507d0621fa","Principal"
"John Nicholas","Job","rectory of Avene","9a4c66f4-c552-4ee9-a40e-086308a6ad90","","472a6f30-e29d-4b0d-8c9b-94d322128f2e","Job"
"Carpentar","Job","Robert Carpentar","3b0a966c-edec-41ce-94a5-b8a4a46c582d","Job","1e32bf78-759d-40ad-92b5-fe9fa0094fc9",""
"David ap Howel Vachan","Son of","Howel vab","5d326ab4-e32e-4d56-b148-33a2c1b3cb10","Principal","eec8090f-ac6f-4ae9-8ff4-4def845970ae","Principal"
"Adam Knoil","Relatives","Peter Knoil","4c03f948-2b73-4efa-b292-9128c5ea5d12","","2873a764-91dc-4f29-9bf8-449a976fc4a2","Witness"
"king's bailiffs at Hereford","Job","Roger Penk","b7bb20a5-e797-401d-8e62-85741610ffc2","Job","678ebb67-eed3-4e39-900b-35bced230da5","Witness"
"king's bailiffs at Hereford","Job","Philip le Werrour","b7bb20a5-e797-401d-8e62-85741610ffc2","Job","18c3de82-6ac4-4be9-a7c9-c528a868207d","Witness"
"king's bailiffs at Hereford","Job","Henry de Orletone","b7bb20a5-e797-401d-8e62-85741610ffc2","Job","668750f2-259a-4cd7-a23f-26511bce017b","Witness"
"Robert Knoil","Relatives","Adam Knoil","da87c744-945c-419d-9fce-2ac7b1aa5dba","Witness","4c03f948-2b73-4efa-b292-9128c5ea5d12",""
"Robert Knoil","Relatives","Peter Knoil","da87c744-945c-419d-9fce-2ac7b1aa5dba","Witness","2873a764-91dc-4f29-9bf8-449a976fc4a2","Witness"
"William ap Howel Vachan","Son of","Howel vab","1a761270-dc94-4655-8add-3f4ad59c1a96","Principal","eec8090f-ac6f-4ae9-8ff4-4def845970ae","Principal"
"John de Underdoune","Neighbors","the rector of the church of Estenovere","56bb5906-c545-4fa6-82dd-98161d9ff184","","24ce0361-4cee-4da6-9224-2aba528771ad","Office"
"knight,","Job","Licent ' de Morgan","b627b1c1-64c4-41ae-8571-a87ec68f6422","Job","c7b391bf-374d-4b5b-b234-342495e75698",""
"Alyna","Wife of","Richard Berde de Ledebur","79f79f35-3d7d-4a65-a8b3-a857c2388cf4","Principal","0829b0da-48e9-48d8-9005-e9da0e72d811","Principal|Scribe"
"le Sopere,","Job","John le Sopere","f48e5fab-305e-40bf-a0f1-39b6d2e2a350","Job","ae3fe862-0c18-4bda-9f0f-3dbda3bd7938","Witness"
"the true patron thereof","Patron of","Thomas de Penebrugg","1c67ffb2-79c1-46ec-9b1b-f15ddc2a5927","Office","c71fbe90-1ed1-482e-982a-59507d0621fa","Principal"
"William son of Adam Knoil","Son of","Adam Knoil","c541ab08-78dd-447c-a7cb-0cbd79088d85","Witness","4c03f948-2b73-4efa-b292-9128c5ea5d12",""
