"source","relation","target","source_id","source_tags","target_id","target_tags"
"Walter","Son","William Hathewy","bb71dc00-41a4-446f-80da-ad375829fc3e","Principal","d5ef167a-91a9-49e9-98cd-ea7ef8e1b847",""
"Robert de Dyk","From","Bromesberuwe","326095f3-9348-46dd-ba36-c94891496e9e","","7dac4c17-1838-4aa1-bae1-18f3ccdf99ed",""
"Dominus John de Kemeseya","Brother","Richard","ec291b38-099a-4fb0-a6f9-9ff8d2f6b7a1","Principal","e86133aa-1ae9-410c-8381-4d12497c2aa5","Principal"
"William","Son","William Eseger de Ledebury","3119967e-7bb4-4f38-9873-f85924ce3def","Principal","80760119-187a-4be8-b2cf-00cfb8f95cb1",""
"William Hathewy","From","Oxenhale","d5ef167a-91a9-49e9-98cd-ea7ef8e1b847","","3d8fb9b3-69a1-4cd0-ae38-97d566b8e59f",""
"Henry de Heyton","Job","clerk","97a56794-62c8-4677-805c-d71e9e1e5c71","Principal","d04aca7d-da28-44f5-8c7b-c9b4a98037eb","Job"
"Beatrice","Wife","William","26f2cd2f-7306-47e0-9700-635e35aeaba0","Principal","3119967e-7bb4-4f38-9873-f85924ce3def","Principal"
"Godfrey de la Leye","Job","clerk","28cc9507-f86f-45aa-9839-dedf1d490d85","Witness|Scribe","17a0e5f7-778a-4fc9-b08e-85740075bc2d","Job"
"Grimbald Pauncefot","Job","knight","0d92670f-3393-49aa-a9ed-ebe17e22b79b","","c0722c2a-594b-4186-862b-886e61ef3939","Job"
"Richard","Brother","Dominus John de Kemeseya","e86133aa-1ae9-410c-8381-4d12497c2aa5","Principal","ec291b38-099a-4fb0-a6f9-9ff8d2f6b7a1","Principal"
"Sibil","Former spouse","Grimbald Pauncefot","b5cbf147-bba6-4236-ab9f-8e0f9bd0efa1","Principal","0d92670f-3393-49aa-a9ed-ebe17e22b79b",""
"Robert","Son","Robert de Dyk","ccbdf6d8-8bf5-402c-9f0c-b54cacb2e3f3","Principal","326095f3-9348-46dd-ba36-c94891496e9e",""
