source,relation,target,source_id,source_tags,target_id,target_tags
Nicholas Tyget,Stakeholder,the whole of the pasture moor Bead page,9fa22ad9-f045-403c-9d26-1e15e7849fc9,Lease-holder,8738c81a-b573-4bd2-9608-f5b695f4d51c,
his foresters,Agent,"Payn Ge Turberuilla, lord of Coytif, son and heir of Richard de Turberuiile",238002e2-d248-4147-a5d8-f12fc2929add,Collective|Agent|Office,71981a3f-fbc3-494b-81b8-ce90f5e4ec3e,Principal
prior and convent of Monemut',Stakeholder,"tithes of Aylberton' belonging to the prior and convent of Monemut', in the parish of Lydeneye,",eae2ecf3-7837-473c-ba1a-6c042c15d319,Principal|Clerical|Collective,83bb382a-2649-4a4b-9386-12e97136991d,
prior and convent of Monemut',Stakeholder,"portion of the tithes of Penerek', in the chapelry of Langaran",eae2ecf3-7837-473c-ba1a-6c042c15d319,Principal|Clerical|Collective,9faf1b96-cbb5-4b3b-9187-a7b08b04751c,
"John Meruyn,",Agent,parishioners of the said church of Welinton',63ee7db2-c90b-4235-a793-3f705622db81,Witness,03f4747b-e22c-45ca-8b54-4397bee3773e,Principal|Collective|Woman
"Thomas, dean, and the chapter of the same,",Stakeholder,"manors of Sugwas, Westbur', whytebourn’, Prestbur’, and Bishop's Gasthe (ae testo Endicaad)",77ea661f-ece7-4ac5-ba0c-5a953112dfba,Principal|Clerical|Collective,90dda686-f72f-4532-9e7b-0b8d286ebb40,
"Thomas, dean, and the chapter of the same,",Stakeholder,the dean's house in the city of Hereford and the manor of Breynton',77ea661f-ece7-4ac5-ba0c-5a953112dfba,Principal|Clerical|Collective,2ed14b00-987f-4554-96a9-3be3baf1c5cb,
"Thomas, dean, and the chapter of the same,",Stakeholder,manor of Berton,77ea661f-ece7-4ac5-ba0c-5a953112dfba,Principal|Clerical|Collective,40c6968a-5278-4bd8-a141-0158d9b0ed58,
canons residentiary,Stakeholder,manor of Berton,e993247c-5282-4acc-b3ad-87688e1a640f,Principal|Clerical|Collective,40c6968a-5278-4bd8-a141-0158d9b0ed58,
"Gilbert de Turberuilla, brother of the aforesaid Simon",Stakeholder,"twenty-four acres of arable land from the bridge of the water of Alenn on the east side of the way which leads from the said bridge towards la wyke,",72f4e7e3-ff27-4d9a-9489-bfe178c5e691,Lease-holder,e2717a77-f1fb-42a2-8cdd-8bffb290c390,
"Gilbert de Turberuilla, brother of the aforesaid Simon",Stakeholder,twenty-four acres of land at wyke,72f4e7e3-ff27-4d9a-9489-bfe178c5e691,Lease-holder,509a9e8f-e112-4759-824e-4a16b0effe03,
"Gilbert de Turberuilla, brother of the aforesaid Simon",Stakeholder,eight ecres of land on the west side of the way,72f4e7e3-ff27-4d9a-9489-bfe178c5e691,Lease-holder,31c1712b-e307-4667-b8c7-2ec56bca964a,
Payn de Turberuilla,Stakeholder,sll the addition which they had of the gift of Payn de Turberuilla,a8cced84-5dc6-4dd7-be34-c6a0507919ca,Lease-holder,7687ed36-3871-4c35-9746-f7080053ea8e,
Gilbert son of Gilbert de Turberuilla,Stakeholder,all that land with appurtenances which lies within a certain ditch called Monekedonne,fb056f6a-7f0e-4e06-ac66-69159511783f,Lease-holder,ccc2e77e-0a73-43ff-b023-a19c4abf1d86,
dean of Hereford,Stakeholder,the dean's house in the city of Hereford and the manor of Breynton',28defbb6-f27d-486f-ae61-af7200e01cc5,Principal|Clerical|Office,2ed14b00-987f-4554-96a9-3be3baf1c5cb,
"Payn Ge Turberuilla, lord of Coytif, son and heir of Richard de Turberuiile",Stakeholder,the whole land of Carneldon',71981a3f-fbc3-494b-81b8-ce90f5e4ec3e,Principal,2a924dd4-10f4-4b95-82c0-921c73c874ef,
"Payn Ge Turberuilla, lord of Coytif, son and heir of Richard de Turberuiile",Stakeholder,forty acres of land,71981a3f-fbc3-494b-81b8-ce90f5e4ec3e,Principal,3c2e7be6-e640-4419-8ef1-843e16f4d7a1,
"Payn Ge Turberuilla, lord of Coytif, son and heir of Richard de Turberuiile",Stakeholder,"twenty-four acres of arable land from the bridge of the water of Alenn on the east side of the way which leads from the said bridge towards la wyke,",71981a3f-fbc3-494b-81b8-ce90f5e4ec3e,Principal,e2717a77-f1fb-42a2-8cdd-8bffb290c390,
"Payn Ge Turberuilla, lord of Coytif, son and heir of Richard de Turberuiile",Stakeholder,twenty-four acres of land at wyke,71981a3f-fbc3-494b-81b8-ce90f5e4ec3e,Principal,509a9e8f-e112-4759-824e-4a16b0effe03,
"Payn Ge Turberuilla, lord of Coytif, son and heir of Richard de Turberuiile",Stakeholder,twenty-four acres of arable land with ® small mesdow next the river of Ewenny,71981a3f-fbc3-494b-81b8-ce90f5e4ec3e,Principal,c60974ab-4a7c-4744-935f-69d3824fecac,
"Payn Ge Turberuilla, lord of Coytif, son and heir of Richard de Turberuiile",Stakeholder,eight ecres of land on the west side of the way,71981a3f-fbc3-494b-81b8-ce90f5e4ec3e,Principal,31c1712b-e307-4667-b8c7-2ec56bca964a,
"Payn Ge Turberuilla, lord of Coytif, son and heir of Richard de Turberuiile",Stakeholder,the whole of the pasture moor Bead page,71981a3f-fbc3-494b-81b8-ce90f5e4ec3e,Principal,8738c81a-b573-4bd2-9608-f5b695f4d51c,
"Payn Ge Turberuilla, lord of Coytif, son and heir of Richard de Turberuiile",Stakeholder,sll the addition which they had of the gift of Payn de Turberuilla,71981a3f-fbc3-494b-81b8-ce90f5e4ec3e,Principal,7687ed36-3871-4c35-9746-f7080053ea8e,
"Payn Ge Turberuilla, lord of Coytif, son and heir of Richard de Turberuiile",Stakeholder,all that land with appurtenances which lies within a certain ditch called Monekedonne,71981a3f-fbc3-494b-81b8-ce90f5e4ec3e,Principal,ccc2e77e-0a73-43ff-b023-a19c4abf1d86,
"Adem German, ones of the seid church",Agent,parishioners of the said church of Welinton',7408fe1e-4b2f-4714-827c-18e0304bb54c,Witness,03f4747b-e22c-45ca-8b54-4397bee3773e,Principal|Collective|Woman
Willioam de la Calowe,Agent,parishioners of the said church of Welinton',904c26bc-9dde-410a-80f9-de4c77867e39,Witness,03f4747b-e22c-45ca-8b54-4397bee3773e,Principal|Collective|Woman
"John de Ponte, canon of the church of liereford and rector of the prebendal church of Welinton'",Stakeholder,"lends, rent end possessions",aeb55ebb-fc3b-47b5-8de0-14b516074c10,Principal|Clerical,087bea83-6e4d-4183-a1cb-8c9490b6759c,
"William son of Herbert,",Agent,parishioners of the said church of Welinton',5f781f92-5aec-4211-85ea-14db290c5910,Witness,03f4747b-e22c-45ca-8b54-4397bee3773e,Principal|Collective|Woman
Walter Restoc,Agent,parishioners of the said church of Welinton',3f42d95d-98bc-4e63-945a-583f5028fdb0,Witness,03f4747b-e22c-45ca-8b54-4397bee3773e,Principal|Collective|Woman
William de Sheynton' eanon of the church of hereford and werden of the chapel of the Blessed Mary in the seid church,Stakeholder,"tithes of Aylberton' belonging to the prior and convent of Monemut', in the parish of Lydeneye,",52446a06-aef2-49bd-a03c-faeccd2f5126,Principal|Clerical,83bb382a-2649-4a4b-9386-12e97136991d,
William de Sheynton' eanon of the church of hereford and werden of the chapel of the Blessed Mary in the seid church,Stakeholder,"portion of the tithes of Penerek', in the chapelry of Langaran",52446a06-aef2-49bd-a03c-faeccd2f5126,Principal|Clerical,9faf1b96-cbb5-4b3b-9187-a7b08b04751c,
"Church of St. Michael of Ewenny, and the prior and monks serving God there",Stakeholder,the whole land of Carneldon',ba323962-59cf-42af-86ef-42941d6eb3bb,Principal|Clerical|Collective,2a924dd4-10f4-4b95-82c0-921c73c874ef,
"Church of St. Michael of Ewenny, and the prior and monks serving God there",Stakeholder,forty acres of land,ba323962-59cf-42af-86ef-42941d6eb3bb,Principal|Clerical|Collective,3c2e7be6-e640-4419-8ef1-843e16f4d7a1,
"Church of St. Michael of Ewenny, and the prior and monks serving God there",Stakeholder,"twenty-four acres of arable land from the bridge of the water of Alenn on the east side of the way which leads from the said bridge towards la wyke,",ba323962-59cf-42af-86ef-42941d6eb3bb,Principal|Clerical|Collective,e2717a77-f1fb-42a2-8cdd-8bffb290c390,
"Church of St. Michael of Ewenny, and the prior and monks serving God there",Stakeholder,twenty-four acres of land at wyke,ba323962-59cf-42af-86ef-42941d6eb3bb,Principal|Clerical|Collective,509a9e8f-e112-4759-824e-4a16b0effe03,
