Document Number,Alternate Numbering,Doc Type,Given At,Given At Certainty,Earliest Date,Latest Date,DATE,Date notes,Given at_old,COMMENTS,QUOTE_TRANSCRIPTION
HCM 10,HCM 10,GRANT,(Hereford),Suggested,1275-01-01T00:00:00Z,1300-12-31T00:00:00Z,Late 13th. century,approx,,,"Late 13th. century, GRANT"
HCM 1003,"RBLR 1732, HCM 1003",RECEIPT,Hereford,Documented,1317-05-18T00:00:00Z,,"1317,  Wednesday next after the Feast of the Ascension of our Lord [May 18]",,Hereford,,"1317, Wednesday next after the Feast of the Ascension of our Lord [May 18], RECEIPT"
HCM 1005,"RBLR 1713, HCM 1005",RECEIPT,Bosbury Herefordshire Bishops Palace Old Court Farm,Documented,1317-05-05T00:00:00Z,,"1317,  Thursday next after the Feast of the Invention of the Holy Cross [May 5]",,Bos',,"1317, Thursday next after the Feast of the Invention of the Holy Cross [May 5], RECEIPT"
HCM 1023,"RBLR 1735, HCM 1023",RECEIPT,Hereford,Documented,1317-05-19T00:00:00Z,,"1317,  Thursday in the octaves of the Feast of the Ascension of our Lord [May 19].",,Hereford,,"1317, Thursday in the octaves of the Feast of the Ascension of our Lord [May 19]., RECEIPT"
HCM 1024,"RBLR 1702, HCM 1024",RECEIPT,Hereford,Documented,1317-04-26T00:00:00Z,,"1317,  April 26.",,Hereford,,"1317, April 26., RECEIPT"
HCM 1025,"RBLR 1706, HCM 1025",RECEIPT,Hereford,Documented,1317-04-30T00:00:00Z,,"1317,  Saturday next after the Feast of Saint Mark the Evagenlist [April 30",,Hereford,,"1317, Saturday next after the Feast of Saint Mark the Evagenlist [April 30, RECEIPT"
HCM 1033,"RBLR 1814, HCM 1033",RECEIPT,Canterbury,Documented,1318-03-25T00:00:00Z,,"13518 MS. 1317,  Saturday next after the . Foast of Saint Benedict the abbot [march 25)",,Canterbury,"1318 (but MS says 1317, which has to be a mistake given death of RS), RECEIPT","13518 MS. 1317, Saturday next after the . Foast of Saint Benedict the abbot [march 25), RECEIPL"
HCM 1035,"RBLR 1741, HCM 1035",RECEIPT,London,Documented,1317-08-02T00:00:00Z,,"1317,  August 2",,London,,"1317, August 2,, RECEIPT"
HCM 104,HCM 104,GRANT in fee-farm,Hereford,Documented,1356-03-28T00:00:00Z,,"1356,  Monday next after the Feast of the ,   Annuneiation of St. Mary the Virgin (March 28)",,Hereford,Penelope index has 1355...|but typescript seems unambiguous...,"1356, 1356, Monday next after the Feast of the ,  Annuneiation of St. Mary the Virgin (March 28), GRANT in fee-farm"
HCM 1049,HCM 1049,RECEIPT,Bosbury Herefordshire Bishops Palace Old Court Farm,Documented,1314-06-19T00:00:00Z,,"1314,  Wednesday next before the Feast of the Nativity of the Blessed John the Baptist [June 19].",,Bosebury,,"1314, Wednesday next before the Feast of the Nativity of the Blessed John the Baptist [June 19]., RECEIPT"
HCM 1050,HCM 1050,RECEIPT,Lambeth Palace,Documented,1283-10-21T00:00:00Z,,"1283,  12 Kalends of November October 21.",,Lambeth,RECEIPT,"1283, 12 Kalends of November October 21., RECRIPT"
HCM 1050a,HCM 1050a,VISITATION,(19 churches & chapels in Hereford Diocese),Suggested,1284-10-27T00:00:00Z,1284-11-30T00:00:00Z,"1284,  Nov. 27-30.",,,how to handle? list all 19 places in visitation as given ats?,"HCM 1050a, 1284, Nov. 27-30., VISITATION"
HCM 1051,"RBLR 2801, HCM 1051",LETTERS PATENT,London,Documented,1328-03-05T00:00:00Z,,"1327/8,  March 5.",,London,,"1327/8, March 5., LETTERS PATENT"
HCM 1052,HCM 1052,LETTERS PATENT,Sugwas Court Herefordshire,Documented,1283-10-10T00:00:00Z,,"1283,  Sunday the morrow of the Feast of Saint Dionisius [October 10]",,Sugwas,,"1283, Sunday the morrow of the Feast of Saint Dionisius [October 10],, LETTERS PATENT"
HCM 1053,HCM 1053,GRANT,Clehonger Herefordshire,Documented,1301-08-30T00:00:00Z,,"1301,  wednesday next after the Feast of the decotlation of Saint John the Baptist [August 30]",,Clehangre,,"1301, wednesday next after the Feast of the decotlation of Saint John the Baptist [August 30], GRANT,"
HCM 1054,HCM 1054,GRANT,Bosbury Herefordshire Bishops Palace Old Court Farm,Documented,1301-08-12T00:00:00Z,,"1301,  Saturday next after the Feast of Saint Lawrence the martyr | August 12]",,Bosebury,,"1301, Saturday next after the Feast of Saint Lawrence the martyr | August 12], GRANT"
HCM 1055,HCM 1055,LETTERS OF ATTORNEY,Bosbury Herefordshire Bishops Palace Old Court Farm,Documented,1301-08-12T00:00:00Z,,"1301,  Saturday next after the Feast of Saint Laurence the martyr | August 12]",,Bosebury,,"1301, Saturday next after the Feast of Saint Laurence the martyr | August 12], LETTERS OF ATTORNEY"
HCM 1056,HCM 1056,RECEIPT,Hereford,Documented,1288-07-07T00:00:00Z,,"1288,  7 Ides of June | June 7.",,Here .,,"1288, 7 Ides of June | June 7., RECEIPT"
HCM 1057,HCM 1057,COMMISSION,London,Documented,1291-07-03T00:00:00Z,,"1291,  5 Nones of July i July 3",,London,,"1291, 5 Nones of July i July 3, COMMISSION f"
HCM 1058,HCM 1058,GRANT,(Shrewsbury),Suggested,1282-12-24T00:00:00Z,1302,ju2e3 = 1302.,1302,,1283-1302,"ju2e3 = 1302., GRANT,"
HCM 1059,HCM 1059,REQUEST,Sugwas Court Herefordshire,Documented,1310-01-29T00:00:00Z,,"1309/10,  4 Kalends February [January 29]",,Sugwas,,"1309/10, 4 Kalends February [January 29], REQUEST"
HCM 1060,HCM 1060,JUDGMENT,Wormsley Priory,Documented,1283-09-25T00:00:00Z,,126 3 Saturday next before the Feast of Saint Michael [September 25],,priory of Vormele,1283,"126 3 Saturday next before the Feast of Saint Michael [September 25],, JUDGMENT"
HCM 1061,HCM 1061,CONFIRMATION,Bosbury Herefordshire Bishops Palace Old Court Farm,Documented,1295-04-09T00:00:00Z,,"1295,  April 9",,Bosebury,embedded doc?,"1295, April 9,, CONFIRMATION"
HCM 1062,HCM 1062,SUBMISSION,chapter-house at Hereford,Documented,1295-04-08T00:00:00Z,,"1295,  April &",,chapter-house at Hereford,April 8,"1295, April &,, SUBMISSION"
HCM 1063,HCM 1063,COMMISSION,Bosbury Herefordshire Bishops Palace Old Court Farm,Documented,1313-08-18T00:00:00Z,,"1313,  15 Kal. September [August 18]",,Bosebury,,"1313, 15 Kal. September [August 18], COMMISSION"
HCM 1064,HCM 1064,REQUEST,(Westminster),Suggested,1283-01-01T00:00:00Z,1317-12-31T00:00:00Z,1283 = 1317.,,,principal doing requesting is chamberlain to the King,"1283 = 1317., REQUEST"
HCM 1065,HCM 1065,MANDATE,Bosbury Herefordshire Bishops Palace Old Court Farm,Documented,1317-01-07T00:00:00Z,,"1316/7,  7 Ides January [January 7].",,Bosebury,,"1316/7, 7 Ides January [January 7]., MANDATE"
HCM 1067,HCM 1067,RELEASE,(Sugwas Court Herefordshire),Suggested,1287-01-01T00:00:00Z,1288-12-31T00:00:00Z,1287 e sirca 1288.,,,"attached to HCM 1066, which needs adding (1277-circa 1288); both = given at (suggested) Sugwas","1287 e sirca 1288., RELEASE"
HCM 1068,"RBLR 3702, HCM 1068",RECEIPT,chapter-house at Hereford,Documented,1337-02-06T00:00:00Z,,"1336/7,  February 6",,chapter-house at Hereford,,"1336/7, February 6,, RECEIPT"
HCM 1069,HCM 1069,NOTARIAL INSTRUMENT,Farnham Castle Surrey,Documented,1340-04-15T00:00:00Z,,"1340,  April 15.",,,,"1340, April 15., NOTARIAL INSTRUMENT"
HCM 1070,HCM 1070,NOTARIAL INSTRUMENT,Hereford residence of Roger de Breynton,Documented,1342-04-05T00:00:00Z,,"1342,  April 5.",,,,"1342, April 5., NOTARIAL INSTRUMENT"
HCM 1071,"RBLR 4203, HCM 1071",NOTARIAL INSTRUMENT,(Hereford residence of Roger de Breynton),Suggested,1342-04-14T00:00:00Z,,"1342,  April 14.",,,"Hereford residence of Roger de Breynton, like HCM 1070 (dated there, 9 days earlier)?","1342, April 14., NOTARIAL INSTRUMENT"
HCM 1072,"RBLR 4702, HCM 1072",NOTARIAL INSTRUMENT,(Hereford residence of Roger de Breynton),Suggested,1347-01-08T00:00:00Z,,"1346/7,  January 8",,,"principal is ""summoned"" (to Hereford?) but from Bosbury (or at least, father/mother are)","1346/7, January 8,, NOTARIAL INSTRUMENT"
HCM 1073,HCM 1073,RELEASE,(Hereford),Suggested,1290-01-01T00:00:00Z,1310-12-31T00:00:00Z,igirea 1300.,approx,,,"igirea 1300., RELEASE"
HCM 1074,HCM 1074,GRANT,(Whitbourne Court Herefordshire),Suggested,1290-01-01T00:00:00Z,1310-12-31T00:00:00Z,Lsirce 1300.,approx,,"Whitbourne Court = summer home of Bps of Hereford; doc concerns land in Whitbourne, Herefs.","Lsirce 1300., GRANT,"
HCM 1075,HCM 1075,GRANT,(Hereford),Suggested,1290-01-01T00:00:00Z,1310-12-31T00:00:00Z,circa 1300,approx,,witnesses = Hereford based,"Lgirea 1300., GRANT"
HCM 1076,HCM 1076,VISITATION ROLL,(Research),Uncertain,1293-01-22T00:00:00Z,1293-04-26T00:00:00Z,"1292/3,  Januery 22 - 1293,  April 26",1293-04-26T00:00:00Z,,"see original for locations, typescript doesn't mention","HCM 1076, 1292/3, Januery 22 - 1293, April 26,, ROLL of the visitations"
HCM 1077,HCM 1077,NOTARIAL INSTRUMENT,(Research),Uncertain,1309-11-02T00:00:00Z,,"1309,  November 2",,,in presence of Wm Testa papal legate (London New Temple? Lambeth?); notary from Winchester diocese,"1309, November 2, NOTARIAL INSTRUMENT"
HCM 1077-em,HCM 1077-em,LETTERS OF ATTORNEY,chapter-house at Hereford,Documented,1309-10-25T00:00:00Z,,Saturday next before the Feast of the Apostles Simon and Judas in the year 1309,,chapter of Hereford,"(embedded), (embedded doc)","letters of attorney, Saturday next before the Feast of the Apostles Simon and Judas in the year 1309"
HCM 11,HCM 11,RELEASE,(Breinton),Suggested,1275-01-01T00:00:00Z,1300-12-31T00:00:00Z,Late 13th. century,approx,,,"Late 13th. century, RELEASS"
HCM 111,HCM 111,GRANT in fee-farm,(Hereford),Suggested,1275-01-01T00:00:00Z,1300-12-31T00:00:00Z,Late 13th. century,approx,,,"Late 13th. century, GRANT in fee-farm"
