person1,person2,Type,evidence
01ddc43d-208b-4046-b3cc-d27bea2d9e68, e13fc4a9-c1ec-42fe-aa78-8e6b9ccf4712, neighbors, HCM 16
01ddc43d-208b-4046-b3cc-d27bea2d9e68, 8c0dfa25-95d2-414e-880e-aa156d330a10, neighbors, HCM 16
e13fc4a9-c1ec-42fe-aa78-8e6b9ccf4712, 8c0dfa25-95d2-414e-880e-aa156d330a10, neighbors, HCM 16
1416de7f-21c4-40f0-9044-f3290ead123a, e13fc4a9-c1ec-42fe-aa78-8e6b9ccf4712, neighbors, HCM 16
1416de7f-21c4-40f0-9044-f3290ead123a, 8c0dfa25-95d2-414e-880e-aa156d330a10, neighbors, HCM 16
e13fc4a9-c1ec-42fe-aa78-8e6b9ccf4712, 8c0dfa25-95d2-414e-880e-aa156d330a10, neighbors, HCM 16
a6bd15db-2d3d-4cc5-a506-7a5f3266c887, 91e93f81-6053-43a3-bf49-ea605cdc7f2b, neighbors, HCM 11
ecbef2e8-0dc9-414f-8cae-dd9629492ff1, 0934414c-edea-4554-bf76-dc141f3d2e5c, neighbors, HCM 11
ecbef2e8-0dc9-414f-8cae-dd9629492ff1, 91e93f81-6053-43a3-bf49-ea605cdc7f2b, neighbors, HCM 11
0934414c-edea-4554-bf76-dc141f3d2e5c, 91e93f81-6053-43a3-bf49-ea605cdc7f2b, neighbors, HCM 11
01ddc43d-208b-4046-b3cc-d27bea2d9e68, e13fc4a9-c1ec-42fe-aa78-8e6b9ccf4712, neighbors, HCM 15
01ddc43d-208b-4046-b3cc-d27bea2d9e68, 8c0dfa25-95d2-414e-880e-aa156d330a10, neighbors, HCM 15
e13fc4a9-c1ec-42fe-aa78-8e6b9ccf4712, 8c0dfa25-95d2-414e-880e-aa156d330a10, neighbors, HCM 15
1416de7f-21c4-40f0-9044-f3290ead123a, e13fc4a9-c1ec-42fe-aa78-8e6b9ccf4712, neighbors, HCM 15
1416de7f-21c4-40f0-9044-f3290ead123a, 8c0dfa25-95d2-414e-880e-aa156d330a10, neighbors, HCM 15
e13fc4a9-c1ec-42fe-aa78-8e6b9ccf4712, 8c0dfa25-95d2-414e-880e-aa156d330a10, neighbors, HCM 15
a6bd15db-2d3d-4cc5-a506-7a5f3266c887, 1ff1abc6-e1a7-43f7-9391-15e8c95f8388, neighbors, HCM 8
a6bd15db-2d3d-4cc5-a506-7a5f3266c887, dd24aba4-75da-4729-b2f9-961f30b4f0d6, neighbors, HCM 8
a6bd15db-2d3d-4cc5-a506-7a5f3266c887, 5b007002-5e4e-4ea3-b7f3-e0e5e1d45653, neighbors, HCM 8
1ff1abc6-e1a7-43f7-9391-15e8c95f8388, dd24aba4-75da-4729-b2f9-961f30b4f0d6, neighbors, HCM 8
1ff1abc6-e1a7-43f7-9391-15e8c95f8388, 5b007002-5e4e-4ea3-b7f3-e0e5e1d45653, neighbors, HCM 8
dd24aba4-75da-4729-b2f9-961f30b4f0d6, 5b007002-5e4e-4ea3-b7f3-e0e5e1d45653, neighbors, HCM 8
ecbef2e8-0dc9-414f-8cae-dd9629492ff1, 0934414c-edea-4554-bf76-dc141f3d2e5c, neighbors, HCM 8
ecbef2e8-0dc9-414f-8cae-dd9629492ff1, 1ff1abc6-e1a7-43f7-9391-15e8c95f8388, neighbors, HCM 8
ecbef2e8-0dc9-414f-8cae-dd9629492ff1, dd24aba4-75da-4729-b2f9-961f30b4f0d6, neighbors, HCM 8
ecbef2e8-0dc9-414f-8cae-dd9629492ff1, 5b007002-5e4e-4ea3-b7f3-e0e5e1d45653, neighbors, HCM 8
