Doc Number,Alt Numbering,Normalized text,Person ID,QUOTE_TRANSCRIPTION,UUID,Supplemental naming,COMMENTS,Principal|Office,Unhandled Tags 2,Clerical?,Patronymic?,Named by,Scribe,Principal,Witness,Dead,Gender
RBLR 4807,,abbesse of Wherewelle,dcef7f86-7af0-44e7-b47d-2a26dc00b72f,abbesse  de Wherewelle,dcef7f86-7af0-44e7-b47d-2a26dc00b72f,abbesse of Wherewelle,,Principal|Clerical|Woman|Office,,TRUE,,Office,,Principal,,,W
RBLR 3405,,abbot and chapter of Alcester,3907827f-aefa-4fd2-b42b-abecf4e43448,Alcester.,3907827f-aefa-4fd2-b42b-abecf4e43448,,,Principal|Clerical|Collective,,TRUE,,Collective,,Principal,,,M
RBLR 3405,,abbot and chapter of Bordesley,f0242491-9455-45e7-8017-5e740b182dd8,"Bordesley,",f0242491-9455-45e7-8017-5e740b182dd8,,,Principal|Clerical|Collective,,TRUE,,Collective,,Principal,,,M
RBLR 3405,,abbot and chapter of Halesowen,9a7b1962-8db0-45f5-a33b-d65eee43026a,Halesowen (Halys),9a7b1962-8db0-45f5-a33b-d65eee43026a,,Halesowen = Hailes?,Clerical|Clerical|Collective,,TRUE,,Collective,,,,,M
RBLR 3405,,abbot and convent of Cirencester,93f3c2ac-e934-441d-9ed5-dfc0b539a689,Cirencester,93f3c2ac-e934-441d-9ed5-dfc0b539a689,,,Principal|Clerical|Collective,,TRUE,,Collective,,Principal,,,M
RBLR 3405,,abbot and convent of Hailes,d250d602-7f27-4a9a-8d54-cf014facad4et,,6b5866d7-4fa8-47bb-8086-4776d25769e7,,,Principal|Clerical|Collective,,TRUE,,Collective,,,,,
RBLR 3405,,abbot and convent of Kingswood,16d87772-6c26-4a97-b7c2-57a1dcced714,Kingswood,16d87772-6c26-4a97-b7c2-57a1dcced714,,,Principal|Clerical|Collective,,TRUE,,Collective,,Principal,,,M
HCM 2268,,abbot and convent of Lyre,0ed73dc7-04da-447f-8ca0-249cab2dd8b8a,,4c16b7e9-4a85-4798-95d5-ff9e5f7d3b57,,,Principal|Clerical|Collective,,TRUE,,Collective,,Principal,,,
HCM 2817,,abbot and convent of Lyre,0ed73dc7-04da-447f-8ca0-249cab2dd8b8a,,829a08d9-e28f-40e8-9282-af71bb8af9ff,,,Principal|Clerical|Collective,,,,Collective,,Principal,,,
HCM 2819,,abbot and convent of Lyre,0ed73dc7-04da-447f-8ca0-249cab2dd8b8a,,a27c2b6c-8ee7-4972-8480-3dfa6ff72bd3,,,Principal|Clerical|Collective,,,,Collective,,Principal,,,
HCM 2819-em2,,abbot and convent of Lyre,0ed73dc7-04da-447f-8ca0-249cab2dd8b8a,,f6ec3dd4-7cc0-4e42-a38a-21100de7314b,,,Principal|Clerical|Collective,,,,Collective,,Principal,,,
HCM 2819-em3,,abbot and convent of Lyre,0ed73dc7-04da-447f-8ca0-249cab2dd8b8a,,a4f07fb9-407b-466e-9528-84d377ca9d50,,,Principal|Clerical|Collective,,,,Collective,,Principal,,,
HCM 1322,,abbot and convent of Reading,9b68d498-8a1e-4dc1-8572-f85b3e80f46b2,,b6b3038c-d176-471b-87c7-82dbf0332c64,,,Principal|Collective|Clerical,,,,Collective,,Principal,,,
HCM 3216,,abbot and convent of Reading,9b68d498-8a1e-4dc1-8572-f85b3e80f46b2,,ca84d702-983a-48fe-82bc-0700768430ba,,,Principal|Clerical|Collective,,,,Collective,,Principal,,,
HCM 2128,,abbot and convent of Seez,2be23fad-ef9d-4931-8ee9-c42452fd4434,"abbot and convent of the nonaneeny of Seez, their proctor general in Englend",2be23fad-ef9d-4931-8ee9-c42452fd4434,proctor general in England of,monsastery of Seez,Principal|Clerical|Collective|Agent,Agent,TRUE,,Collective,,Principal,,,M
HCM 2129,,abbot and convent of Seez,2be23fad-ef9d-4931-8ee9-c42452fd4434,abbot and convent of Seez,8fb0230a-3a66-4096-8988-2d85a61e1504,,,Clerical|Collective,,TRUE,,Collective,,,,,M
HCM 2135,,abbot and convent of Seez,2be23fad-ef9d-4931-8ee9-c42452fd4434,,3dd5649e-d002-40e6-9e69-6b5eb410bb39,,,Principal|Clerical|Collective,,TRUE,,Collective,,Principal,,,
HCM 1058,,abbot and convent of Shrewsbury,cf0136ef-606c-4a53-8d0c-00ac971583b2a,,c7a836a0-c260-4e5b-bd72-6ff49552f6e8,,,Principal|Clerical|Collective,,TRUE,,Collective,,Principal,,,
HCM 1060,,abbot and convent of Shrewsbury,cf0136ef-606c-4a53-8d0c-00ac971583b2a,,ef4b0f75-2d29-40ab-b572-5b09241bd6e8,,,Principal|Clerical|Collective,,,,Collective,,,,,
HCM 2128,,abbot and convent of Shrewsbury,cf0136ef-606c-4a53-8d0c-00ac971583b2a,,6790ee71-a56a-423b-a219-dfac8537ce7f,,,Principal|Clerical|Collective,,TRUE,,Collective,,Principal,,,
HCM 2129,,abbot and convent of Shrewsbury,cf0136ef-606c-4a53-8d0c-00ac971583b2a,,d6b02b17-7c13-4111-b72b-a9a453d68a9b,,,Principal|Clerical|Collective,,,,Collective,,Principal,,,
HCM 2130,,abbot and convent of Shrewsbury,cf0136ef-606c-4a53-8d0c-00ac971583b2a,,c9648ca7-f447-48f3-bfea-b2db00215b83,,,Principal|Clerical|Collective,,TRUE,,Collective,,Principal,,,
HCM 2132,,abbot and convent of Shrewsbury,cf0136ef-606c-4a53-8d0c-00ac971583b2a,,69e32634-da5d-4203-8e3f-993b446a1516,,,Principal|Clerical|Collective,,,,Collective,,Principal,,,
RBLR 3405,,abbot and convent of St Augustine's Bristol,d250d602-7f27-4a9a-8d54-cf014facad4eu,,bb7f15ca-534c-452d-84d5-51d1aefb701e,,,Principal|Clerical|Collective,,TRUE,,Collective,,,,,
HCM 1174,,abbot and convent of St Peter's Gloucester,aabade39-f8ba-481c-a646-3dda1233051f,,fce3fd2a-d6ef-46c0-b9ae-4067f2dbb461,,,Principal|Clerical|Collective,,,,Collective,,Principal,,,
HCM 1510,,abbot and convent of St Peter's Gloucester,aabade39-f8ba-481c-a646-3dda1233051f,,098ae8e3-09ef-4b22-abaa-c988b550b9f5,,,Principal|Clerical|Collective,,,,Collective,,Principal,,,
HCM 1521,,abbot and convent of St Peter's Gloucester,aabade39-f8ba-481c-a646-3dda1233051f,,d00cb223-f553-4649-99ea-dddafe594753,,,Principal|Clerical|Collective,,,,Collective,,Principal,,,
HCM 1524,,abbot and convent of St Peter's Gloucester,aabade39-f8ba-481c-a646-3dda1233051f,,b41ea847-db19-4702-9eac-5c19a215618f,,,Principal|Clerical|Collective,,,,Collective,,Principal,,,
