Number,Alternate Numbering,General Doc Type,C&E Doc Type,Given At,Given At Certainty,Earliest Date,Latest Date,DATE,Date notes,Given at_old,COMMENTS,QUOTE_TRANSCRIPTION
HCM 1373,HCM 1373,"A SERIES OF EIGHT DOCUMENTS,  QUOTATIONS,  FURTHER COMMENTS,  . EXTRACT,  FURTHER COMMENT,  DEPOSITIONS of witnesses,  As for E,  FURTHER STATEMENT,  As for G.","A SERIES OF EIGHT DOCUMENTS,  QUOTATIONS,  FURTHER COMMENTS,  . EXTRACT,  FURTHER COMMENT,  DEPOSITIONS of witnesses,  As for E,  FURTHER STATEMENT,  As for G.",RESEARCH,Uncertain,1322-01-01T00:00:00Z,1324-12-31T00:00:00Z,Lgirea 1322-1324.,approx,,"circa ; we should examine the original to determine WHO these deposed witnesses are, DEPOSITIONS of witnesses, FURTHER STATEMENT","Lgirea 1322-1324., A SERIES OF EIGHT DOCUMENTS, QUOTATIONS, FURTHER COMMENTS, . EXTRACT, FURTHER COMMENT, DEPOSITIONS of witnesses, As for E, FURTHER STATEMENT, As for G."
HCM 2368,HCM 2368,ACCOUNT,ACCOUNT,Hereford Cathedral,Suggested,1291-09-29T00:00:00Z,,"1291,  Michaelmas | September 29.",,,Inventory of fabric of Cathedral,"1291, Michaelmas | September 29., ACCOUNT"
HCM 2406,HCM 2406,ACCOUNT,ACCOUNT,Hereford Cathedral,Suggested,1292-09-28T00:00:00Z,"1293,  Sept 29","1292,  Michselmas - 1293,  Michaelmas.","1293,  Sept 29",,account of oblations & heriots in HC,"1292, Michselmas - 1293, Michaelmas., ACCOUNT"
HCM 1848,HCM 1848,ACCOUNT,ACCOUNT,"Hereford, Herefordshire",Suggested,1315-12-17T00:00:00Z,,"1315,  Wednesday next after the Feast of St. Lucia,  the virgin [December 17]",,Hereford,"canons of H, appt by D&C H","1315, Wednesday next after the Feast of St. Lucia, the virgin [December 17], ACCOUNT"
HCM 3199a,HCM 3199a,ACCOUNT,ASSESSMENT,RESEARCH,Uncertain,1300-01-01T00:00:00Z,1399-12-31T00:00:00Z,14th century.,approx,,who is collector of the Tenth in H diocese?,"14th century., ASSESSMENT"
HCM 1446,HCM 1446,ACCOUNT,DETAILS OF COLLECTIONS,"Norwich, Norfolk",Suggested,1320-01-01T00:00:00Z,1320-12-31T00:00:00Z,\giree 1320.,approx,,collections made in archdeaconry of Norfolk,"\giree 1320., DETAILS OF COLLECTIONS"
HCM 1658a,HCM 1658a,ACCOUNT,INVENTORY,"Ledbury, St Katherine's Hospital",Suggested,1316-01-27T00:00:00Z,,"1315/6,  Tuesday after the Feast of the Conversion of St. Paul [27 Jan.]",,Ledbury,Inventory of Hospital of St Katherine,"1315/6, Tuesday after the Feast of the Conversion of St. Paul [27 Jan.], INVENTORY"
RBLR 6102,"RBLR 6102, HCM 1448b",ACCOUNT,LIST,"Hereford, Herefordshire",Suggested,1361-12-22T00:00:00Z,,1361.12.22,,,"HCM 1448b; Attached to 1448a in typescript|RESEARCH THIS for possible RB item mentions, e.g. Breviary","1361.12.22, LIST"
HCM 1916,HCM 1916,ACCOUNT,LIST OF DUES,"Norton Canon, Herefordshire",Suggested,1300-01-01T00:00:00Z,1399-12-31T00:00:00Z,? 14th century,14th century,,"LIST OF DUES for [manor of] Norton, does this imply a list of names?|secondarily = given at Hereford|lots of Norton Manors, eg Presteigne, Herefords.","? 14th century, LIS?, dues for the right of pannage"
HCM 3249,HCM 3249,ACCOUNT,LIST OF FEES,RESEARCH,Uncertain,1300-01-01T00:00:00Z,1399-12-31T00:00:00Z,? 14th century,approx,,,"? 14th century, List of fees, List of fees, List of fees"
RBLR 0601,"RBLR 0601, HCM R352",ACCOUNT,MANORIAL ACCOUNT ROLL,"Mora Canonicorum nr Hereford, Herefordshire",Documented,1306-09-29T00:00:00Z,,1306.9.29,,,Project RBLR Completion|MOVED UP in Handlist (previously in Rolls section),
HCM 648a,HCM 648a,ACCOUNT,PORTIONS of assessments,"Hereford, Herefordshire",Suggested,1300-01-01T00:00:00Z,1325-12-31T00:00:00Z,Early 14th century.,early 14th century,,assessments in Norwich & Suffolk but collected for HC,"Early 14th century., PORTIONS of assessments"
HCM 2710,HCM 2710,ACCOUNT,RETURN,"Abenhall, Gloucestershire",Documented,1304-03-27T00:00:00Z,,"1304,  Fridey next before Esster March 27.",,Thestate,,"1304, Fridey next before Esster March 27., RETURN"
HCM 1505,HCM 1505,ACCOUNT,RETURN,"Carmarthen Priory, Carmarthenshire",Documented,1310-02-15T00:00:00Z,,"1309/10,  Sunday in Septuagesima [February 15]",,Kermerdyn,Kermerdyn = Carmarthen,"1309/10, Sunday in Septuagesima [February 15], RETURN"
HCM 2638,HCM 2638,ACCOUNT,STATEMENT OF ACCOUNTS,RESEARCH,Uncertain,1353-03-25T00:00:00Z,,"1353, circa March 25",approx date,,research R Chamberleyn?,"1553, girea March 25, STATEMENT OF ACCOUNTS"
HCM 1836,HCM 1836,ACCOUNT,SURVEY,"Diddlebury, Shropshire",Documented,1315-11-06T00:00:00Z,,"1315,  Thursday,  the Feast of St. Leonard the Confessor [November 6]",,Dudelebury,parish adjacent to or paired with Longestaunton,"1315, Thursday, the Feast of St. Leonard the Confessor [November 6], SURVEY"
HCM 2183,HCM 2183,ACKNOLWEDGEMENT,ACKNOWLEDGEMENT,"Gloucester, Gloucestershire",Suggested,1275-01-01T00:00:00Z,1300-12-31T00:00:00Z,Late 13th. century,approx,,"involves Gloucester St Peters, seneschal of County of GLos, etc","Late 13th. century, ACENOWLEDGEMENT"
HCM 622,HCM 622,ACKNOLWEDGEMENT,ACKNOWLEDGEMENT,"Hereford, Herefordshire",Documented,1294-05-27T00:00:00Z,,"1294,  6 Kalends of June May 27",,Hereford,,"1294, 6 Kalends of June May 27, ACKNOWLEDGMENT"
