UUID	Document Number	Doc_Year	QUOTE_TRANSCRIPTION	Common Name	ANCHOR	TYPE	URI	VOCAB_LABEL	LAT	LNG	Place_Type	Person_Gender	TAGS	Person_Named by	Role	Person_Job	COMMENTS
0c3114b2-1de7-4479-8513-32049e74e794	HCM 1610	1305	Abbot and convent of St. Peter's, Gloucester	John Thoky	char-offset:87	PERSON							Collective|Office|Principal	Collective	Principal	Abbot of St Peter's Gloucester	
6951a11c-0bad-4dbc-a6d2-a97de68545a7	HCM 2593	1308	Abbot of Wygemore, collector of the fifteenth in the archdeaconry of Salop	Abbot of Wygemore, collector of the fifteenth in the archdeaconry of Salop	char-offset:87	PERSON							Office|Principal	Office	Principal		
3bfe3efe-c195-43a9-bb68-b8d2bba2fbc1	HCM 1485	circa 1314	a certain shop, formerly belonging to Richard le tailour de Lugwardin	a certain shop, formerly belonging to Richard le tailour de Lugwardin	char-offset:157	PLACE					Building		Building				
b3a79c8c-14ea-4afb-80d1-55abc4905d42	HCM 1736	1305	Acle	Acle	char-offset:145	PLACE	http://sws.geonames.org/2657704	Acle	52.63681	1.54757			Nominative		Nominative		
37232348-f0cb-4d1a-8fe0-02091a7ffadf	HCM 559	1315/6	Adam called le Turnur de Staunton	Adam called le Turnur de Staunton	char-offset:101	PERSON							Principal				
fc423dc1-e744-4ee6-a552-b0a55480382d	HCM 2665	1305	Adam de Barewe	Adam de Barewe	char-offset:71	PERSON							Principal			clerk of the dean and chapter of Hereford	
54be13cc-3609-40cf-94d1-708e1b9587ce	HCM 119	1308	Adam de Colewalle	Adam de Colewalle	char-offset:657	PERSON							Witness		Witness		
4ac3bcc2-7ea7-4d6e-99c4-ecb0584d7718	HCM 773	1311/2	Adam de Orletone	Adam de Orletone	char-offset:186	PERSON							Principal			clerks	
5b14b4e3-3ee9-4270-b51e-5880e1bbe56d	HCM 589	1311	Adam de Sned	Adam de Sned	char-offset:313	PERSON							Witness		Witness		
9228ba7f-94aa-480e-8484-a5f411ab66d7	HCM 186	1309/10	Adam de Wyghtfeld	Adam de Wyghtfeld	char-offset:207	PERSON							Principal				
b8cc2d4f-1ed9-4810-b029-369025fc24e3	HCM 1366	1317	Adam	Adam	char-offset:56	PERSON							Principal			bishop of Hereford	
278cd15e-4b26-4c70-8f80-9d75bb3302a6	HCM 1367	1317	Adam	Adam	char-offset:39	PERSON							Principal			bishop of Hereford	
520905a9-959f-4a8b-a8f1-4a6f5b13bec2	HCM 2879	1317	Adam Hwyty	Adam Hwyty	char-offset:494	PERSON							Witness		Witness		
3215f92c-74c4-4101-b8e2-80c945e2ac5e	HCM 755	1317	Adam Whyty	Adam Hwyty	char-offset:1402	PERSON							Witness		Witness		
747de073-e699-430e-8eb9-2af934c7db1e	HCM 1311	1314	Adam Knoyl	Adam Knoyl	char-offset:429	PERSON											
cb8b8087-697c-40f6-af2d-9270ecd121f0	HCM 174	1312	Adam le Porter, bailiff of the fee	Adam le Porter, bailiff of the fee	char-offset:407	PERSON							Witness		Witness		
be191779-269e-4c11-ac8f-b8e7fa5c54a2	HCM 2995	circa 1317	Adam Murymouth	Adam Murimouth	char-offset:266	PERSON							Principal				
cd83e661-3875-4b5b-9b39-46656f874c47	HCM 1368	1317	Adam	Adam Orleton	char-offset:38	PERSON							Principal				Adam Orleton
42081e91-5773-4418-999c-3895a99be543	HCM 1443	1306	the proctor	Adam Orleton	char-offset:1503	PERSON							Office	Office			Adam Orleton
