QUOTE_TRANSCRIPTION	Common Name	LAT	LNG	COMMENTS
Avignon	Avignon	43.95159	4.80769	
Avignon	Avignon	43.95159	4.80769	
Avinione, in hospicio habitacionis reverendi patris predicti	Avinione, in hospicio habitacionis reverendi patris predicti			probably St Rufus beside Avignon, AO's usual residence
Avinione, in hospicio quod inhabitavit tunc temporis reverendus pater, dominus Adam, Dei gracia Episcopus Herefordensis	Avinione, in hospicio quod inhabitavit tunc temporis reverendus pater, dominus Adam, Dei gracia Episcopus Herefordensis			Avignon, specifically in the house where AO is residing, probably meaning priory of St Rufus juxta Avignon
Avinione in hospicio quod tunc temporis inhabitavit venerabilis pater predictus	Avinione in hospicio quod tunc temporis inhabitavit venerabilis pater predictus			that is, in the hospice temporarily inhabited by AO, probably the Priory of St Rufus beside Avignon
Blockley	Blockley			
Blockley	Blockley			https://en.wikipedia.org/wiki/Blockley ?
Bosebury	Bosebury			Bosbury, a favorite manor of Bishop of Hereford
Bosebury	Bosebury			
Bosebury	Bosebury			
Bredon	Bredon	52.03008	-2.11671	Bredon' in Worcester diocese
Bredon	Bredon	52.03008	-2.11671	
Breynton	Breynton			
Breynton	Breynton			Breinton
Breyntone	Breynton			
Canterbury	Canterbury	51.27904	1.07992	
Canterbury	Canterbury	51.27904	1.07992	
Canterbury	Canterbury	51.27904	1.07992	
Canterbury	Canterbury	51.27904	1.07992	
Canterbury	Canterbury	51.27904	1.07992	
Canterbury	Canterbury	51.27904	1.07992	
Canterbury	Canterbury	51.27904	1.07992	
Canterbury	Canterbury	51.27904	1.07992	
Canterbury	Canterbury	51.27904	1.07992	
Canterbury	Canterbury	51.27904	1.07992	
Chantry, Fownhope	Chantry, Fownhope			
Chantry of St. Mary, Dorstone	Chantry of St. Mary, Dorstone	52.06667	-3	
Chirchebroynton	Chirchebreynton			Breinton; document doesn't say so but likely to have been Given at Breinton
Cleeve	Cleeve	51.78826	6.13865	
Croft	Croft	52.55668	-1.24643	
Doncaster	Doncaster	53.52285	-1.13116	
Faraham	Faraham			Farnham = manor of bishop of Winchester
Farnham	Farnham	51.215884	-0.784391	Farnham = manor of Bishop of Winchester where AO now mostly resident?
