"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"b6892aaa-04d6-4b2a-b183-58cc0d09ab5c","RBLR_1728.txt","Wyk'","char-offset:126","PLACE","http://sws.geonames.org/2805396","Wyk auf Föhr","","54.6914","8.56702","","UNVERIFIED","Nominative|Settlement","","",""
"b55f4825-5e1c-4968-8545-ec5b5c95d0a6","RBLR_1728.txt","Swynefeud","char-offset:182","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"e08066a2-94c5-45ad-8a8f-469657600a43","RBLR_1728.txt","Hereford","char-offset:212","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Area|Ecclesiastical","diocese","",""
"14e7e6ac-5703-4d98-9af8-67c82ead4979","RBLR_1728.txt","Hereford","char-offset:314","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Given at|Settlement","","",""
"b7e8d12b-68aa-4a43-881e-586d77f650a2","RBLR_1729.txt","Scheluing","char-offset:103","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"a0a216b5-431d-49f5-9ba9-0e49bd064b47","RBLR_1729.txt","Swynefeud","char-offset:162","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"edf4c423-0707-4548-b598-c1abd0cc944d","RBLR_1729.txt","Hereford","char-offset:188","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Area|Ecclesiastical","diocese of
","",""
"a78f22d9-d951-4413-b8de-ba825acb1529","RBLR_1729.txt","Hereford","char-offset:286","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Given at|Settlement","","",""
"72fc2d97-0fcd-47c0-bac9-b4883757e0ac","RBLR_1736.txt","Bromfeld","char-offset:115","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"bdfc0922-04c2-4efc-a9ea-c4f9629bd830","RBLR_1736.txt","Broynton',","char-offset:163","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"5296a3a7-f719-4e08-bca9-aeca2d41791f","RBLR_1736.txt","church of Monyton","char-offset:188","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"6482315f-b4c0-4bf0-a1be-dd3748d40acf","RBLR_1736.txt","Wrohthale","char-offset:272","PLACE","","","","","","","UNVERIFIED","Roadway","in Hereford; area or neighborhood or street?
","",""
"23586dd6-419c-4cf3-8592-8d4c90c65987","RBLR_1736.txt","Hereford","char-offset:297","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Settlement","","",""
"8c7d6065-5fe6-4feb-8c72-9bd0954ef702","RBLR_1736.txt","la Barre","char-offset:377","PLACE","http://sws.geonames.org/3011332","La Barre-de-Monts","","46.88059","-2.12168","","UNVERIFIED","Nominative|Settlement","","",""
"9720a1c5-a9d1-411e-935e-1c3165a2329b","RBLR_1736.txt","highway","char-offset:409","PLACE","http://geo-kima.org/place/1914","Alaska Highway","","","","","UNVERIFIED","Roadway","in Hereford; nr Wrohthale
","",""
"7a67041a-bf7c-4a7b-9ee5-13fd2bc4adb5","RBLR_1736.txt","Garewy,","char-offset:462","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"ca5843ed-809b-478f-8cea-f0f6db14a163","RBLR_1736.txt","Hereford","char-offset:612","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Given at|Settlement","","",""
"38d2a50c-6f37-4971-a0ad-373e93fdc302","RBLR_1736.txt","Monyton","char-offset:693","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"492e1a46-7220-4a4c-8962-6896fe811801","RBLR_1736.txt","Bristoll',","char-offset:712","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"c171daff-97a0-4018-b2eb-a0fe29eb1e26","RBLR_1736.txt","Ledebury","char-offset:734","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"050b5493-0080-4562-a3d3-808af23da4ef","RBLR_1736.txt","Wygemore","char-offset:769","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"7ea21a5e-1725-4248-bc6e-133ad40b3ad9","RBLR_1736.txt","Cirecestr","char-offset:790","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"bdf46fa3-2673-4202-b35f-e78090608223","RBLR_1803.txt","Schorne","char-offset:36","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
