"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"dff6dbe2-5456-434d-b64c-7334076fd2ea","HCM_1443.txt","Shorn',","char-offset:42","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"11c2268e-bed5-41ec-a9b8-ed46488cec3e","HCM_1443.txt","Hereford","char-offset:64","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Area|Ecclesiastical","archdeaconry of
","",""
"bea42196-4ae3-410a-8ee1-c140aec310da","HCM_1443.txt","Hereford","char-offset:106","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Building|Ecclesiastical","cathedral","",""
"ddffe510-e25b-44b6-9ef0-6540931caa13","HCM_1443.txt","Cantulupo","char-offset:294","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"2455bb51-257e-4a89-a15e-eaeb0d961964","HCM_1443.txt","Hereford","char-offset:324","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Area|Ecclesiastical","diocese of
","",""
"2b157996-6a7d-4048-87f5-f75e676b0dc8","HCM_1443.txt","Gynes","char-offset:947","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"998f9741-c7d2-4396-be8f-a5935d9d1a13","HCM_1443.txt","Schorn","char-offset:982","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"71dc1b0e-8fa4-4fef-b977-92223d0bf11f","HCM_1443.txt","Orl'ton'","char-offset:1431","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"800dc399-3eb0-428f-bf05-560dad9a2a64","HCM_1443.txt","Portuens'","char-offset:1833","PLACE","","","","","","","UNVERIFIED","Nominative|Area|Ecclesiastical","(cardinal-bishop of) dicoese of Portuens","",""
"0ad9d29b-e29e-41be-b8a1-ed2ae9e71fc9","HCM_1443.txt","Bergamo","char-offset:1869","PLACE","http://pleiades.stoa.org/places/383589","Bergomum|Bergomum, Bergamo|Bergamo","-0550/0640","45.6947","9.6687","settlement","UNVERIFIED","Nominative|Settlement","","",""
"8536e99a-f893-4cb5-84f4-82768a83f582","HCM_1443.txt","England","char-offset:2055","PLACE","http://geo-kima.org/place/12708","England","","","","","UNVERIFIED","Nominative|Area|Ecclesiastical","","",""
"993948c2-0c10-4aa0-9498-d3c9c6a42366","HCM_1443.txt","Rome","char-offset:2303","","","","","","","","","Building|Ecclesiastical","Roman Curia
","",""
"0ecee154-35a6-4687-a770-30f6c0711ecd","HCM_1443.txt","Avignon","char-offset:2421","PLACE","http://pleiades.stoa.org/places/148004","Avennio|Avennio, Avignon|Avignon","-0750/2100","43.95159","4.80769","settlement","UNVERIFIED","Given at|Settlement","","",""
"e4704370-e54e-4d63-9981-e09c6c2f0f30","HCM_1429.txt","Salisbury","char-offset:79","PLACE","http://sws.geonames.org/2062013","Salisbury","","-34.76667","138.63333","","UNVERIFIED","Nominative|Area|Ecclesiastical","diocese of","",""
"1829c703-a048-4113-ae0a-fc6da1473e39","HCM_1429.txt","tomb of the blessed Thomas the Confessor","char-offset:164","PLACE","","","","","","","UNVERIFIED","Building|Ecclesiastical","at Hereford Cathedral
","",""
"3101ffec-9b24-4e08-944f-4a8006bb4338","HCM_1429.txt","Hereford","char-offset:225","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Area|Ecclesiastical","diocese","",""
"6fa2696c-8eee-4d30-824d-6556a20e04b2","HCM_1429.txt","London","char-offset:271","PLACE","http://sws.geonames.org/6058560","London","","42.98339","-81.23304","","UNVERIFIED","Nominative|Settlement","","",""
"cee61bee-b887-4421-bb09-89094fffdeab","HCM_1435.txt","shrine and church of 5t. Thomas of Hereford","char-offset:132","PLACE","","","","","","","UNVERIFIED","Building|Ecclesiastical","tomb of St Thomas Cantilupe at Hereford Cathedral
","",""
"9b18cd7e-cf9f-40b5-a24e-f7e5c4f3c5da","HCM_1435.txt","Hereford","char-offset:167","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Building|Ecclesiastical","Hereford Cathedral
","",""
"6d6e55b8-7709-4a38-a57c-eef312842d40","HCM_1435.txt","Hereford","char-offset:250","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Area|Ecclesiastical","diocese","",""
"597d3672-915b-4fcd-a153-871e49e1b052","HCM_1435.txt","Hereford","char-offset:284","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Building|Ecclesiastical","cathedral","",""
"25192238-34c1-4651-8577-fb80fa19efa3","HCM_1435.txt","a pags","char-offset:312","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement|OCR","Berkeleye","",""
"104bfa67-ffcc-4142-9280-36c45ccfa9c5","HCM_1435.txt","church of Hereford","char-offset:613","PLACE","","","","","","","UNVERIFIED","Building|Ecclesiastical","","",""
"e65b5701-354a-4bec-a6f4-78ad458bfaf9","HCM_1435.txt","Westminster","char-offset:710","PLACE","http://sws.geonames.org/5408406","Westminster","","33.75918","-118.00673","","UNVERIFIED","Given at|Building|Governmental","","",""
"50877d64-cc26-4a0f-bbf1-aa2d9487d494","HCM_1438.txt","church of Hereford","char-offset:191","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"eec677ac-678c-4552-bf59-ce24cc037d98","HCM_1438.txt","Glouc'","char-offset:286","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"a9c2be22-bfd9-4b5d-90b2-02f0a83a2e62","HCM_1438.txt","church of Hereford","char-offset:312","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"4df9d3e1-9629-4e6d-a7d8-e6e58f39ef4c","HCM_1438.txt","Caple,","char-offset:343","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"753b53b7-19d7-474e-890c-8254a6226362","HCM_1438.txt","Breosa","char-offset:373","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"c7c47f24-e35b-4d06-9e09-6239d5f86f26","HCM_1438.txt","same church","char-offset:401","PLACE","http://mapoflondon.uvic.ca/LOVE12.htm","Love Lane (Coleman Street)","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","Hereford Cathedral
","",""
