"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"0887bcaf-df10-4057-8570-eb906774b96c","HCM 2578.txt","Comberton","char-offset:37","PLACE","http://dare.ht.lu.se/places/25960","Comberton","","52.174904","0.023263","","VERIFIED","Nominative|Settlement","","",""
"4fb09ab6-55e8-4312-8564-26edfab1688e","HCM 2578.txt","church of St. Ethelbert of Hereford","char-offset:75","PLACE","","","","","","","UNVERIFIED","Building|Ecclesiastical|Nominative","","",""
"a0ef7f38-b336-490b-a651-15defa57c329","HCM 2578.txt","la Barewe","char-offset:136","PLACE","","","","","","","UNVERIFIED","Nominative|Natural Feature","","",""
"07d2f422-f41d-4055-a083-7eeb0817233f","HCM 2578.txt","London","char-offset:283","PLACE","http://sws.geonames.org/6058560","London","","42.98339","-81.23304","","VERIFIED","Given at|Settlement","","",""
"b7940599-7efe-40d3-8bbb-a1892885b316","HCM_104.txt","Monyton","char-offset:113","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","Monnington on Wye
","",""
"fa9d9f28-dc03-4418-a28e-a1d86ecb71ab","HCM_104.txt","Gloucester","char-offset:134","PLACE","http://sws.geonames.org/2648404","Gloucester","","51.86568","-2.2431","","VERIFIED","Settlement|Mercantile|Nominative","","",""
"03ed7d54-898f-423b-8583-4b02f836743c","HCM_104.txt","Hamstude","char-offset:158","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"7351b590-dbd8-4c31-b33a-a2a14b54a42f","HCM_104.txt","Hereford","char-offset:179","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","Nominative|Settlement|Mercantile","","",""
"11211fa6-6d7e-4431-9cd9-12e0afabc99b","HCM_104.txt","Hereford","char-offset:247","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","Settlement","","",""
"c48c6c95-4930-42ab-a0f0-97edc3cd6441","HCM_104.txt","Byhyndenthewalles,","char-offset:275","PLACE","","","","","","","UNVERIFIED","Roadway","street in Hereford
","",""
"4454a137-0779-4ccb-aaa2-b6039d82faff","HCM_104.txt","M'","char-offset:358","PLACE","http://pleiades.stoa.org/places/261232","Argentarius M./Cassius M.","","","","unlocated","UNVERIFIED","Nominative|Mercantile","Molendino?","",""
"b4617664-97ea-43f7-8772-0cce62ebd782","HCM_104.txt","wyke","char-offset:390","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
