"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"72669be3-e97c-487b-857d-37b3253e5a59","HCM_380.txt","Ploufeld","char-offset:108","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"a59a1441-ea50-4e96-9a58-fec41b30e7a6","HCM_380.txt","Callerhull","char-offset:186","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"ae224939-eafe-4829-88a4-01fa598fe415","HCM_380.txt","manor of Norton","char-offset:254","PLACE","","","","","","","UNVERIFIED","Settlement","","",""
"265a0ac7-3c53-440b-ab14-d7cd0e17af01","HCM_380.txt","Norton","char-offset:338","PLACE","http://sws.geonames.org/884141","Norton","","-17.88333","30.7","","UNVERIFIED","Settlement","","",""
"06121526-dc0a-4273-8466-2ddadf22568b","HCM_380.txt","Norton","char-offset:355","PLACE","http://sws.geonames.org/884141","Norton","","-17.88333","30.7","","UNVERIFIED","Given at|Settlement","","",""
"9a5f993e-54da-4fed-97f2-668bc064502b","HCM_380.txt","Hynton","char-offset:387","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"cf55bb85-a8cd-43db-be68-03dddbaa434b","HCM_380.txt","Norton","char-offset:426","PLACE","http://sws.geonames.org/884141","Norton","","-17.88333","30.7","","UNVERIFIED","Nominative|Settlement","","",""
"26fb45cb-f3f3-464b-ae77-97e17de27a6d","HCM_380.txt","Chabbenor","char-offset:458","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"eb1437f4-3712-4bce-82c0-f2fe59334c42","HCM_395.txt","Leoministria","char-offset:138","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"5fd6c07d-5b08-4a5f-a43d-3cf10952c664","HCM_395.txt","le Halle","char-offset:163","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
