"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"c89baf11-30c6-4486-8dd5-b66136b9e919","HCM_1504-em.txt","St. David's","char-offset:79","PLACE","http://geo-kima.org/place/25135","St. David's Region (Wales)","","","","","UNVERIFIED","Nominative|Area|Ecclesiastical","diocese","",""
"cbe5a7b6-3c8b-4be6-aac9-81a1e9703328","HCM_1504-em.txt","Kedwell’","char-offset:108","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","Priory
","",""
"7ff5d085-74a7-48ab-9127-541e8cbf088e","HCM_1504-em.txt","church of Penbray","char-offset:146","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"6c6b9bff-f129-44a5-9636-3902adec4b85","HCM_1504-em.txt","Kermerdyn","char-offset:178","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","Priory","",""
"d4ec8cf9-8e85-4788-8890-d7d22840c9f8","HCM_1504-em.txt","church of Landesteffan","char-offset:233","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"bb811d94-e78b-4e74-b354-fb241928a34d","HCM_1504-em.txt","Court of Arches","char-offset:350","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","Church of St Mary of Arches
","",""
"275f2b6a-f983-4e80-81e0-58b5a9f2c97a","HCM_1504-em.txt","church of Saint Ismahel'","char-offset:438","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"10ab35b4-75c7-41bb-a1b7-6c094a481290","HCM_1504-em.txt","Arleye","char-offset:590","PLACE","","","","","","","UNVERIFIED","Given at|Settlement","","",""
"61496ba3-582a-4595-a457-557742ce1d2f","HCM_1481.txt","college of vicars in the cathedral chureh of Hereford","char-offset:43","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"3a58ed32-79d3-4bde-846c-15cea26b5673","HCM_1481.txt","cathedral chureh of Hereford","char-offset:68","PLACE","","","","","","","UNVERIFIED","Building|Ecclesiastical|Nominative","","",""
"025e2625-c0df-4fbd-b95e-9d0054076e39","HCM_1481.txt","Hereford","char-offset:158","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Settlement","","",""
"7ec90cdf-e591-4fcd-9b07-37955200ee2c","HCM_1481.txt","meadow in Walleney","char-offset:194","PLACE","","","","","","","UNVERIFIED","Agricultural","","",""
"b84ee76f-2b56-4101-b9fe-a9cac57542d1","HCM_1487.txt","Staundon';","char-offset:91","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"464ff613-458e-4431-843b-20129fe3c0fd","HCM_1487.txt","Chaundos","char-offset:125","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"f8395829-6ab4-4d7e-b00f-c60b0e3be3d1","HCM_1487.txt","channel of water (see No 1486 lying in Freston’ super savam","char-offset:186","PLACE","","","","","","","UNVERIFIED","Natural Feature|OCR","channel of water in Preston-on-Wye, connected to le Oldemulle","",""
"ac6b1c3c-42e7-4ba5-a85a-2db6e5dae6da","HCM_1487.txt","Freston’ super savam","char-offset:225","PLACE","","","","","","","UNVERIFIED","Settlement|OCR","Preston on Wye","",""
"1757d20a-d639-4e9a-9186-47ad7d4f3624","HCM_1487.txt","Oldemull'","char-offset:253","PLACE","","","","","","","UNVERIFIED","Building|Mercantile","in Preston on Wye","",""
"3b711901-14e8-465b-ad4f-262b2107438b","HCM_1487.txt","Maddeley","char-offset:305","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"c41855a2-a528-42a0-bbe7-f99471abc739","HCM_1487.txt","Wye","char-offset:322","PLACE","http://sws.geonames.org/2633460","Wye","","51.18249","0.93678","","UNVERIFIED","Natural Feature","river","",""
"eb412940-a53f-4eb8-8610-4c7867bfbe52","HCM_1487.txt","Cobleton’","char-offset:380","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"b3a5ec40-79c7-4dfd-84e7-a91cd2fe7680","HCM_1487.txt","Hereford","char-offset:521","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Given at|Settlement","","",""
"49c7d117-34fc-4dea-9c00-8d24ce0c84c0","HCM_1487.txt","Chaundos","char-offset:552","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"01c43d36-e826-433e-964e-39ff529d5154","HCM_1487.txt","Frome","char-offset:604","PLACE","http://sws.geonames.org/2649024","Frome","","51.22834","-2.32211","","UNVERIFIED","Nominative|Settlement","","",""
"b502cadc-505f-40eb-ab92-bac130d9029a","HCM_1487.txt","Lywode","char-offset:632","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"5f68dc63-65f5-4766-9d30-820dcca6fda3","HCM_15.txt","Breynton'","char-offset:37","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"9a7711e7-4f97-48fb-9260-f2bf7337d234","HCM_15.txt","Hereford","char-offset:83","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Settlement","","",""
"a652f637-9e46-4d51-a23c-1496d27459a2","HCM_15.txt","field of Breyntone","char-offset:146","PLACE","","","","","","","UNVERIFIED","Agricultural","","",""
"15faf3d2-7dc1-4358-94ee-e48251e0d91b","HCM_15.txt","Huwescrose","char-offset:211","PLACE","","","","","","","UNVERIFIED","Roadway|Agricultural","roadway? natural feature?","",""
"4bc5c404-f8a1-49ef-9dab-5a765bcd9d39","HCM_15.txt","la Berne","char-offset:250","PLACE","http://dare.ht.lu.se/places/45646","Engehalbinsel|Bern|*Brenodunum, Engehalbinsel, Bern|amphitheatre, Bern|thermes, Bern|Bern","-0330/2100","46.983598","7.449678","amphitheatre,settlement","UNVERIFIED","Nominative|Settlement","","",""
"87845b70-c683-4cad-9cb6-c0277c472929","HCM_15.txt","Inthebrok'","char-offset:418","PLACE","","","","","","","UNVERIFIED","Agricultural","","",""
"924bcff4-860f-4e16-b725-f751e733513d","HCM_15.txt","Seuenok'","char-offset:547","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
