"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"8c05e940-5ab2-4556-b0c8-37b8ab36f9a9","RBLR_1805.txt","Convent of friars of the Dominican Order at Canterbury","char-offset:136","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"f7b851c8-5d92-47ff-b42a-93a669269b2a","RBLR_1805.txt","Swynefeud","char-offset:242","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"70bade73-accb-4527-b2a2-ac462cee45d3","RBLR_1805.txt","Hereford","char-offset:272","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Area|Ecclesiastical","diocese","",""
"dcfe11e5-121d-485b-ad77-94e8c4a73179","RBLR_1805.txt","Canterbury.","char-offset:374","PLACE","http://sws.geonames.org/2192628","Canterbury","","-43.5751123784184","171.5557410649946","","UNVERIFIED","Given at|Settlement","","",""
"ce85c5c9-a674-4cfb-94a4-1c117aabcbe2","RBLR_1907.txt","Breinton","char-offset:60","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"6dcdc74d-e263-4d9e-8db3-a8e0db9d4c31","RBLR_1907.txt","ecclesie de Aka","char-offset:400","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"3ff65965-7144-4cba-87de-c404d99aca0b","RBLR_1907.txt","Herefordensis diocesis","char-offset:424","PLACE","","","","","","","UNVERIFIED","Area|Ecclesiastical","","",""
"28d232f9-4040-4d10-a368-d3c1d9be2e29","RBLR_1907.txt","prioratu sancti Rufi juxta Avynyonem","char-offset:1139","PLACE","","","","","","","UNVERIFIED","Given at|Building|Ecclesiastical","","",""
"a7b41865-5552-4496-a1e1-5c08112fc3bc","RBLR_1807.txt","hospital of Northgate [St. John's] at Canterbury","char-offset:154","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"81febcf4-94fd-40cc-926e-48a262b520ce","RBLR_1807.txt","Swynefeud","char-offset:254","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"64a54151-4ed8-4654-8606-1091e9d09e52","RBLR_1807.txt","Hereford","char-offset:284","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Area|Ecclesiastical","","",""
"1345feca-4052-4f93-ba9e-1d734df67fde","RBLR_1807.txt","Canterbury","char-offset:386","PLACE","http://sws.geonames.org/2653877","Canterbury","","51.27904","1.07992","","UNVERIFIED","Given at|Settlement","","",""
"8e466939-b14f-4e3a-aa65-7baddafb9026","RBLR_1908.txt","Canonical Houses","char-offset:71","PLACE","","","","","","","UNVERIFIED","Building|Ecclesiastical","in Hereford; prev held by Hamo de Sandwich
","",""
"e59cb67d-2eb8-4f21-810c-56acdcb36485","RBLR_1908.txt","prioratu sancti Rufi juxta Avynionem","char-offset:236","PLACE","","","","","","","UNVERIFIED","Given at|Building|Ecclesiastical","","",""
"0b424272-1b64-4180-a662-064558572811","RBLR_1908.txt","Vernoun","char-offset:311","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"d6f118f3-bcb8-4e47-948f-0b7cff8a2a4d","RBLR_1908.txt","Herefordenis","char-offset:329","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","cathedral","",""
"3acccf89-0ff7-4836-9af2-1b747ec17648","RBLR_1908.txt","Sandwico","char-offset:386","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"39aad8c6-73c6-46d0-9da4-0d6e9e2d0d0d","RBLR_1908.txt","Herefordensis","char-offset:414","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","cathedral","",""
"591b6a76-e7a0-4997-bdfc-84fbb583181c","RBLR_1908.txt","Breyntone.","char-offset:492","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"ba39ee1c-7337-4007-9211-66b4e956f79d","RBLR_1806.txt","church of Bocton' in the diocese of Canterbury","char-offset:146","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"d8a69d4e-b81e-4383-8c7d-19871c7b8d02","RBLR_1806.txt","Swinefeud","char-offset:245","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"f16a8183-0d0b-4509-a007-25ade9ad45d2","RBLR_1806.txt","Hereford","char-offset:275","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Area|Ecclesiastical","diocese","",""
"556ebed6-d521-42ab-a05a-93269f9b5204","RBLR_1806.txt","church of Bocton'","char-offset:361","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"9c744cc8-d465-4ca7-854d-2ba505890cc6","RBLR_1806.txt","Canterbury","char-offset:458","PLACE","http://sws.geonames.org/2653877","Canterbury","","51.27904","1.07992","","UNVERIFIED","Given at|Settlement","","",""
"773d5d47-6509-4490-800e-878d01b37f15","RBLR_1813.txt","Coleshulle","char-offset:133","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"6897379e-a74c-43ec-a649-4913be0f0a99","RBLR_1813.txt","Swynefeud","char-offset:195","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"43270e2f-51e2-4120-b4b7-638dd8ca378c","RBLR_1813.txt","Hereford","char-offset:225","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Area|Ecclesiastical","","",""
"40d0243c-5b4b-4c84-92e0-70971b708022","RBLR_1813.txt","Wyngeham","char-offset:330","PLACE","","","","","","","UNVERIFIED","Given at|Settlement","","",""
"213e5e08-e961-4a61-8427-d354cee94355","RBLR_1812.txt","Berehem","char-offset:132","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"9b30ff4a-df72-4caa-82ba-764d0901f0da","RBLR_1812.txt","church of Hereford","char-offset:154","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"522af5ff-a129-4c61-aed9-2677f84f0826","RBLR_1812.txt","Swynefeud","char-offset:225","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"bc2d3e28-9a13-44dc-9a4b-7aa7a4dd089d","RBLR_1812.txt","Hereford","char-offset:255","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Area|Ecclesiastical","","",""
"8961f9bc-2667-4488-8d64-2294f28599ac","RBLR_1812.txt","Borgat’","char-offset:307","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"39e547df-3755-424d-b476-a0245faae0f2","RBLR_1812.txt","Radyng’","char-offset:334","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","Reading Abbey
","",""
"28ffb69c-72b5-49d7-81c8-73dfe0c0f538","RBLR_1812.txt","Canterbury","char-offset:464","PLACE","http://sws.geonames.org/2653877","Canterbury","","51.27904","1.07992","","UNVERIFIED","Given at|Settlement","","",""
"98377abd-4297-4c7f-989e-59b08c5b9ca0","RBLR_1810.txt","Scheluyng'","char-offset:130","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"03412ef2-e5f6-42ab-9732-9b0bdca39f22","RBLR_1810.txt","Swynefeud","char-offset:192","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"f274d294-599d-4724-a690-fb61936a64c0","RBLR_1810.txt","Hereford","char-offset:222","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Area|Ecclesiastical","diocese","",""
"660fba42-d885-417f-a9f5-dea776d36a05","RBLR_1810.txt","Canterbury","char-offset:317","PLACE","http://sws.geonames.org/2653877","Canterbury","","51.27904","1.07992","","UNVERIFIED","Given at|Settlement","","",""
"f47605fe-ae5f-4264-8605-0ed1defb2e23","RBLR_1808.txt","hospital of Saint James outside the town of Canterbury","char-offset:154","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"52690e93-7a60-45cc-8b1c-27349671bfdf","RBLR_1808.txt","Swynefeud","char-offset:260","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"00b92079-3d5d-45a8-8bb4-3e9ccb753c39","RBLR_1808.txt","Hereford","char-offset:290","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Area|Ecclesiastical","diocese","",""
"a01e0650-c841-4115-a603-ccb2115af5ea","RBLR_1808.txt","Canterbury","char-offset:392","PLACE","http://sws.geonames.org/2653877","Canterbury","","51.27904","1.07992","","UNVERIFIED","Given at|Settlement","","",""
"7e82427e-ca6a-4d4a-abe3-1507030fa942","RBLR_1811.txt","Swynefeud","char-offset:206","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"849faeb0-02b2-43d3-9b59-51135c451a96","RBLR_1811.txt","Hereford","char-offset:236","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Area|Ecclesiastical","","",""
"2769e29c-0165-49f1-a396-9a15cab80fee","RBLR_1811.txt","Canterbury","char-offset:342","PLACE","http://sws.geonames.org/2653877","Canterbury","","51.27904","1.07992","","UNVERIFIED","Given at|Settlement","","",""
"0111e8ad-dd17-41c1-8ceb-dd7a557f504f","RBLR_1816.txt","Matiscon","char-offset:38","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
