"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"b2094553-a7d1-4d6b-9522-d166e4f55a4d","HCM_3007.txt","Gonewardeby","char-offset:86","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"c8eec421-f4bf-4beb-b252-0106cfc39dc6","HCM_3007.txt","diocese of Lincoln","char-offset:112","PLACE","","","","","","","UNVERIFIED","Nominative|Area|Ecclesiastical","","",""
"43ee7eb7-31c3-44d6-838e-1263dfc03b18","HCM_3007.txt","Chedenhall'","char-offset:203","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"a450f420-3871-4959-9ee0-4b775eb6f27a","HCM_3007.txt","Thormerton","char-offset:230","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"3fc03a90-533a-4783-ad82-a711a293ebe3","HCM_3007.txt","dioceses of Hereford","char-offset:254","PLACE","","","","","","","UNVERIFIED","Nominative|Area|Ecclesiastical","","",""
"465d8d96-90e3-4c34-bafe-29b9141b3576","HCM_3007.txt","Worcester","char-offset:279","PLACE","http://sws.geonames.org/2633563","Worcester","","52.18935","-2.22001","","UNVERIFIED","Nominative|Area|Ecclesiastical","diocese","",""
"8ed51228-4528-4e62-af2d-8b353306dff9","HCM_3007.txt","Hereford","char-offset:316","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Area|Ecclesiastical","diocese","",""
"5967fa34-cbbc-47b2-9217-e0430979a59c","HCM_3007.txt","diocese erord","char-offset:374","PLACE","","","","","","","UNVERIFIED","Nominative|Area|Ecclesiastical|OCR","diocese of Hereford","",""
"39bcc2c7-b904-484c-bfd8-2565645be138","HCM_3007.txt","Hereford","char-offset:423","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Building|Ecclesiastical","cathedral","",""
"faa3d6bb-7e21-4f2c-995c-1aa0912e02ed","HCM_3007.txt","gates of the holy palace the Pope","char-offset:456","PLACE","","","","","","","UNVERIFIED","Building|Ecclesiastical","Palais des papes in Avignon
","",""
"eef20408-1e82-4622-b875-8927286aa2b3","HCM_3007.txt","Montenago","char-offset:523","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"1890e99e-1665-45fd-a0ad-e1e04bfdbdb4","HCM_3007.txt","oS","char-offset:938","PLACE","http://sws.geonames.org/3143303","Os","","62.49647","11.22326","","UNVERIFIED","Nominative|Settlement|OCR","Ross (john de)","",""
"9b8c4421-80a4-4da7-88d9-068043ed264a","HCM_3007.txt","Hereford","char-offset:966","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Building|Ecclesiastical","Cathedral","",""
"fc15658a-83a9-4ad1-8fd6-2ddaa6e6d0ab","HCM_3007.txt","Bergamo","char-offset:1178","PLACE","http://pleiades.stoa.org/places/383589","Bergomum|Bergomum, Bergamo|Bergamo","-0550/0640","45.6947","9.6687","settlement","UNVERIFIED","Nominative|Settlement","","",""
"60ed17f4-8f31-40d5-baaf-a78e95c73ce0","HCM_3007.txt","house’of the cardinal and vicechancellor","char-offset:1253","PLACE","","","","","","","UNVERIFIED","Building|Ecclesiastical|Research","at Avignon","",""
"a96bf362-af0a-454d-b0bb-5824bd658c4c","HCM_3007.txt","Fas","char-offset:1378","PLACE","http://pleiades.stoa.org/places/795773","Abu Fas|Abu Fas","-0330/0640","22.09553","33.990514","mine","UNVERIFIED","Nominative|Settlement","","",""
"2f04d033-1084-4324-aef7-0cc317ab8271","HCM_3007.txt","walling'","char-offset:1892","PLACE","http://sws.geonames.org/1282616","Wāling","","27.98333","83.76667","","UNVERIFIED","Nominative|Settlement|OCR","Malling'","",""
"1a54e16c-9a92-4716-a296-d5b1ebf5bd43","HCM_3007.txt","Roman court,","char-offset:1917","PLACE","http://pleiades.stoa.org/places/79471","Frocester|Frocester Court","-0030/0640","51.722785","-2.312798","villa","UNVERIFIED","Building|Ecclesiastical","at Avignon
","",""
