"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"f0177f41-a1a8-470b-bd44-bc53f7904892","RBLR_1814.txt","Thomas de Retlyng","char-offset:134","PERSON","","","","","","","","",""
"9396f0f0-6226-4c69-9dc3-43a20d0c1f6b","RBLR_1814.txt","the executors of the will of dominus Richard de Swynefeud","char-offset:156","PERSON","","","","","","","","Collective|Office|Principal","Collective includes RB"
"f57653f7-b639-4782-8f08-04045fa06a50","RBLR_1814.txt","Richard de Swynefeud","char-offset:193","PERSON","","","","","","","","",""
"50fc10e2-9598-4b8f-ae5a-70040f422315","RBLR_1814.txt","Hereford","char-offset:234","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","",""
"4ba8d0c2-c3cb-4e16-be76-efca2377110c","RBLR_1814.txt","Canterbury","char-offset:361","PLACE","http://sws.geonames.org/2653877","Canterbury","","51.27904","1.07992","","VERIFIED","Given at",""
"0e75cf84-43f0-46e2-b4bc-392b51ff76ee","RBLR_1817.txt","Adam Murimouth","char-offset:50","PERSON","","","","","","","","",""
"c69a17ad-f120-4ac1-ad3b-cf3c66794ade","RBLR_1817.txt","Andrew Sapity","char-offset:66","PERSON","","","","","","","","",""
"b88125b0-9db3-4868-9cf3-59e0b3007024","RBLR_1817.txt","Roger de Breinton","char-offset:84","PERSON","","","","","","","","Principal|Present","Roger de Breynton"
"94afc418-0cda-4e4c-bb74-d1a90848649a","RBLR_1817.txt","the Papal Court","char-offset:125","PLACE","http://geo-kima.org/place/19779","Avignon (Papal city)","","","","","VERIFIED","Going to","Avignon"
"813ce904-96bd-40b8-a790-5f5f106c8e23","RBLR_1817.txt","CURIA ROMANA","char-offset:225","PLACE","","","","","","","UNVERIFIED","",""
"62aeb201-1c63-48c2-bd75-dff6ca53bffe","RBLR_1817.txt","Adam Murymuth","char-offset:319","PERSON","","","","","","","","",""
"63d45471-aeaf-430a-be84-dcde8cae8644","RBLR_1817.txt","Andream Sapity","char-offset:388","PERSON","","","","","","","","",""
"a013a293-4be3-4824-8af0-72ba4b735173","RBLR_1817.txt","R. de Breintone","char-offset:415","PERSON","","","","","","","","",""
"05afebb5-8e49-4e69-9b3e-b44dffaa1553","RBLR_1817.txt","ecclesie de Monytone","char-offset:441","PLACE","","","","","","","UNVERIFIED","RB property","Chuch of Monnington on Wye"
"27612c1f-501d-4311-8613-1097f59116bd","RBLR_1817.txt","Rue in Pontinio","char-offset:1259","PLACE","","","","","","","UNVERIFIED","Given at","I think this is a place somewhere en route to / from Avignon"
"3cce2288-e438-4611-b204-a28d221d7d4a","RBLR_1817.txt","Julii","char-offset:1292","PERSON","","","","","","","","",""
"e04efd20-03fb-4e7d-ac85-046887debdd6","RBLR_1816.txt","RBLR 1816 1318.7.18","char-offset:0","","","","","","","","","","I feel like this entry is mistaken in some way--I don't recognize it and see no mention of or allusion to RB; has it been drawn from another register, e.g. that of Durham?"
