"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"19bc2ba0-602c-451b-be70-9f85888b9eb6","RBLR_1738.txt","Adam de Cranebrok","char-offset:143","PERSON","","","","","","","","Principal",""
"6df20595-ce8a-4e8a-9f74-57c01566fc1c","RBLR_1738.txt","Cranebrok'","char-offset:151","PLACE","","","","","","","UNVERIFIED","Nominative","Cranbrook"
"e8c4da0c-9549-489e-844d-25385d220219","RBLR_1738.txt","Gunnora de Boynton","char-offset:166","PERSON","","","","","","","","Principal",""
"f47eda4f-181a-473d-a38f-577977431f89","RBLR_1738.txt","Boynton'","char-offset:177","PLACE","http://sws.geonames.org/4148677","Boynton Beach","","26.52535","-80.06643","","UNVERIFIED","Nominative",""
"dd4daeeb-3575-4f64-bd3c-2828c88e600f","RBLR_1738.txt","the executors of the will of dominus Richard de Swynefeud, formerly bishop of Hereford","char-offset:200","PERSON","","","","","","","","Collective|Principal|Office|Executor","Collective includes RB"
"c0c3b372-8af9-4054-981c-01e345b8f4a7","RBLR_1738.txt","Richard de Swynefeud","char-offset:237","PERSON","","","","","","","","Dead",""
"71f71663-baf0-4624-98ed-596737dbe801","RBLR_1738.txt","Swynefeud","char-offset:248","PLACE","","","","","","","UNVERIFIED","Nominative","Swinfield"
"04c304cf-9b58-4f64-9df2-e6c898e08e53","RBLR_1738.txt","bishop of Hereford,","char-offset:268","","","","","","","","","Job",""
"3377783f-2542-4265-84f1-5c2c9507d6ac","RBLR_1738.txt","Hereford","char-offset:278","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","Nominative",""
"30c41934-2bcd-4a96-a8aa-4afb64cbac2a","RBLR_1738.txt","London","char-offset:374","PLACE","http://sws.geonames.org/2643743","London","","51.50853","-0.12574","","VERIFIED","Given at",""
"5cee8605-ebf1-4d8c-9339-a73684607471","RBLR_1738.txt","Wyngeham","char-offset:385","PLACE","","","","","","","UNVERIFIED","Given at",""
"f6fbe5d2-e3e5-4b98-8540-22df52b8e3b0","RBLR_1738.txt","Latin","char-offset:395","","","","","","","","","Language",""
"223ddd28-c1e0-40c6-a14a-9bcaa2c9d6d8","RBLR_1738.txt","Seal","char-offset:402","","","","","","","","","Material feature",""
"e16f8f8a-1507-49be-b61e-b7d5b4b58396","RBLR_1736.txt","Thomas de Bromfeld","char-offset:105","PERSON","","","","","","","","Principal",""
"0c262148-a6c4-44f9-9776-047141946714","RBLR_1736.txt","Bromfeld","char-offset:115","PLACE","http://sws.geonames.org/2654591","Bromfield","","52.38333","-2.76667","","VERIFIED","Nominative",""
"36adf1c4-eade-4ee0-88d0-33387406c5be","RBLR_1736.txt","Joan","char-offset:128","PERSON","","","","","","","","Principal","Joan (de Bromfeld?), wife of Thomas de Bromfeld"
"20ca3b15-fee1-4221-8892-26cd94271310","RBLR_1736.txt","Roger de Broynton'","char-offset:154","PERSON","","","","","","","","Principal|Present","Roger de Breynton"
"93e6279c-c96b-4bb5-a9cf-e19c36418613","RBLR_1736.txt","Broynton'","char-offset:163","PLACE","","","","","","","UNVERIFIED","Nominative","Breinton"
"0b1c53b6-08be-42ed-8be5-de9ae10f0f69","RBLR_1736.txt","rector of the church of Monyton","char-offset:174","","","","","","","","","Job",""
"35f656ce-56b3-4026-bf16-b6a2910fa93b","RBLR_1736.txt","the church of Monyton","char-offset:184","PLACE","","","","","","","UNVERIFIED","RB property","Monnington on Wye"
"c56b7fda-6603-4ab1-87ee-554a67a62c71","RBLR_1736.txt","Monyton","char-offset:198","PLACE","","","","","","","UNVERIFIED","Nominative","Monnington-on-Wye"
"99b8919f-2c63-435c-86b4-90b560c6b47f","RBLR_1736.txt","a piece of land with buildings lying in a place called Wrohthale in the city of Hereford","char-offset:217","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","RB property",""
"79cce051-b9eb-4924-8568-a68e8380e0cf","RBLR_1736.txt","Wrohthale","char-offset:272","PLACE","","","","","","","UNVERIFIED","",""
"c90b7e87-aab4-4058-810b-bbf3e02d821c","RBLR_1736.txt","Hereford","char-offset:297","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","",""
"0d975068-076f-4653-a899-2778aca8b45c","RBLR_1736.txt","the land of the aforesaid Roger","char-offset:314","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","RB property",""
"d8b92dcb-3e01-412b-ae57-fa953d2ae3fb","RBLR_1736.txt","Bartholomew de la Barre","char-offset:362","PERSON","","","","","","","","",""
"8d5b924e-0eb2-4cad-b0b1-d1a674e16d9f","RBLR_1736.txt","la Barre","char-offset:377","PLACE","http://sws.geonames.org/3011332","La Barre-de-Monts","","46.88059","-2.12168","","UNVERIFIED","Nominative",""
"3301d2d0-ab71-4f12-b38d-1459d6696ac3","RBLR_1736.txt","the highway","char-offset:405","PLACE","http://pleiades.stoa.org/places/770053487","Arkadiko Bridge","","37.595556","22.939167","bridge","UNVERIFIED","Street",""
"60512901-14ea-46bb-a5ad-1b9941c8d377","RBLR_1736.txt","the lands of the said Roger","char-offset:420","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","RB property",""
"fa6e8b64-024c-4825-87bb-3e7e40abb3dc","RBLR_1736.txt","Robert de Garewy","char-offset:452","PERSON","","","","","","","","",""
"a95f9d73-2fe8-458c-bfb7-46831d345e82","RBLR_1736.txt","Garewy","char-offset:462","PLACE","","","","","","","UNVERIFIED","Nominative",""
"76e2fcee-5d13-491e-9bf5-f1fc877a4068","RBLR_1736.txt","Hereford","char-offset:612","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","Given at",""
"24bb5682-c8b8-4431-851b-6eacf127e2c4","RBLR_1736.txt","Nicholas Stevenes","char-offset:633","PERSON","","","","","","","","Witness",""
"963de9a1-9516-445b-a6b4-79b3b55b700f","RBLR_1736.txt","bailiff of the dean and chapter","char-offset:652","","","","","","","","","Job",""
"34adb4a3-86a8-4086-8136-f363923f53c2","RBLR_1736.txt","dean and chapter","char-offset:667","PERSON","","","","","","","","Collective","dean and chapter of Hereford"
"17c46a89-f550-4978-9f85-accb0a2e5307","RBLR_1736.txt","Hugh de Monyton","char-offset:685","PERSON","","","","","","","","Witness",""
"492ccbd2-bd67-410e-acc8-fe01af33e865","RBLR_1736.txt","Monyton'","char-offset:693","PLACE","","","","","","","UNVERIFIED","Nominative","Monnington-on-Wye"
"3d4d93a8-6733-42c0-85e7-2e06f43d9335","RBLR_1736.txt","Roger de Bristoll","char-offset:703","PERSON","","","","","","","","Witness",""
"cbafdcc9-b070-45d8-953d-a66f52647541","RBLR_1736.txt","Bristoll","char-offset:712","PLACE","http://sws.geonames.org/2654675","Bristol","","51.45523","-2.59665","","VERIFIED","Nominative","Bristol"
"1a68600c-3a89-40a9-b974-49441f3b1765","RBLR_1736.txt","Roger de Ledebury","char-offset:725","PERSON","","","","","","","","Witness",""
"72ee5d27-8953-42b2-accc-2d77323823d0","RBLR_1736.txt","Ledebury,","char-offset:734","PLACE","http://sws.geonames.org/2644707","Ledbury","","52.03639","-2.42635","","VERIFIED","Nominative","Ledbury, Herefordshire"
"acd499d7-94d8-4fee-a86c-8fd1614a03e2","RBLR_1736.txt","Phillip Caym","char-offset:744","PERSON","","","","","","","","",""
"21b0aa41-64a8-47cd-89bd-f335eef442ac","RBLR_1736.txt","Stephen de Wygemore","char-offset:758","PERSON","","","","","","","","Witness",""
"1c463536-85eb-4364-addd-ca8387b3f573","RBLR_1736.txt","Wygemore","char-offset:769","PLACE","http://sws.geonames.org/2633937","Wigmore","","52.31667","-2.85","","VERIFIED","Nominative","Wigmore, Herefordshire"
"8c0978e2-2152-4d8b-807c-5abaf4eb70db","RBLR_1736.txt","William de Cirecestr","char-offset:779","PERSON","","","","","","","","Witness|Scribe",""
"3be3d6dd-ac9f-4763-891f-6fdd74adfc6c","RBLR_1736.txt","Cirecestr'","char-offset:790","PLACE","http://sws.geonames.org/2652995","Cirencester","","51.71927","-1.97145","","VERIFIED","Nominative","Cirenchester"
"f8fe031a-f161-4afb-a3ea-0f58748bf5f6","RBLR_1736.txt","Latin","char-offset:802","","","","","","","","","Language",""
"69b10ccc-3b03-48ef-8fb9-6b5112bb7966","RBLR_1736.txt","Seal","char-offset:809","","","","","","","","","Material feature",""
"912eadd9-d481-45cb-8f79-ba8bd2a8834f","RBLR_1735.txt","Richard de Hamenasch","char-offset:125","PERSON","","","","","","","","Principal",""
"4cfed5a2-0349-406d-8cb6-f7e4ac3fdd3a","RBLR_1735.txt","Hamenasch'","char-offset:136","PLACE","","","","","","","UNVERIFIED","Nominative",""
"618c6c18-e645-4412-ac59-04d5ffd8e5e5","RBLR_1735.txt","canon of Hereford,","char-offset:148","","","","","","","","","Job",""
"0ad436cc-2b87-45f8-9986-63218082ddf0","RBLR_1735.txt","Hereford","char-offset:157","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","Nominative",""
"5949b577-b043-4d7d-be46-66f2d2b0916f","RBLR_1735.txt","the executors of the will of dominua Richard de Swynefeud, formerly bishop of Hereford","char-offset:170","PERSON","","","","","","","","Collective|Principal|Office|Executor","Collective includes RB"
"20d12b5c-0c8c-4e8e-876e-35c3e24a3359","RBLR_1735.txt","Richard de Swynefeud","char-offset:207","PERSON","","","","","","","","Dead","Richard Swinfield, Bishop of Hereford 1283-1317"
"41a43ec3-b5fd-49b7-83b8-0a8c80a905d3","RBLR_1735.txt","Swynefeud","char-offset:218","PLACE","","","","","","","UNVERIFIED","Nominative","Swinfield"
"59c6f7c5-25b5-4c8b-8eef-939727cbd0a8","RBLR_1735.txt","bishop of Hereford,","char-offset:238","","","","","","","","","Job",""
"ecb1d65a-b32f-4e74-8fec-93e7c02b6faf","RBLR_1735.txt","Hereford","char-offset:248","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","Nominative",""
"c1ffc0ed-7f57-4d3f-bc62-f9e16215c337","RBLR_1735.txt","his four servants (garciones)","char-offset:294","PERSON","","","","","","","","Collective|Office","that is, the four servants of Richard de Hamenasch, Canon of Hereford"
"85da4604-c629-4cc8-8c5e-08f7b690ce0d","RBLR_1735.txt","Hereford","char-offset:403","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","Given at",""
"5f508ae9-5785-4d9d-ae40-ed89f278d2b0","RBLR_1735.txt","Latin","char-offset:413","","","","","","","","","Language",""
"b2680b19-8626-4590-a1f3-d2a97e11b915","RBLR_1734.txt","William de Molendino de Bosebur","char-offset:119","PERSON","","","","","","","","Principal",""
"f0d3ceef-c2ac-48d5-b016-c4523b0c0fec","RBLR_1734.txt","Molendino","char-offset:130","PLACE","","","","","","","UNVERIFIED","Nominative",""
"738fa446-5c3f-4e96-a423-15ce9ba43d5d","RBLR_1734.txt","Bosebur'","char-offset:143","PLACE","","","","","","","UNVERIFIED","Nominative","Bosbury, a manor of the Bishop of Hereford"
"31e22601-8088-4289-8ee0-180746a16592","RBLR_1734.txt","the executors of the will of dominus Richard de Swynefeud, formerly bishop of Hereford","char-offset:155","PERSON","","","","","","","","Collective|Principal|Office|Executor","Collective includes RB"
"e2b8b1ab-2ca5-407f-bce1-146ce52361aa","RBLR_1734.txt","Richard de Swynefeud","char-offset:192","PERSON","","","","","","","","Dead","Richard Swinfield"
"9d8da6a4-28e3-45e0-b36a-269e4d8ba4cf","RBLR_1734.txt","Swynefeud","char-offset:203","PLACE","","","","","","","UNVERIFIED","Nominative","Swinfield"
"10c922bc-6515-43b9-90d0-e2c06d9cd582","RBLR_1734.txt","bishop of Hereford","char-offset:223","","","","","","","","","Job",""
"4fccd050-8ba8-49c1-a090-4f4f3656cd0e","RBLR_1734.txt","Hereford","char-offset:233","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","Nominative",""
"083fcca2-9f5b-446b-92be-bf5636ad2361","RBLR_1734.txt","Nicholas de Ak","char-offset:367","PERSON","","","","","","","","","Nicholas de Aka (?), i.e. Rock?"
"37bf9866-4eb5-4bad-b2d4-670f83e00f05","RBLR_1734.txt","Ak'","char-offset:379","PLACE","http://pleiades.stoa.org/places/971691","Ak tepe|Ak tepe","-0330/0300","37.377453","67.457312","settlement","UNVERIFIED","Nominative","Aka? (i.e. Rock, Worcestershire?)"
"e27dcf4a-c89c-4bb4-86dd-82a2e963fc67","RBLR_1734.txt","portionist in the church of Ledebur'","char-offset:384","","","","","","","","","Job",""
"cb0517ae-9b2d-4947-a039-f8a0b656f3f5","RBLR_1734.txt","Ledebur","char-offset:412","PLACE","http://sws.geonames.org/2644707","Ledbury","","52.03639","-2.42635","","VERIFIED","Nominative",""
