"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"7a71031a-94f7-4d1d-8680-8a3bbd7af54e","RBLR_1107.txt","John","char-offset:89","PERSON","","","","","","","","Principal","de Bruneshope de Hereford"
"e5a633da-a93a-4009-ab3f-2a0c7756fa2c","RBLR_1107.txt","Roger de Bruneshope de Hereford","char-offset:110","PERSON","","","","","","","","",""
"fc42c094-1a84-43a2-a1cf-10c7e40d4a9c","RBLR_1107.txt","Bruneshope","char-offset:119","PLACE","","","","","","","UNVERIFIED","Nominative",""
"a6971f78-e443-4bdf-9bab-795c0662ea1f","RBLR_1107.txt","Roger de Brayntone","char-offset:147","PERSON","","","","","","","","Principal|Present","Roger de Breynton"
"fa2fcc32-440b-40a9-b201-8d7ae6032915","RBLR_1107.txt","Brayntone","char-offset:156","PLACE","","","","","","","UNVERIFIED","Nominative",""
"eb13d6dc-ae1b-4107-bf20-6297dee45289","RBLR_1107.txt","a tenement with buildings in the city of Hereford lying between the tenement of dominus John de Punda and the tenement of Robert de Somersete","char-offset:185","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","RB property",""
"cedfab2d-ede9-4136-99f3-54dc5e9cd77d","RBLR_1107.txt","Hereford","char-offset:226","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","",""
"bb8d6f08-bbe7-4f16-9aee-abfc363d551c","RBLR_1107.txt","the tenement of dominus John de Punda","char-offset:249","PLACE","","","","","","","NOT_IDENTIFIABLE","Property",""
"d6ed2a3f-fc88-43d6-918d-b53e4554ae40","RBLR_1107.txt","John de Punda","char-offset:273","PERSON","","","","","","","","",""
"457ae12f-9d55-478d-9ecc-9bc57f0b1001","RBLR_1107.txt","the tenement of Robert de Somersete","char-offset:291","PLACE","","","","","","","NOT_IDENTIFIABLE","Property",""
"9cd06edb-ae54-4d3d-8d6b-629f5dc35444","RBLR_1107.txt","Robert de Somersete","char-offset:307","PERSON","","","","","","","","",""
"07667f22-f271-4de4-a886-b65823a13beb","RBLR_1107.txt","Hereford","char-offset:337","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","Given at",""
"8903eeb0-ef4b-4337-94b3-52bfa860c9e2","RBLR_1107.txt","Roger Le Tayllor","char-offset:358","PERSON","","","","","","","","Witness",""
"079a0cd2-f9b4-4fff-a2d5-93fef090a454","RBLR_1107.txt","bailiff of the liberty of the dean and chapter of the cathedral church of St. Ethelbert of Hereford","char-offset:377","","","","","","","","","Job",""
"ea4bf393-780e-41f1-b140-d1e7dd197c53","RBLR_1107.txt","John de La Barewe","char-offset:478","PERSON","","","","","","","","Witness",""
"5a056cea-f3a5-4747-9cc2-c0519f753970","RBLR_1107.txt","La Barewe","char-offset:486","PLACE","","","","","","","UNVERIFIED","Nominative",""
"5528aadd-9faa-49d7-8625-155bf6ef842f","RBLR_1107.txt","William son of William Le Coruiser","char-offset:497","PERSON","","","","","","","","Witness",""
"203c491d-301c-4e44-b85b-3004f4dc759e","RBLR_1107.txt","Hugh de Monytone","char-offset:533","PERSON","","","","","","","","Witness",""
"b724d40f-925b-47fb-887c-84e692f9fb84","RBLR_1107.txt","Monytone","char-offset:541","PLACE","","","","","","","UNVERIFIED","Nominative",""
"0e4149ff-50df-4db8-ae4e-06e90c5d63f3","RBLR_1107.txt","Roger called de Ledebury","char-offset:551","PERSON","","","","","","","","Witness|Scribe",""
"fe03cee0-9212-4864-941b-6a92a1c284af","RBLR_1107.txt","Ledebury","char-offset:567","PLACE","","","","","","","NOT_IDENTIFIABLE","Nominative",""
"09a5614a-45ea-4eb1-b210-88afe37fd510","RBLR_1107.txt","Latin","char-offset:577","","","","","","","","","Language",""
"f4ae2ec3-1ff0-4165-8c5a-4e74b8b7ff83","RBLR_1107.txt","Seal","char-offset:584","","","","","","","","","Material feature",""
"449165d6-99b6-49fb-9d54-36ac2867a2b0","RBLR_1104.txt","William Blyth","char-offset:28","PERSON","","","","","","","","",""
"1461d55d-62f4-449c-bc49-6e46a7694b16","RBLR_1104.txt","William de Caple","char-offset:77","PERSON","","","","","","","","",""
"f598d00f-70d0-4e81-8026-a46363c33311","RBLR_1104.txt","Caple,","char-offset:88","PLACE","","","","","","","UNVERIFIED","Nominative",""
"e0a41d4c-03b9-4d0a-be19-6755fc47c9a7","RBLR_1104.txt","James, Rector of the Church of Ros","char-offset:99","","","","","","","","","Principal",""
"a245ec91-0c6b-4277-a1c6-9ab6842c41ad","RBLR_1104.txt","Stephen de Thanet","char-offset:140","PERSON","","","","","","","","",""
"be355331-56f8-4168-8ffc-34bc99bf6f07","RBLR_1104.txt","Thanet,","char-offset:151","PLACE","http://dare.ht.lu.se/places/41713","Toliatis/Tanatus (island)|Toliatis Ins./Tanatus Ins., Isle of Thanet","-0030/0640","51.35","1.383333","island","VERIFIED","Nominative",""
"40550887-aa48-4072-aa31-df674588fb5c","RBLR_1104.txt","Roger de Breinton","char-offset:167","PERSON","","","","","","","","Principal|Present",""
"ca9ddfaa-de20-439f-bd87-1cbe43c843d1","RBLR_1104.txt","Breinton","char-offset:176","PLACE","","","","","","","UNVERIFIED","Nominative",""
"ae520db7-70c1-41ff-a472-7ba7166eb605","RBLR_1104.txt","Nicholas de Rygate","char-offset:203","PERSON","","","","","","","","Dead","Treasurer of the Church of Hereford"
"ef7fd0ac-df91-4b25-a652-2fd9953f4ccb","RBLR_1104.txt","Rygate","char-offset:215","PLACE","","","","","","","UNVERIFIED","Nominative",""
"518a9137-7df7-467d-9e84-734611d24d49","RBLR_1104.txt","Treasurer of the Church of Hereford","char-offset:228","","","","","","","","","Job",""
"424d6c04-3fef-42f4-970f-25a681488959","RBLR_1104.txt","William Goodknave","char-offset:300","PERSON","","","","","","","","",""
"7a944a4e-6478-4260-a7a7-c73de92bbf5a","RBLR_1104.txt","Richard Manyword","char-offset:319","PERSON","","","","","","","","",""
"816e9d8b-57b2-414e-b42f-a44ae203f38e","RBLR_1104.txt","Hereford","char-offset:347","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","Given at",""
"542dea47-fd26-46aa-9a77-aa6f77c27da8","RBLR_1104.txt","Sherrif","char-offset:411","PERSON","","","","","","","","",""
"c2e2ebde-b4e3-4ea7-97f0-9dd0952c172f","RBLR_1104.txt","Glos","char-offset:422","PERSON","","","","","","","","",""
"c0cd6fd3-0757-48dd-a96c-676b5fc9a337","RBLR_1104.txt","William Goodknave","char-offset:436","PERSON","","","","","","","","",""
"bedb23fa-c6a0-4e03-b3c2-0d23a8fa0670","RBLR_1104.txt","Richard Manyword","char-offset:455","PERSON","","","","","","","","",""
"f931fdb5-a3d3-4458-8931-12697fa6e3d0","RBLR_1104.txt","Hereford","char-offset:483","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","Given at",""
"3d337cb7-a4d6-40ce-8f25-fd84f187cc57","RBLR_1104.txt","Glouc","char-offset:506","PLACE","","","","","","","UNVERIFIED","",""
"e5fc4998-a3ae-4909-b077-90e044c4197f","RBLR_1106.txt","Euerard son of John le Clerk' de Bristol","char-offset:113","PERSON","","","","","","","","Principal",""
"f65696d4-9ee8-45d7-ae15-5ee70f343313","RBLR_1106.txt","Bristoll","char-offset:146","PLACE","","","","","","","NOT_IDENTIFIABLE","Nominative",""
