"source","relation","target","source_id","source_tags","target_id","target_tags"
"rectorem ecclesie de Biforde","Job","Walterum de Penebrugge","f68beda4-152b-4ef2-a0d1-640462389f34","Job","195cff22-3105-4396-8005-6e9ed913ed04",""
"clerk","Job","Gilbert de Reygate","2a19654a-8dc0-4d49-84cb-7abf815f50a4","Job","cbedd11a-3698-4cb0-a63c-9bced9618cd6","Principal"
"William","Brother","Roger de Breynton","dfe0dec3-a426-4908-a4d6-7de23088c207","Principal","e2bf1d69-33f7-4003-a575-85c2f51e2dca","Principal|Present"
"John Dark","Neighbors","chaplain of St. Mary","238fc7a8-23a0-411c-86dc-929b219371b6","","549a5a95-8cd9-4d41-922a-d7e30f2c373f",""
"bishop of Annadown","Job","Enachduniensi","833f79f6-a94b-4768-bab9-71f43fbbd07b","Job","ede4d5d0-0f56-4f6f-b2a5-89b0c59fded0","Principal"
"bailiff of the Lord Bishop of Hereford","Job","Walter Thorgrim","84770e55-d5b9-4f9a-a530-520fd9002ade","Job","9056b683-54e8-4d7c-8ddd-bb53499bfd0f","Witness"
"Roger de Topesleye","Father","Hugh de Topesleye","6295283b-31cb-41ee-8154-9fad8105a047","","179d611d-a5c1-4427-9643-86ff58fa27a2","Principal"
"rectorem ecclesie de Monitone","Job","Rogerum de Breyntone","28e86138-7e6a-4d10-b72d-8f9bff0e3852","Job","df7de071-fb84-4a12-a1fe-8458de712ae8","Principal|Present"
"John de la Berne","Neighbor","Agnes la Marischal","1bbc4309-a3b8-4ee0-a49d-1d5b2739655e","","46b113fe-ff11-4453-8b44-5b7015f7d870",""
"seneschal of the chapter of Hereford","Job","John de Barewe","00d378b0-c843-4d6c-b007-4db7cd434fc6","Job","bb929531-c9db-465c-8388-be897c8bb7c3","Witness"
"chaplain of St. Mary","Neighbors","Nicholas de la Calewe","549a5a95-8cd9-4d41-922a-d7e30f2c373f","","0678645f-3073-42b3-96e7-25f8987bef1e",""
