"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"aea3d2a1-0f89-424c-8805-2641fa7c6f0f","HCM_2722.txt","Bishops of Lincoln and London","char-offset:33","PERSON","","","","","","","","Principal|Collective",""
"abdbf780-bda8-48ad-b515-76f76110b10c","HCM_2722.txt","Bishops","char-offset:33","","","","","","","","","Job",""
"d6d88517-43a4-493f-8eab-4a91975233a8","HCM_2722.txt","Lincoln","char-offset:44","PLACE","http://sws.geonames.org/2644487","Lincoln","","53.22683","-0.53792","","VERIFIED","",""
"5a13ac83-b903-48b7-b711-225aedbfd5a0","HCM_2722.txt","London","char-offset:56","PLACE","http://sws.geonames.org/2643743","London","","51.50853","-0.12574","","VERIFIED","",""
"d3ad4e41-01fa-42af-a7f6-4c5966a7327d","HCM_2722.txt","collectors","char-offset:74","","","","","","","","","Job",""
"9ec07e6c-d48e-4907-9cd1-9a223022fcac","HCM_2722.txt","England","char-offset:101","PLACE","http://geo-kima.org/place/12708","England","","","","","VERIFIED","",""
"db62fa86-2161-405c-835e-c22ede08b414","HCM_2722.txt","Scotland","char-offset:110","PLACE","http://sws.geonames.org/2638360","Scotland","","","","","VERIFIED","",""
"9b07618f-9e32-493e-9bdd-47bd80b9fc93","HCM_2722.txt","Wales","char-offset:120","PLACE","http://sws.geonames.org/2634895","Wales","","","","","VERIFIED","",""
"a6563ab7-a02d-4f16-a75f-9a41b6580353","HCM_2722.txt","Ireland","char-offset:130","PLACE","http://geo-kima.org/place/7885","Ireland","","","","","VERIFIED","",""
"6a804077-63f1-4def-8c36-abac51875e79","HCM_2722.txt","Pope","char-offset:178","","","","","","","","","Job",""
"d696b6cb-37c7-484d-98fc-a22b80d67f3d","HCM_2722.txt","Pope Clement V","char-offset:178","PERSON","","","","","","","","",""
"deeacdf4-348b-4a8c-bafd-2b70547ef360","HCM_2722.txt","the Holy Land","char-offset:197","PLACE","http://sws.geonames.org/294640","Israel","","31.446802097434066","35.007712337053796","","VERIFIED","",""
"58ace96d-ea70-4e1f-97f2-081d3ae83a89","HCM_2722.txt","Dean and chapter of Hereford","char-offset:215","PERSON","","","","","","","","Principal|Collective",""
"ccdeedb6-f9f9-4230-8d7f-585111440d5d","HCM_2722.txt","Hereford","char-offset:235","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","",""
"245760e2-d1a2-47db-a440-ae3e41f3d17f","HCM_2722.txt","John de Wytteney","char-offset:267","PERSON","","","","","","","","Scribe|Proxy",""
"006750b2-4516-4ccc-9836-f89a673bbac3","HCM_2722.txt","Wytteney","char-offset:275","PLACE","","","","","","","UNVERIFIED","Nominative",""
"b88729c7-770d-4e8a-805f-8da94050be9b","HCM_2722.txt","clerk","char-offset:291","","","","","","","","","Job",""
"87743e49-db64-461b-853c-d68d921739de","HCM_2722.txt","London","char-offset:478","PLACE","http://sws.geonames.org/2643743","London","","51.50853","-0.12574","","VERIFIED","Given at",""
"ecb73e27-a1b4-456a-86e5-db930c40a843","HCM_2722.txt","Latin","char-offset:486","","","","","","","","","Language",""
"322b8e3c-8d8f-4ce1-b076-3202a451d651","HCM_2720.txt","Reginald de Orleton","char-offset:85","PERSON","","","","","","","","Principal",""
"f9a7d5b4-95d3-406d-a772-de3483f76cc1","HCM_2720.txt","Orleton","char-offset:97","PLACE","http://sws.geonames.org/2640920","Orleton","","52.3","-2.75","","VERIFIED","Nominative",""
"398df3d5-fbba-4875-95eb-fabc38201f73","HCM_2720.txt","John de Clere","char-offset:110","PERSON","","","","","","","","Principal",""
"d80c1234-7740-44ed-b3fb-2267848ddb53","HCM_2720.txt","Clere","char-offset:118","","","","","","","","","Nominative",""
"d264d80b-ce80-44fa-b9c2-ab970636a8a5","HCM_2720.txt","co. Hereford","char-offset:127","PLACE","http://geo-kima.org/place/9117","Herefordshire (England)","","","","","VERIFIED","",""
"b7e0a3b3-469a-4a2e-872f-bef9de988fa1","HCM_2720.txt","Dean and chapter of the church of St. Ethelbert of Hereford","char-offset:144","PERSON","","","","","","","","Principal|Collective",""
"21bb00f1-cb91-488d-838b-7d4c07efa5ec","HCM_2720.txt","church of St. Ethelbert of Hereford","char-offset:168","PLACE","","","","","","","UNVERIFIED","Building",""
"7f864c4e-6d9e-409a-bfe6-f1e374bcd2e2","HCM_2720.txt","Hereford","char-offset:195","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","",""
"1ce33bd6-3d8a-493c-aa26-ad1277d436d3","HCM_2720.txt","Hereford","char-offset:376","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","Given at",""
"e8eed7dd-0b59-4896-bc13-b0656b091c38","HCM_2720.txt","Latin","char-offset:386","","","","","","","","","Language",""
"54eedbfe-9b46-48f5-b396-69d260fa14ce","HCM_2748.txt","William Valet, subtreasurer of the church of Hereford","char-offset:82","PERSON","","","","","","","","Principal",""
"f4ce8840-9c22-4bac-b38f-7d834842c3c8","HCM_2748.txt","subtreasurer","char-offset:97","","","","","","","","","Job",""
"2e2df104-f242-43e9-9444-4858149c75ec","HCM_2748.txt","church of Hereford","char-offset:117","PLACE","","","","","","","UNVERIFIED","Building",""
"aac5d283-92a7-4d05-8534-a2abd863ca1f","HCM_2748.txt","Dean and chapter of Hereford","char-offset:140","PERSON","","","","","","","","Principal|Collective",""
"c0692193-d43d-4831-b832-7c464c9eb3a6","HCM_2748.txt","Hereford","char-offset:160","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","",""
"47934b11-5d1a-4ce8-a0e2-5b11ba911ff7","HCM_2748.txt","William the Young","char-offset:193","PERSON","","","","","","","","Scribe|Proxy",""
"3e37cf16-24f4-4b6d-8534-ad6d7c855016","HCM_2748.txt","Hereford","char-offset:399","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","Given at",""
"331b964f-4e7b-4a99-95c8-b0f5984d704f","HCM_2748.txt","Latin","char-offset:409","","","","","","","","","Language",""
"0fef1e95-54a1-4b1f-9e14-f6a8129ec01c","HCM_2721.txt","HCM","char-offset:0","PLACE","","","","","","","UNVERIFIED","",""
"35e8dc56-8a99-48a2-805c-86c88a31cb92","HCM_2721.txt","Bishops of Lincoln and London","char-offset:30","","","","","","","","","Collective|Principal",""
"8471de36-7363-4860-bb98-780493e671f5","HCM_2721.txt","Bishops","char-offset:30","","","","","","","","","Job",""
"15831cf2-d4fb-480a-a6e8-2479efd347e4","HCM_2721.txt","Lincoln","char-offset:41","PLACE","http://sws.geonames.org/2644487","Lincoln","","53.22683","-0.53792","","VERIFIED","",""
"7b493626-cfba-46b7-b0f2-51f05dc7e852","HCM_2721.txt","London","char-offset:53","PLACE","http://sws.geonames.org/2643743","London","","51.50853","-0.12574","","VERIFIED","",""
"75d99ba5-8bcb-4ce8-b50b-6027fc48bd14","HCM_2721.txt","collectors","char-offset:71","","","","","","","","","Job",""
"009d0ca0-7a4b-4370-ba10-9dbc5fe83a50","HCM_2721.txt","England","char-offset:98","PLACE","http://geo-kima.org/place/12708","England","","","","","VERIFIED","",""
"934ec6dc-9f68-448c-a687-2423cc1631f9","HCM_2721.txt","Scotland","char-offset:107","PLACE","http://sws.geonames.org/2638360","Scotland","","","","","VERIFIED","",""
"acda2f99-8fba-4738-972b-2cc8221e56c6","HCM_2721.txt","Ireland","char-offset:117","PLACE","http://geo-kima.org/place/7885","Ireland","","","","","VERIFIED","",""
