"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"1a3b119a-18a1-4806-835b-8cf245cd4c14","HCM_1930.txt","Edward [II]","char-offset:37","PERSON","","","","","","","","Principal","King Edward II"
"aad4fc34-22da-49f3-a75d-1abf9c68b112","HCM_1930.txt","the dean and chapter of the dean and chapter of Hereford","char-offset:52","PERSON","","","","","","","","Principal|Collective|Office",""
"e4005c8d-cf41-42c2-abaf-82e5e2f7fc41","HCM_1930.txt","Hereford","char-offset:100","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","Nominative",""
"253d4fe6-6ef2-4a86-b92b-fb569f21acef","HCM_1930.txt","sub-collectors of the annual tenth granted to the King by the Pope","char-offset:110","","","","","","","","","Job",""
"340558af-2c44-4cec-a8dd-5d9501d54a9d","HCM_1930.txt","the King","char-offset:156","PERSON","","","","","","","","","King Edward II"
"972a7096-c5f4-4329-bab3-892ecd8fdfe2","HCM_1930.txt","the Pope","char-offset:168","PERSON","","","","","","","","Office",""
"8f4e6567-3502-4dda-8cd8-fa34fbe779b6","HCM_1930.txt","Menent Francisk' and his fellow-merchants of the society of Bardi [of Florence]","char-offset:217","PERSON","","","","","","","","Collective",""
"8ab4170f-9fea-4ccb-8614-ed290746e6bf","HCM_1930.txt","Menent Francisk'","char-offset:217","PERSON","","","","","","","","","merchant of the society of Bardi (Florence)"
"8b915483-785d-4fa8-96f9-09ac789e6e58","HCM_1930.txt","merchants","char-offset:249","","","","","","","","","Job",""
"d3eec06a-0961-4824-8ec3-c922887ca838","HCM_1930.txt","Bardi","char-offset:277","PERSON","","","","","","","","",""
"51b64101-fee7-467b-8c72-4a7843329c05","HCM_1930.txt","Florence","char-offset:287","PLACE","http://sws.geonames.org/3176959","Florence","","43.77925","11.24626","","VERIFIED","Nominative",""
"71bea832-d842-44ff-b7c6-050b67edd68a","HCM_1930.txt","the dean and chapter","char-offset:298","PERSON","","","","","","","","Collective",""
"b98947c2-3154-4cb0-98a6-9cef9efc9c27","HCM_1930.txt","the said merchants","char-offset:386","PERSON","","","","","","","","Collective","of the Bardi of Florence"
"c281d98f-fd12-46b2-82ee-779ee2083f3c","HCM_1930.txt","the chief collectors of the tenth","char-offset:408","PERSON","","","","","","","","Collective|Office",""
"32b5f882-8703-4cdf-bd43-2519283829f6","HCM_1930.txt","Westminster","char-offset:491","PLACE","http://sws.geonames.org/2634341","City of Westminster","","51.5","-0.11667","","VERIFIED","Given at",""
"092f3b84-fd71-4df7-94da-617ad8946b8b","HCM_1930.txt","French","char-offset:504","","","","","","","","","Language",""
"6ea1b205-6ca9-47f8-8069-ae818ad9f4c2","HCM_1929.txt","Edward II","char-offset:37","PERSON","","","","","","","","Principal","King Edward II of England"
"57ad4403-ff54-4cd1-9832-bbeeed4d785c","HCM_1929.txt","R[ichard Swinfield]","char-offset:50","PERSON","","","","","","","","Principal","Richard Swinfield"
"dd0856d7-08cd-4da5-859f-f899c171100c","HCM_1929.txt","Hereford","char-offset:81","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","Nominative",""
"0773b573-bb91-407f-98a2-c55159cfdeed","HCM_1929.txt","Roger de Mortemer","char-offset:104","PERSON","","","","","","","","","Roger Mortimer"
"850e64b1-18cd-4217-9ec6-06f4dce8fe37","HCM_1929.txt","Mortemer","char-offset:113","PLACE","","","","","","","UNVERIFIED","Nominative",""
"4311aa35-a1cd-4b2f-a50c-42a35fcd6b8a","HCM_1929.txt","John le fiuz Hugh Hakelute","char-offset:136","PERSON","","","","","","","","",""
"b1346163-9578-4cda-a529-7061e2ca1456","HCM_1929.txt","Hugh Hakelute","char-offset:149","PERSON","","","","","","","","",""
"e13e882c-419b-49aa-96f4-2f80a2dd0e17","HCM_1929.txt","he church of Byford’","char-offset:167","","","","","","","","","Job","that is, possession as rector of the church of Byford"
"8818e823-2a77-4f41-ab8c-a219abb3a3c5","HCM_1929.txt","Byford’","char-offset:180","PLACE","http://sws.geonames.org/2075230","Byford","","-32.22099","116.009","","UNVERIFIED","Nominative",""
"ea2f3dec-9c8a-4b5f-948d-a9e7b2466011","HCM_1929.txt","the prior of Breghenok'","char-offset:198","PERSON","","","","","","","","Office",""
"fe8c7758-3300-492e-9042-1828626ff952","HCM_1929.txt","Breghenok","char-offset:211","PLACE","","","","","","","UNVERIFIED","Nominative",""
"11c6ddbb-04d3-46d6-a2b8-4cd298689736","HCM_1929.txt","The king","char-offset:253","PERSON","","","","","","","","Office","Edward II"
"8dc7db02-0993-4952-9375-9ea068428820","HCM_1929.txt","the bishop","char-offset:271","PERSON","","","","","","","","Office","Richard Swinfield"
"294319a4-2398-4592-a6e3-699d72a2c00a","HCM_1929.txt","John","char-offset:324","PERSON","","","","","","","","","John le fitz Hugh Hakelute"
"4c0a9f8d-d7c8-49cc-9983-960960407b48","HCM_1929.txt","Westminster","char-offset:374","PLACE","http://sws.geonames.org/2634341","City of Westminster","","51.5","-0.11667","","VERIFIED","Given at",""
