"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"763325b4-61b8-4664-92ad-df1411799310","HCM_597.txt","John, dean","char-offset:82","PERSON","","","","","","","","Principal","John de Aquablanca, Dean of Hereford"
"776c9637-1d9b-4d03-be92-eb9ebb9eb359","HCM_597.txt","dean","char-offset:88","","","","","","","","","Job",""
"ba2700a7-f1f3-4129-b747-2fb8c96092bc","HCM_597.txt","chapter of Hereford","char-offset:98","PERSON","","","","","","","","Collective|Principal","dean and chapter of Hereford"
"61009e50-cbb3-4ab4-9d04-ea2d1aaaa51b","HCM_597.txt","Hereford","char-offset:109","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","Nominative",""
"d90a6b8d-2475-4b6d-99cb-9f4e1c130995","HCM_597.txt","Hugh son of William le Stedemon de Ros, clerk","char-offset:122","PERSON","","","","","","","","Principal",""
"2c67bde2-b321-4486-abff-7a7da6374cef","HCM_597.txt","William le Stedemon de Ros","char-offset:134","PERSON","","","","","","","","",""
"4ef86622-3ea2-4081-96ea-57a4529378bb","HCM_597.txt","William le Stedemon de Ros","char-offset:134","PERSON","","","","","","","","",""
"ab70a1fc-663d-4cde-9ded-2648cc28e001","HCM_597.txt","Ros","char-offset:157","PLACE","http://sws.geonames.org/2639110","Ross on Wye","","51.91667","-2.56667","","VERIFIED","Nominative",""
"fa270742-a7dd-4464-a222-5892b8faefde","HCM_597.txt","clerk","char-offset:162","","","","","","","","","Job",""
"5fecdad7-91ce-4255-90a3-a6b888323021","HCM_597.txt","Oppton Episcopi","char-offset:279","PLACE","","","","","","","UNVERIFIED","Nominative","Bishop's Upton"
"67a8961f-ed9a-474f-9991-042cf359bcb8","HCM_597.txt","William le Webbe de Ros","char-offset:340","PERSON","","","","","","","","Witness",""
"cce4df96-b158-4c42-bd11-c440c04070e1","HCM_597.txt","Ros","char-offset:360","PLACE","http://sws.geonames.org/2639110","Ross on Wye","","51.91667","-2.56667","","VERIFIED","Nominative",""
"76ab1e7b-f929-46cd-a9c6-3947c23a7988","HCM_597.txt","Thomas le Webbe","char-offset:365","PERSON","","","","","","","","Witness",""
"94d07557-ad0a-4252-8857-e76678b1bfa1","HCM_597.txt","Nicholas le Webbe","char-offset:385","PERSON","","","","","","","","Witness",""
"24582461-ee54-48f6-bd1d-a998529ad7af","HCM_597.txt","William","char-offset:421","PERSON","","","","","","","","","William le Stedemon de Ross"
"42949cc9-2500-4f19-98b0-eb0437bce200","HCM_597.txt","Latin","char-offset:430","","","","","","","","","Language",""
"4711db31-7b0a-4263-b541-575e702d5a1f","HCM_608.txt","John son of Roger de Bruneshope de Hereford","char-offset:77","PERSON","","","","","","","","Principal",""
"858034d0-fac1-41c0-a29f-72d9c2b9016b","HCM_608.txt","Roger de Bruneshope","char-offset:89","PERSON","","","","","","","","",""
"ac2527e0-4df9-4a30-859b-178bef19a0e5","HCM_608.txt","Bruneshope","char-offset:98","PLACE","","","","","","","UNVERIFIED","Nominative",""
