"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"d22e1950-79e0-4813-b6ad-2910bd2fb205","HCM_2585.txt","John de la Barewe","char-offset:84","PERSON","","","","","","","","",""
"c39fde79-5071-4c52-8abf-fce42b438e65","HCM_2585.txt","bailiff","char-offset:103","","","","","","","","","Job",""
"80418722-2a18-4fd5-862f-5e05cbc77880","HCM_2585.txt","dean and chapter of the church of St. Ethelbert","char-offset:118","PERSON","","","","","","","","Collective",""
"18206722-2cca-4202-9858-3b022556bb3d","HCM_2585.txt","Hereford","char-offset:169","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","",""
"99f9ee10-8b12-472d-9003-38ef343eca6d","HCM_2585.txt","Treasurer of Hereford","char-offset:182","PERSON","","","","","","","","Office",""
"34b7981b-6114-49a8-bed7-8d757fbcf550","HCM_2585.txt","Hereford","char-offset:195","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","",""
"ee63b611-fad7-4360-8bd9-7ef87fdb7a8e","HCM_2585.txt","Hereford","char-offset:316","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","Given at",""
"40614ce6-fb48-44a9-9ff6-d844c6a16b15","HCM_2585.txt","Latin","char-offset:326","","","","","","","","","language",""
"0ec947d0-0cc9-4f0e-b586-fb64900dfda4","HCM_2583.txt","William de Henouere","char-offset:86","PERSON","","","","","","","","Principal",""
"89c0e2a7-d922-4ca5-9819-68f3a0bf420e","HCM_2583.txt","Henouere","char-offset:97","PLACE","","","","","","","NOT_IDENTIFIABLE","Nominative",""
"d56a2853-3d27-465c-9f89-ce7a80492649","HCM_2583.txt","Hereford","char-offset:130","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","",""
"7254e790-6e0a-4b9d-bfa8-601e03f86bda","HCM_2583.txt","William the Young","char-offset:164","PERSON","","","","","","","","Principal",""
"077d0b52-1c6f-42d8-87e7-e1bd5ad5d2bb","HCM_2583.txt","Henouere","char-offset:316","PLACE","","","","","","","NOT_IDENTIFIABLE","Given at",""
