"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"341300ea-a58f-4130-b00c-80019b3b1482","HCM_2668.txt","Robert de Cotinton","char-offset:25","PERSON","","","","","","","","Principal",""
"537965b8-b220-4182-ab69-6a72ce88e68f","HCM_2668.txt","Cotinton'","char-offset:35","PLACE","","","","","","","UNVERIFIED","Nominative",""
"69ca346e-f3dd-4180-9f20-e89cd38f4858","HCM_2668.txt","clerk of the dean and chapter of Hereford","char-offset:46","","","","","","","","","Job",""
"9b846516-9c26-4a2b-824f-e0a9e7bd33d3","HCM_2668.txt","the dean and chapter of Hereford","char-offset:55","PERSON","","","","","","","","Collective",""
"e0fe1862-e287-4b6b-abee-ce5629a8f306","HCM_2668.txt","Hereford","char-offset:79","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","Nominative",""
"fb425a37-2119-4b0a-8c35-9077a5fc993f","HCM_2668.txt","dean and chapte","char-offset:101","PERSON","","","","","","","","Collective|Principal","dean and chapter of Hereford"
"2b7d6b15-a752-49d5-838c-039b0ff5d5a1","HCM_2668.txt","W. the Young","char-offset:133","PERSON","","","","","","","","Principal","William the Young, aka le Yonge, receiver (?) of the dean and chapter of Hereford"
"3c460a8e-8836-4443-b36b-44958cb7514f","HCM_2668.txt","receiver","char-offset:153","","","","","","","","","Job",""
"7629de16-d3b8-4bd8-977b-de3b079e56b2","HCM_2668.txt","Hereford","char-offset:289","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Given at",""
"30720f7c-a11c-4d67-8d63-0b964effc0ed","HCM_2668.txt","Latin","char-offset:299","","","","","","","","","Language",""
"fe1dffe8-c932-4b07-acaf-b86c0afc50e5","HCM_2668.txt","Seal","char-offset:306","","","","","","","","","Material feature",""
"fc423dc1-e744-4ee6-a552-b0a55480382d","HCM_2665.txt","Adam de Barewe","char-offset:71","PERSON","","","","","","","","Principal",""
"dfa58455-7a59-4dbd-8e88-acf7c6041588","HCM_2665.txt","Barewe","char-offset:79","PLACE","","","","","","","UNVERIFIED","Nominative",""
"bf7333ad-2824-46bd-868f-7ec697997117","HCM_2665.txt","clerk of the dean and chapter of Hereford","char-offset:87","","","","","","","","","Job",""
"1145192c-c85e-49ef-857f-96dbf2016a36","HCM_2665.txt","the dean and chapter of Hereford","char-offset:96","PERSON","","","","","","","","Collective",""
"c04f499b-05d8-428c-b89f-7afd9719a8c4","HCM_2665.txt","Hereford","char-offset:120","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","Nominative",""
"45ab5f69-b8ec-453e-910e-bfc473622697","HCM_2665.txt","William de Foston'","char-offset:141","PERSON","","","","","","","","Principal","receiver of the dean and chapter of Hereford"
"dcb05bac-d072-41ce-9a99-4aa1e2523116","HCM_2665.txt","Foston'","char-offset:152","PLACE","","","","","","","UNVERIFIED","Nominative",""
"9056524c-630f-4a44-aa3b-bd3e07c3ea99","HCM_2665.txt","chaplain","char-offset:161","","","","","","","","","Job",""
"9fa2cfa0-104f-4ed7-89c9-a50a0fa1ed24","HCM_2665.txt","receiver of the said dean and chapter.","char-offset:174","","","","","","","","","Job",""
"81b8fd28-5901-4456-bef5-269ec8e3602a","HCM_2665.txt","dean and chapter","char-offset:195","PERSON","","","","","","","","Collective|Principal","dean and chapter of Hereford"
"d26e3b25-649a-41a3-aa1b-1377897a909d","HCM_2665.txt","Latin","char-offset:355","","","","","","","","","Language",""
"dd65b3fd-d2d0-4c36-9a73-04bee3edcd01","HCM_2669.txt","John de la Barewe","char-offset:91","PERSON","","","","","","","","Principal","aka John de Barewe"
"c83bddb5-821c-4357-a171-8ac4e6d15cc0","HCM_2669.txt","la Barewe","char-offset:99","PLACE","","","","","","","UNVERIFIED","Nominative",""
"473b4d0f-fab5-46b7-aef3-c4958e2ebf44","HCM_2669.txt","bailiff of the dean and chapter of Hereford;","char-offset:110","","","","","","","","","Job",""
"51239a54-5099-40e5-ad3e-07611b9a8123","HCM_2669.txt","the dean and chapter of Hereford","char-offset:121","PERSON","","","","","","","","Collective",""
"dd10b43a-7027-473e-92f7-36a4a2dfaada","HCM_2669.txt","Hereford","char-offset:145","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","Nominative",""
"3b250325-8e40-46d7-9646-8e4159b5c9ad","HCM_2669.txt","dean and chapter","char-offset:167","PERSON","","","","","","","","Collective|Principal","dean and chapter of Hereford Cathedral"
"064c3ef7-b3c7-4dac-9a1d-de2214fbd444","HCM_2669.txt","Hereford","char-offset:291","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","Given at",""
"6cf2f007-e618-4e04-beb7-c88ce5835144","HCM_2669.txt","Latin","char-offset:301","","","","","","","","","Language",""
"17fb7bc9-4624-423f-9f97-88c9bdbf9454","HCM_2666.txt","William de henor'","char-offset:58","PERSON","","","","","","","","Principal",""
"c4fcd5d8-a72f-48cb-bd7a-1c19cf0cc2cc","HCM_2666.txt","henor';","char-offset:69","PLACE","","","","","","","UNVERIFIED","Nominative",""
"95ed5325-f9d7-4c87-ad9b-41407a702611","HCM_2666.txt","Dean and chapter of the church of Hereford","char-offset:80","PERSON","","","","","","","","Collective|Principal",""
"fc28c82c-c76b-4f25-892e-da8915957cd9","HCM_2666.txt","Hereford","char-offset:114","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","Nominative",""
"2f557822-0cc7-4d78-96cc-25e5a745ba20","HCM_2666.txt","William the Young","char-offset:146","PERSON","","","","","","","","Principal","receiver of the dean and chapter of Hereford"
"ef582376-e7c2-45da-94b9-eabfd2e00c6d","HCM_2666.txt","Hereford","char-offset:273","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","Given at",""
"2144967b-9ac1-4ee6-bbe0-f91f4fe99b24","HCM_2666.txt","Latin","char-offset:283","","","","","","","","","Language",""
"99e68e31-4c99-43fa-9e8f-a8fd3d0db701","HCM_2667.txt","John de Bromfeld","char-offset:87","PERSON","","","","","","","","Principal",""
"ed6a1cb3-8055-4e77-ae50-30417d80a4b9","HCM_2667.txt","Bromfeld","char-offset:95","PLACE","","","","","","","UNVERIFIED","Nominative",""
"f653c73b-65e4-4bfc-864a-9701f3e17248","HCM_2667.txt","Dean and chapter of the church of St. Ethelbert of Hereford","char-offset:108","PERSON","","","","","","","","Collective|Principal",""
"748ff0e9-234b-4b43-8892-7fc3a74b12b4","HCM_2667.txt","Hereford","char-offset:159","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","",""
"8ff6e339-1b00-4c1c-a004-13c6d872bd42","HCM_2667.txt","John de Barwe","char-offset:185","PERSON","","","","","","","","Principal","aka John de Barewe, receiver (?) of the dean and chapter of Hereford"
"96aacf30-b01a-4d0a-b170-1035c3b7a9f7","HCM_2667.txt","Barwe","char-offset:193","PLACE","","","","","","","UNVERIFIED","Nominative",""
"bdfa98a8-a954-4c74-9cff-2f0b890fc330","HCM_2667.txt","London","char-offset:345","PLACE","http://sws.geonames.org/6058560","London","","42.98339","-81.23304","","VERIFIED","Given at",""
