"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"ff816994-9a27-4b6e-9004-9416d183946f","HCM_2072.txt","John de Aqua blanca","char-offset:42","PERSON","","","","","","","","Principal",""
"eabc256a-f785-4a1c-83c6-ed2bde0d5692","HCM_2072.txt","Aqua blanca","char-offset:50","PLACE","","","","","","","UNVERIFIED","Nominative",""
"a9f931bc-1ed1-4309-bbdc-ff76879a18bb","HCM_2072.txt","dean","char-offset:63","","","","","","","","","Job","Dean of Hereford"
"ee8f882a-ae73-4ea2-92a3-8b6810478dcd","HCM_2072.txt","the chapter of the church of St. Ethelbert of Hereford","char-offset:73","PERSON","","","","","","","","Collective|Office",""
"8d5bfa76-b0b5-4d56-8335-5d072849eeb2","HCM_2072.txt","Hereford","char-offset:119","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","Nominative",""
"9bd0889d-bbd5-440e-ba6f-86a14754207a","HCM_2072.txt","Hamon de Sandwyco","char-offset:155","PERSON","","","","","","","","Principal","Hamo de Sandwich"
"1d8f8145-fcfe-4fd3-8be9-73d32c7e15fd","HCM_2072.txt","Sandwyco","char-offset:164","PLACE","","","","","","","UNVERIFIED","Nominative","Sandwich"
"cf8a4326-0f0f-4770-8a59-9e1cb00462cf","HCM_2072.txt","Richard de Nonnynton","char-offset:174","PERSON","","","","","","","","Principal",""
"e84b90a9-efeb-4a2c-b355-0419b41bec58","HCM_2072.txt","Nonnynton","char-offset:185","PLACE","","","","","","","UNVERIFIED","Nominative","Monnnington on Wye?"
"36a3049b-fd18-4872-99a6-78fd1ba0431f","HCM_2072.txt","canons of the cathedral church of Hereford","char-offset:197","","","","","","","","","Job",""
"2480fe2a-4b58-47e7-a4c5-87cbe658d2c7","HCM_2072.txt","Hereford","char-offset:231","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","Nominative",""
"e7210b03-da7d-408a-87e5-1d53ec3c05c2","HCM_2072.txt","Robert de la Doune","char-offset:245","PERSON","","","","","","","","Principal",""
"5d0d446e-baff-480f-9c35-50ec47c8659f","HCM_2072.txt","la Doune","char-offset:255","PLACE","","","","","","","UNVERIFIED","Nominative",""
"af58d856-e070-49e4-b9bb-77c09e2d3382","HCM_2072.txt","executors of the will of dominus Stephen de Thansto, formerly dean of Hereford","char-offset:265","","","","","","","","","Job",""
"997f1e1a-6556-4026-8bd1-7e3d626cecb6","HCM_2072.txt","Stephen de Thansto","char-offset:298","PERSON","","","","","","","","Dead",""
"a37de404-e7c0-4200-80da-cdf07c97f282","HCM_2072.txt","Thansto,","char-offset:309","PLACE","","","","","","","UNVERIFIED","Nominative","maybe Thanet, as in, the Isleo f?"
"f69fca1f-d8a5-49b8-96cf-ddc085ec7bbc","HCM_2072.txt","dean of Hereford","char-offset:327","","","","","","","","","Job",""
"2a1c3418-b888-41cc-b2af-50ba71c24c87","HCM_2072.txt","Hereford","char-offset:335","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","",""
