"source","relation","target","source_id","source_tags","target_id","target_tags"
"dean and chapter","Neighbors","Matilda de Ledebur","861f4ecf-3517-45cc-9bb0-30ff5fe3b36e","Collective|Office","7c273f90-4cca-4fe7-92f0-58cc27982d04",""
"John Throm","Neighbors","Giles le Deyare","6eacb37b-f10f-4e67-bf32-fa1df1e1ff8b","","2b5d967c-5d87-4fdb-8a33-a337a94de80e",""
"chancellor of the church of St. Ethelbert of Hereford","Job","Robert de Gloucestria","6760b247-ada9-4ead-be86-335a9c3fa6b2","Job","ba3cea15-b539-406f-ae4f-c53a19dfdf2f","Principal"
"dean","Job","John","0758e4cc-c50d-4fc1-8bcd-9af7e129fdb7","Job","28f3c4a1-56f5-4825-9c83-a97ff9a51eef","Principal"
"his parents","Parents of","Hugh de Brehousa","bcca66d9-754c-44f9-a274-fddcefbb43a4","Collective","b7d410d0-0c08-4466-8197-b809f45c40f4",""
"substitute proctor of Bartholomew the scribe of Hereford,","Job","Hugh de Breynton","7b260825-4927-40f0-a8a0-d360f021d99d","Job","fac7fb54-6ff8-4d0e-b172-e9eb5f964d9b","Principal"
"perpetual vicars of the chapel of St. Katherine the Virgin and martyr in the city of Hereford","Job","John son of John the baker","aeca1671-7e0c-4c0f-8e63-571fc277b17d","Job","c5abf226-9faf-4a22-85d8-efc4ef6c2364","Principal"
"perpetual vicars of the chapel of St. Katherine the Virgin and martyr in the city of Hereford","Job","Phillip de Stottesdon","aeca1671-7e0c-4c0f-8e63-571fc277b17d","Job","5451def1-9f23-4038-8774-41f3b5186c8c","Principal"
"perpetual vicars of the chapel of St. Katherine the Virgin and martyr in the city of Hereford","Job","Ralph de Buesham","aeca1671-7e0c-4c0f-8e63-571fc277b17d","Job","68e38578-29a5-4ec5-8e99-da0cb6f56fa1","Principal"
"clerk","Job","Hugh de Breynton","4e970e31-9e22-406a-976e-927b0cf2cfe4","Job","fac7fb54-6ff8-4d0e-b172-e9eb5f964d9b","Principal"
"baillif of the dean and chapter in the city of Hereford","Job","Richard de La haye","2547502b-3714-4d04-965a-7cc492663bfc","Job","469abb40-84fc-44a5-9bdc-ffa87d06c72e","Witness"
"bailiff of the bishop of Hereford","Job","Walter Thorgrym","be1d724a-ae3b-4e50-9872-34f6e242eb69","Job","0f3a7e5a-6974-4229-98e8-5cec473eabdc","Witness"
"Hugh de Monyton","Neighbors","John de Ros","41691dbe-8eb5-41e6-a76e-319a50012860","","f4386e27-78d7-475b-ab17-fcdcaa84eafc",""
"his proctor","Job","John de Cherlton","942cdc09-9e9f-440b-81e8-04a30f3e763d","Job","180e2beb-d5c8-4491-8778-99dbaafb4e07",""
"John Spark","Neighbors","John Lyhtfot","e4db6c49-666b-4f78-9fde-112262c2fa3d","","047399c6-c4a4-4843-a892-d6e9ff2d7435",""
"the dean and chapter of Hereford","Neighbors","Thomas Theobaud","ca19b02b-1636-4b88-a205-4d204fb22290","Collective|Office","b46cb3bd-f328-41e2-a301-7e21799764b8",""
"the prebend of Gorewalle","Neighbors","the bishop of Hereford","74e67ae2-0104-4503-a1a5-f3ac0102d061","Office","a9743013-bbf2-488a-a534-c9106cb61a84","Office"
"bailiffs of the king of England","Job","Hugh de Monyton","d41437d2-f86e-4c6f-97d6-170522c56fcc","Job","6a8f7d42-b3b3-4804-ae0b-e738bec294f8","Witness"
"bailiffs of the king of England","Job","Thomas Tope","d41437d2-f86e-4c6f-97d6-170522c56fcc","Job","6968e8b5-2273-4a98-a5af-b7d73096799f","Witness"
"bailiffs of the king of England","Job","William de Orleton","d41437d2-f86e-4c6f-97d6-170522c56fcc","Job","4bad5619-6fbe-408b-ba05-532ce191ec47","Witness"
"their fellow canon and proctor","Job","John de Ledecote","57cdb6b8-5458-4751-ba35-91b4c08abb98","Job","3e87520d-fe40-4a06-bb2b-341da1bb38a3",""
"canons of the cathedral church of Hereford","Job","Richard de Nonnynton","36a3049b-fd18-4872-99a6-78fd1ba0431f","Job","cf8a4326-0f0f-4770-8a59-9e1cb00462cf","Principal"
"canons of the cathedral church of Hereford","Job","Hamon de Sandwyco","36a3049b-fd18-4872-99a6-78fd1ba0431f","Job","9bd0889d-bbd5-440e-ba6f-86a14754207a","Principal"
"dean of Hereford","Job","Stephen de Thansto","f69fca1f-d8a5-49b8-96cf-ddc085ec7bbc","Job","997f1e1a-6556-4026-8bd1-7e3d626cecb6","Dead"
"William Ploume","Neighbors","Reginald Syward","38f46223-566b-4eaa-87b3-5a63d69ad08b","","35285ec6-52b1-4089-a316-cff5538ef5d8",""
"Matilda de la Haye","Neighbors","Matild de Ledebur","70e130b5-84ea-4391-bd1d-f30b5d3a8af6","","efa06e4b-0fad-422b-b180-83b436445984",""
"John son of John the baker","Son of","John the baker","c5abf226-9faf-4a22-85d8-efc4ef6c2364","Principal","55db640a-cf3e-46d6-ae6c-303a6e07c5d6",""
"bishop of Hereford","Job","Adam [Orleton], bishop of Hereford","905d7d63-76f2-43c5-be8a-27ee33e7ecbd","Job","0d485c10-2ba1-4865-8723-9a5396bec389",""
"the bake","Job","John the baker","7fd5ecc6-958c-4117-9268-c96f74f432db","Job","55db640a-cf3e-46d6-ae6c-303a6e07c5d6",""
"the house of the lepers of Yeygne","Neighbors","John de Maddeleye","9ec96ba2-82c5-42f7-9710-7bdb6d575224","Building","6a268b56-48bb-40d8-82f3-4c294931d990",""
"William Ploume","Neighbors","John Lylye","42f87324-48f1-4570-82e0-6fcfcf0b6724","","dd952faa-6100-4613-b794-1db23a959944",""
"le Deyare","Job","Giles le Deyare","069e1496-e851-49e7-adfb-a1a52c4c04ba","Job","2f2b7bf9-8aba-4b66-9153-5446ee753ac0","Witness"
