Id	Node Type	Doc_Copy status	Doc_Material features	Doc_Language
HCM 2251	Document			Latin
HCM 2257	Document			Latin
HCM 2260	Document		Stained	Latin
HCM 2246	Document		Copy	Latin
HCM 2226	Document		Fragment	Latin
HCM 1621	Document			Latin
HCM 1599	Document			Latin.
HCM 1622	Document			Latin
HCM 1652	Document			Latin
HCM 1610	Document			Latin
HCM 1734	Document			Latin
HCM 1736	Document			Latin
HCM 1683	Document		Seal	Latin
HCM 1703	Document			Latin
HCM 1746	Document			Latin
HCM 2580	Document			Latin
HCM 2581	Document			French
HCM 2582	Document			Latin
HCM 2579	Document		Fragmentary seal	Latin
HCM 2576	Document			Latin
HCM 946	Document		Seal	Latin
HCM 773	Document			Latin
HCM 1005	Document		Two seals	Latin
HCM 1003	Document			Latin
HCM 758	Document			Latin
HCM 2874	Document		Seal	Latin
HCM 2872	Document		Stained	Latin
HCM 2871	Document			Latin
HCM 2873	Document		Seal	Latin
HCM 2875	Document			Latin
HCM 2671	Document			Latin
HCM 2672	Document			Latin
HCM 2673	Document			Latin
HCM 2674	Document			Latin
HCM 2670	Document		Seal	Latin
HCM 153	Document			Latin
HCM 150	Document			Latin
HCM 90	Document			Latin
HCM 119	Document		Seal	Latin
HCM 63	Document			Latin
HCM 1754	Document		Damaged seal	Latin
HCM 1768	Document			Latin
HCM 1752	Document			Latin
HCM 1780	Document			Latin
HCM 1751	Document			Latin.
HCM 2151	Document		Chipped seal	Latin
HCM 2102	Document	Duplicate of 2161		
HCM 2159	Document			Latin
HCM 2217	Document			Latin
HCM 2145	Document		Torn	Latin
HCM 3165	Document		illegible except under ultra-violet rays	Latin
HCM 3162	Document		Torn in the folds.	Latin
HCM 3198	Document			Latin
HCM 3215 A	Document	Copy		Latin
HCM 3180	Document		Chipped seal	Latin
HCM 3155	Document		Torn in the fold, Stained	Latin
HCM 2995	Document			Latin
HCM 2996	Document			Latin
HCM 3008	Document		Faded and creased	Latin
HCM 2947.G	Document		Fragment, Transcript dated ?circa 1400	Latin
HCM 3001	Document			Latin
HCM 203	Document			Latin
HCM 207	Document			Latin
HCM 209	Document			Latin
HCM 218	Document		Seal	Latin
HCM 219	Document		Seal	Latin
HCM 755	Document			Latin
HCM 746	Document		Seal	Latin
HCM 681	Document		Seal, Torn	Latin
HCM 715	Document			Latin
HCM 700	Document			Latin
HCM 2722	Document			Latin
HCM 2720	Document			Latin
HCM 2748	Document			Latin
HCM 2721	Document			Latin
HCM 2723	Document		Two seals	Latin
HCM 1930	Document			French
HCM 1929	Document			French
HCM 1931	Document		Stained	Latin, French
HCM 1918	Document			Latin
HCM 2601	Document			Latin
HCM 2600	Document			Latin
HCM 2663	Document		Seal	Latin
HCM 2664	Document			Latin
HCM 2599	Document			Latin
HCM 2592	Document		Broken seal	Latin
HCM 2589	Document		Chipped seal	Latin
HCM 2591	Document			Latin
HCM 2593	Document			Latin
HCM 2590	Document		Seal	Latin
HCM 2870	Document			Latin
HCM 2750	Document			Latin
HCM 2751	Document			Latin
HCM 2779	Document			Latin
HCM 2749	Document			Latin
HCM 1851	Document			Latin
HCM 1836	Document			Latin
HCM 1848	Document			Latin
HCM 1854	Document			Latin
HCM 1834	Document			Latin
HCM 1025	Document			Latin
HCM 1049	Document			Latin
HCM 1023	Document			Latin
HCM 1024	Document		Two seals both broken at the edges	Latin
HCM 1035	Document		Seal broken at the edges	Latin
HCM 2878	Document			Latin
HCM 2877	Document		Broken seal	Latin
HCM 2879	Document			Latin
HCM 2880	Document			Latin
HCM 2876	Document			Latin
HCM 2598	Document			Latin
HCM 2594	Document			Latin
HCM 2596	Document			Latin
