UUID	Document Number	QUOTE_TRANSCRIPTION	STD_PLACE_NAME	LAT	LNG	Place Type	Role	TAGS	COMMENTS
3bfe3efe-c195-43a9-bb68-b8d2bba2fbc1	HCM 1485	a certain shop, formerly belonging to Richard le tailour de Lugwardin					Other	Building	
b3a79c8c-14ea-4afb-80d1-55abc4905d42	HCM 1736	Acle	Acle	52.63681	1.54757		Nominative	Nominative	
1dc48daf-ceaf-4cfd-bab0-060d180803ea	HCM 608	a field called la Reye					Other		
8aa2ad1a-e3e3-4601-8edd-f4426d023b87	HCM 2593	Alberburi					Other		
b4b6b962-39f2-44af-b617-eea1cc36320e	HCM 623	Albriton	Albrighton	52.6364	-2.27966		Nominative	Nominative	
5821800b-324d-4cbd-91a7-bbfea609ab11	HCM 1417	Almalia					Nominative	Nominative	
cffafd47-89ff-49fd-b0af-c6698fd1f3c1	HCM 2872	Annaghdown (Enachdunensis)					Nominative	Nominative	
62a300f8-6283-4b82-8c95-55ab5760ae64	HCM 186	Aqua Blanca					Nominative	Nominative	
eabc256a-f785-4a1c-83c6-ed2bde0d5692	HCM 2072	Aqua Blanca					Nominative	Nominative	
99431a61-0ae5-4fd8-8849-0464e3883e9e	HCM 2463	Aqua Blanca					Nominative	Nominative	
767fddc1-9d71-4ade-b550-decd643aefc6	HCM 2870	Aqua Blanca					Nominative	Nominative	
04fbb914-53d2-4d4b-8b58-601a50223aa2	HCM 2871	Aqua Blanca					Nominative	Nominative	
c8a1d87f-bcc4-4621-a7a9-57a7c3ad64eb	HCM 758	Aqua Blanca					Nominative	Nominative	
be1074d0-632b-414a-a292-2c3d63c89813	HCM 1439	Aran	Arán (Spain)				Nominative	Nominative	
2f72d7e4-a5bb-47df-a6f9-02675afde520	HCM 1441	Aran	Arán (Spain)				Nominative	Nominative	
0f7e17d3-ac33-4ef8-8d0f-876a7e364c81	HCM 1442	Aran	Arán (Spain)				Nominative	Nominative	
ecd41b80-3f3e-4af1-b227-76601b5576e7	HCM 2871	Aran Valley					Other		Aran Valley, in the Pyrenees, in the region of the Comminges
4f5b3e06-8d6d-44f4-b046-761224af3261	HCM 1504	Arleye					Given at	Given at	Areley Kings, Worcestershire? (sp?)
27bba6dc-0e3b-44ea-86f1-5e193190288a	HCM 1485	Aschtun					Nominative	Nominative	
61662dda-0fda-43b8-8727-2dc8702e3279	HCM 593	Atenassces					Other		
d65a35d1-ea53-4c04-8a42-661106add023	HCM 1780	Avene					Nominative	Nominative	
8311f1a8-be9b-41b9-b081-2b3173d52acc	HCM 1443	Avignon	Avignon (Papal city)				Given at	Given at	
bc11fac9-0af8-475f-a112-be61819d6b7c	HCM 2995	Avignon	Avennio|Avennio, Avignon|Avignon	43.95159	4.80769		Given at	Given at	
6d4fb41d-e4f5-4272-b7bf-dc5d51a65931	HCM 1485	Aylineston					Nominative	Nominative	
364b499d-c521-4284-9b41-7400037cde7a	HCM 412	Aylineston					Nominative	Nominative	
0e89a443-89b5-4af6-a7d1-c80af30b5716	HCM 2586	Aylyneston’					Nominative	Nominative	
37cc8822-73c5-42f3-94d9-9de8088a5d59	HCM 1368	Badelesmere					Nominative	Nominative	
fee79ba0-53b5-4d62-be9d-1614f332ad4e	HCM 678	Badesshawe					Nominative	Nominative	
31eef0c8-81e9-4952-af45-b409752af145	HCM 589	Banwelle					Nominative	Nominative	
825e8c1e-c03b-4db7-975e-e55e9a7e3aba	HCM 1439	Barewe					Nominative	Nominative	
2560c986-522a-4026-a3d9-4ab8fb42bea9	HCM 1851	Barewe					Nominative	Nominative	
cc487443-7b88-48fe-b137-1003335aaea9	HCM 218	Barewe					Nominative	Nominative	
dfa58455-7a59-4dbd-8e88-acf7c6041588	HCM 2665	Barewe					Nominative	Nominative	
85e4a5ca-182d-4d7f-9734-1f277729e6a1	HCM 2464	Barwe					Nominative	Nominative	
96aacf30-b01a-4d0a-b170-1035c3b7a9f7	HCM 2667	Barwe					Nominative	Nominative	
8f674b12-6e16-4096-acab-9b6d0a692168	HCM 2673	Barwe					Nominative	Nominative	
320f1569-f1fb-412f-b88c-9d647a538741	HCM 2874	Barwe					Nominative	Nominative	
8e755174-a481-4bdd-818c-6c1c8fca34e5	HCM 3198	Baysham					Other		
f53ba778-75b1-4f80-a66c-0615e03743f0	HCM 593	Baysham					Nominative	Nominative	
b60eff31-fed5-4afa-84d2-4cf303330cab	HCM 1736	Bekynham	Beckenham	51.40878	-0.02526		Nominative	Nominative	
7e4672dd-b81a-4089-a3f8-d0a093b7dbfc	HCM 2871	Belves					Nominative	Nominative	in Latin, Beluacen
95e96038-fb39-4b36-aad1-a43f214f45ac	HCM 181	Bere	Bere				Nominative	Nominative	
71e9412e-bc44-4185-aebb-d8fd1f2e5c35	HCM 1931	Berewyk’ sur Twede	Berwick-Upon-Tweed	55.78333	-2		Other		
7e875eda-8df1-45da-96f4-62387fe5c4df	HCM 1443	Bergamo	Bergamo (Italy)				Nominative	Nominative	
63f32348-5c83-453f-bb1b-3192456289e8	HCM 1443	Bergamo	Bergomum|Bergomum, Bergamo|Bergamo	45.6947	9.6687		Other		
5f04e685-2e1b-4cf0-b128-c8f1709dfde0	HCM 758	Berkeley	Berkeley	51.69111	-2.45917		Nominative	Nominative	
225aa47f-3d14-4b00-9c4f-bee20c898e00	HCM 3155	Bermundeseye					Given at	Given at	
69b3bcf8-8389-4c70-bccf-462d2b67edc1	HCM 2880	Berton					Other		
0dc83afd-63ef-4e39-b861-ce21ca682376	HCM 153	Bertonestrete				Street	Other	Street	
4be1763a-53ae-43bd-af11-ca620275f6ae	HCM 207	Bewnal				Street	Other	Street	
